osmid,name,highway,oneway,reversed,length,geometry,ref,junction,bridge,maxspeed
467023941,Travesía Berlinches,residential,False,False,40.458,"LINESTRING (-3.202852 40.669237, -3.203104 40.6689274)",,,,
243080742,Calle de la Iglesia,residential,False,True,72.807,"LINESTRING (-3.202852 40.669237, -3.2027057 40.6693709, -3.2023664 40.6697771)",,,,
"[466982292, 243080758]",Plaza de los Pollos,residential,False,False,66.674,"LINESTRING (-3.202852 40.669237, -3.2028937 40.6693609, -3.2031334 40.6695714, -3.2033166 40.6697062)",,,,
684740634,Calle Taberna,secondary,False,False,69.556,"LINESTRING (-3.202852 40.669237, -3.2025849 40.6690763, -3.2021988 40.6688552)",CM-1002,,,
850651389,Plaza de los Pollos,secondary,False,True,56.887,"LINESTRING (-3.202852 40.669237, -3.203426 40.6693627, -3.2034986 40.6693823)",CM-1002,,,
684740634,Calle Taberna,secondary,False,False,3.547,"LINESTRING (-3.2021988 40.6688552, -3.2021708 40.6688314)",CM-1002,,,
119941664,,residential,False,True,31.009,"LINESTRING (-3.2021988 40.6688552, -3.2022606 40.6688079, -3.2025318 40.6687555)",,,,
684740634,Calle Taberna,secondary,False,True,69.556,"LINESTRING (-3.2021988 40.6688552, -3.2025849 40.6690763, -3.202852 40.669237)",CM-1002,,,
467023940,Calle Alameda,secondary,False,True,20.607,"LINESTRING (-3.2007822 40.6680734, -3.2009392 40.6682154)",CM-1002,,,
81348455,Calle del Matadero,residential,False,True,106.72,"LINESTRING (-3.2007822 40.6680734, -3.2003279 40.6679045, -3.2000336 40.6678671, -3.199577 40.6678189)",,,,
467023940,Calle Alameda,secondary,False,False,24.151,"LINESTRING (-3.2007822 40.6680734, -3.2007086 40.6679656, -3.2006324 40.6678892)",CM-1002,,,
850654628,Calle Guadalajara,secondary,False,False,11.277,"LINESTRING (-3.1989948 40.6660472, -3.1989084 40.6659698)",CM-1002,,,
850654628,Calle Guadalajara,secondary,False,True,37.85,"LINESTRING (-3.1989948 40.6660472, -3.1993343 40.6662698)",CM-1002,,,
243080745,Calle Pie Camino,residential,False,True,103.072,"LINESTRING (-3.1989948 40.6660472, -3.1995173 40.6652378, -3.1995322 40.6652147)",,,,
850654628,Calle Guadalajara,secondary,False,False,40.762,"LINESTRING (-3.1980064 40.6649592, -3.1977393 40.6646537)",CM-1002,,,
850654628,Calle Guadalajara,secondary,False,True,31.253999999999998,"LINESTRING (-3.1980064 40.6649592, -3.1980538 40.6650165, -3.1982193 40.6651891)",CM-1002,,,
243080730,Calle de Carlos Bahamonde,residential,False,False,70.13,"LINESTRING (-3.1985266 40.665521, -3.1988918 40.6649544)",,,,
