osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,tunnel,junction,access
23653475,M-322,Calle del Cierzo,secondary,False,False,186.772,"LINESTRING (-3.384696 40.1102995, -3.384714 40.1102386, -3.3847462 40.1101297, -3.3849708 40.1094163, -3.3850235 40.1092193, -3.3850222 40.1089429, -3.3850303 40.1088674, -3.3850192 40.108649)",,,,,
45397201,M-315,,primary,False,True,54.783,"LINESTRING (-3.384696 40.1102995, -3.3846304 40.1103808, -3.3845785 40.1104452, -3.3843756 40.1106366, -3.384323 40.1107)",2,,,,
56005022,M-311,Calle de Malcasado,primary,False,False,144.927,"LINESTRING (-3.384696 40.1102995, -3.3848259 40.1103441, -3.3854544 40.1105599, -3.3861547 40.1107362, -3.3862842 40.1107669)",,,,,
56005048,,Calle de San Roque,residential,True,False,184.77,"LINESTRING (-3.384696 40.1102995, -3.3848349 40.1102358, -3.3857566 40.1096118, -3.3862666 40.1092561, -3.3862974 40.1091918)",,,,,
62111311,M-311,Calle de Pozuelo,primary,False,True,20.716,"LINESTRING (-3.384696 40.1102995, -3.3845787 40.1103336, -3.3844715 40.1103715)",,,,,
23653475,M-322,Calle del Cierzo,secondary,False,True,186.772,"LINESTRING (-3.3850192 40.108649, -3.3850303 40.1088674, -3.3850222 40.1089429, -3.3850235 40.1092193, -3.3849708 40.1094163, -3.3847462 40.1101297, -3.384714 40.1102386, -3.384696 40.1102995)",,,,,
45397190,M-322,Calle de la Cava,secondary,False,False,18.207,"LINESTRING (-3.3850192 40.108649, -3.3849874 40.1085867, -3.384923 40.1085033)",,,,,
263479770,,Calle de los Bancos de Bazán,residential,False,True,125.61600000000001,"LINESTRING (-3.3850192 40.108649, -3.3850849 40.108648, -3.38521 40.1087185, -3.3853723 40.1088101, -3.3855478 40.1088896, -3.3857456 40.1089576, -3.3861266 40.1091409, -3.3862974 40.1091918)",,,,,
45397190,M-322,Calle de la Cava,secondary,False,False,126.152,"LINESTRING (-3.3837846 40.1076761, -3.3833604 40.107323, -3.3830626 40.107031, -3.3828859 40.1067991, -3.3828756 40.1067849)",,,,,
45397190,M-322,Calle de la Cava,secondary,False,True,40.732,"LINESTRING (-3.3837846 40.1076761, -3.3839541 40.107814, -3.3841175 40.1079394)",,,,,
56721789,,Calle de Jerónimo Mortal,residential,True,False,41.695,"LINESTRING (-3.3837846 40.1076761, -3.3840522 40.1075227, -3.3841384 40.1074509, -3.3841576 40.1074349)",,,,,
56005021,M-311,Calle de Madrid,primary,False,True,45.711,"LINESTRING (-3.3905696 40.11171, -3.3903232 40.1114532, -3.3902325 40.1113919)",,,,,
56721743,,Calle de Manuel El Canario,residential,False,False,171.824,"LINESTRING (-3.3829874 40.1109097, -3.3825768 40.1093967)",,,,,
62111311,M-311,Calle de Pozuelo,primary,False,True,13.871,"LINESTRING (-3.3829874 40.1109097, -3.3828269 40.1109319)",,,,,
62111311,M-311,Calle de Pozuelo,primary,False,False,75.401,"LINESTRING (-3.3829874 40.1109097, -3.3830964 40.1108879, -3.3834901 40.1107835, -3.3838262 40.1106908)",,,,,
56109486,,,residential,False,True,114.826,"LINESTRING (-3.388821 40.103752, -3.3891701 40.1037939, -3.3893518 40.1037779, -3.389575 40.1038704, -3.3897458 40.1039514, -3.3899425 40.103896, -3.390079 40.1038496)",,,,,
56109497,,,residential,False,False,27.554,"LINESTRING (-3.38864 40.10411, -3.3887517 40.1043426)",,,,,
