osmid,name,highway,oneway,reversed,length,geometry,tunnel,junction
23071381,Calle de Aragón,residential,False,False,98.38700000000001,"LINESTRING (-0.4465673 40.9734269, -0.4463981 40.9736021, -0.4461685 40.9738045, -0.4460105 40.9740841, -0.4459231 40.9741559)",,
828119906,Calle Malena,residential,False,True,69.218,"LINESTRING (-0.4465673 40.9734269, -0.4465168 40.9733968, -0.4464644 40.9734095, -0.4459452 40.9737697)",,
23071381,Calle de Aragón,residential,False,True,38.712,"LINESTRING (-0.4455841 40.9743919, -0.4459231 40.9741559)",,
23071381,Calle de Aragón,residential,False,False,89.10900000000001,"LINESTRING (-0.4455841 40.9743919, -0.4454168 40.9744582, -0.4450816 40.9745583, -0.4446187 40.9747235)",,
547712328,Calle Alta,residential,False,True,92.368,"LINESTRING (-0.4455841 40.9743919, -0.4454348 40.9743787, -0.4452743 40.9744028, -0.4450065 40.9744035, -0.4446225 40.9743333, -0.4444992 40.9743299)",,
828119908,Calle de Aragón,residential,False,False,25.815,"LINESTRING (-0.4441464 40.9748658, -0.4438677 40.9749639)",,
828119908,Calle de Aragón,residential,False,True,14.09,"LINESTRING (-0.4441464 40.9748658, -0.4442773 40.9747865)",,
547712333,Calle de San Blas,residential,False,True,50.337,"LINESTRING (-0.4441464 40.9748658, -0.4440836 40.9747469, -0.4440941 40.9746119, -0.4441198 40.9745537, -0.4440997 40.9745083, -0.4439937 40.9745139)",,
547718965,Plaza de España,residential,False,False,20.353,"LINESTRING (-0.4438677 40.9749639, -0.4440443 40.9750893)",,
828119908,Calle de Aragón,residential,False,True,25.815,"LINESTRING (-0.4438677 40.9749639, -0.4441464 40.9748658)",,
23071383,Plaza de la Iglesia,residential,False,True,33.786,"LINESTRING (-0.4438677 40.9749639, -0.4438314 40.974985, -0.4437336 40.9750415, -0.4436836 40.9750704, -0.4435654 40.9751632)",,
547712326,Calle del Pilar,residential,False,True,102.449,"LINESTRING (-0.4438677 40.9749639, -0.44378 40.9748049, -0.4435282 40.9747798, -0.4433123 40.9747872, -0.4430284 40.9747742, -0.442931 40.9747993, -0.4427964 40.974804)",,
547718965,Plaza de España,residential,False,True,20.353,"LINESTRING (-0.4440443 40.9750893, -0.4438677 40.9749639)",,
23071383,Plaza de la Iglesia,residential,False,False,33.786,"LINESTRING (-0.4435654 40.9751632, -0.4436836 40.9750704, -0.4437336 40.9750415, -0.4438314 40.974985, -0.4438677 40.9749639)",,
