osmid,oneway,highway,reversed,length,name,geometry,junction,maxspeed,lanes,tunnel,bridge,ref
8560579,True,tertiary,False,16.164,,"LINESTRING (-3.7237759 37.1920511, -3.7236521 37.1919443)",,,,,,
751551750,True,residential,False,9.897,Calle Pintor Juan Ruiz,"LINESTRING (-3.7182212 37.1869254, -3.7182202 37.1868364)",,,,,,
751551759,True,tertiary,False,30.367,Calle Pintor Juan Ruiz,"LINESTRING (-3.7182212 37.1869254, -3.7185639 37.1869189)",,,,,,
9837050,False,tertiary,True,29.518,Calle Rector López González,"LINESTRING (-3.7182178 37.1855153, -3.7178873 37.1854815)",,,,,,
9837050,False,tertiary,False,32.999,Calle Rector López González,"LINESTRING (-3.7182178 37.1855153, -3.7185397 37.1855619, -3.7185842 37.1855688)",,,,,,
9837048,True,tertiary,False,6.526,,"LINESTRING (-3.7191189 37.1857003, -3.7191051 37.1857331, -3.7191089 37.185757)",roundabout,,,,,
9837050,False,tertiary,True,49.687999999999995,Calle Rector López González,"LINESTRING (-3.7191189 37.1857003, -3.7189713 37.1856496, -3.7189532 37.1856458, -3.7185842 37.1855688)",,,,,,
9837048,True,tertiary,False,7.917,,"LINESTRING (-3.7191862 37.1857612, -3.7191985 37.1857221, -3.7191744 37.1856979)",roundabout,,,,,
9886631,False,tertiary,False,49.806000000000004,Calle Los Cerezos,"LINESTRING (-3.7191862 37.1857612, -3.7192311 37.1857863, -3.7197246 37.1858802)",,,,,,
9837048,True,tertiary,False,7.454,,"LINESTRING (-3.7191089 37.185757, -3.7191456 37.1857721, -3.7191862 37.1857612)",roundabout,,,,,
9837050,False,tertiary,False,59.281,Calle Rector López González,"LINESTRING (-3.716729 37.1853689, -3.7173936 37.1854312)",,,,,,
9837425,True,tertiary,False,14.079,,"LINESTRING (-3.716729 37.1853689, -3.7166881 37.1853233, -3.7166021 37.1853064)",roundabout,,,,,
41462524,False,residential,False,5.592,Calle Severo Ochoa,"LINESTRING (-3.7166021 37.1853064, -3.7165966 37.1852563)",,,,,,
9837425,True,tertiary,False,16.869,,"LINESTRING (-3.7166021 37.1853064, -3.7165405 37.1853362, -3.7165141 37.1853703, -3.7165163 37.1854245)",roundabout,,,,,
9034922,False,tertiary,False,37.285,Calle Fernando de los Rios,"LINESTRING (-3.7165163 37.1854245, -3.7161064 37.1855006)",,,,,,
9837425,True,tertiary,False,14.698,,"LINESTRING (-3.7165163 37.1854245, -3.7165623 37.1854699, -3.7166547 37.1854756)",roundabout,,,,,
9837425,True,tertiary,False,14.65,,"LINESTRING (-3.7166547 37.1854756, -3.7167164 37.1854381, -3.716729 37.1853689)",roundabout,,,,,
9886631,False,tertiary,True,3.668,Calle Los Cerezos,"LINESTRING (-3.7203705 37.1859166, -3.7203292 37.1859143)",,,,,,
9886630,True,residential,False,166.686,Calle Teotihucán,"LINESTRING (-3.7203705 37.1859166, -3.7203521 37.1867839, -3.7203499 37.1868321, -3.7203407 37.1870641, -3.7203269 37.1874152)",,,,,,
9886631,False,tertiary,False,58.249,Calle Los Cerezos,"LINESTRING (-3.7203705 37.1859166, -3.7206948 37.1859037, -3.7208491 37.1858931, -3.7210264 37.1858809)",,,,,,
9886628,False,residential,True,31.802,Calle Tuca,"LINESTRING (-3.7196458 37.1874738, -3.7200035 37.1874981)",,,,,,
9886629,True,residential,False,18.161,Calle Monte Albal,"LINESTRING (-3.7196458 37.1874738, -3.7196539 37.1873106)",,,,,,
9886631,False,tertiary,False,27.309,Calle Los Cerezos,"LINESTRING (-3.7197246 37.1858802, -3.720029 37.185919)",,,,,,
9886631,False,tertiary,True,49.806000000000004,Calle Los Cerezos,"LINESTRING (-3.7197246 37.1858802, -3.7192311 37.1857863, -3.7191862 37.1857612)",,,,,,
"[1065102520, 591856580]",False,tertiary,False,33.433,Calle Santa Fe de Bogotá,"LINESTRING (-3.7236374 37.1851022, -3.7235266 37.1851837, -3.723332 37.1852762)",,,,,,
29697012,False,residential,True,40.54,Calle 6 de diciembre,"LINESTRING (-3.7130448 37.1879298, -3.7134919 37.1880076)",,,,,,
10072631,False,residential,True,59.86,Calle Miguel Rúiz de Castillo,"LINESTRING (-3.714053 37.1880226, -3.7139389 37.187492)",,,,,,
29697140,False,residential,False,37.765,Calle Pasaje Señor de La Salud,"LINESTRING (-3.714053 37.1880226, -3.7141485 37.1883536)",,,,,,
29697012,False,residential,False,50.282,Calle 6 de diciembre,"LINESTRING (-3.714053 37.1880226, -3.7137239 37.1880467, -3.7134919 37.1880076)",,,,,,
10152480,True,tertiary,False,88.904,Calle Cruz del Norte,"LINESTRING (-3.7163322 37.1901996, -3.7164851 37.1909898)",,,,,,
510877290,False,tertiary,True,51.069,Calle Ermita,"LINESTRING (-3.7163322 37.1901996, -3.7157883 37.1903519)",,,,,,
22777212,False,residential,False,76.808,Calle Cruz Sur,"LINESTRING (-3.7163322 37.1901996, -3.7163583 37.1901212, -3.7162127 37.1895227)",,,,,,
40858876,False,living_street,False,94.027,Calle Posadas,"LINESTRING (-3.7164851 37.1909898, -3.7157883 37.1903519)",,20,,,,
591856534,True,tertiary,False,3.685,Calle Calderón,"LINESTRING (-3.7164851 37.1909898, -3.7165033 37.1910196)",,,1,,,
40858874,False,residential,True,27.889,Calle Gustavo Adolfo Bécquer,"LINESTRING (-3.7171139 37.1910797, -3.7171609 37.1913277)",,,,,,
591856534,True,tertiary,False,24.382,Calle Calderón,"LINESTRING (-3.7171139 37.1910797, -3.7173851 37.1910422)",,,1,,,
591856534,True,tertiary,False,15.586,Calle Calderón,"LINESTRING (-3.7183118 37.1908448, -3.7184791 37.1908014)",,,1,,,
592144445,False,residential,False,35.855,Calle Piedra,"LINESTRING (-3.7183118 37.1908448, -3.7182448 37.1905268)",,,,,,
16734557,False,residential,False,46.226,Calle Arrayán,"LINESTRING (-3.7204797 37.190339, -3.720774 37.1906823)",,,,,,
591856534,True,tertiary,False,16.515,Calle Calderón,"LINESTRING (-3.7204797 37.190339, -3.7206099 37.1902327)",,,1,,,
16734562,False,tertiary,False,16.283,Calle Buenavista,"LINESTRING (-3.7208436 37.1897248, -3.7209602 37.189838)",,,,,,
740435846,False,tertiary,False,45.641999999999996,Calle Calderón,"LINESTRING (-3.7208436 37.1897248, -3.7208108 37.1896287, -3.7207022 37.1893301)",,,,,,
1065102523,False,tertiary,True,4.692,Calle Arrecife,"LINESTRING (-3.7207022 37.1893301, -3.7206509 37.1893406)",,,,,,
740435846,False,tertiary,True,45.641999999999996,Calle Calderón,"LINESTRING (-3.7207022 37.1893301, -3.7208108 37.1896287, -3.7208436 37.1897248)",,,,,,
751551766,False,tertiary,False,55.894,Calle Arrecife,"LINESTRING (-3.7207022 37.1893301, -3.7208589 37.1892601, -3.7211959 37.189104, -3.7212205 37.1890591)",,,,,,
22777136,False,tertiary,False,17.083,Calle Arrecife,"LINESTRING (-3.7204613 37.1893687, -3.7206509 37.1893406)",,,,,,
"[751551767, 28237991]",True,tertiary,False,16.621,Calle Real,"LINESTRING (-3.7204613 37.1893687, -3.7203765 37.1893811, -3.7202768 37.1893959)",,30,1,,,
28237994,True,living_street,False,80.517,Ronda de Loja Norte,"LINESTRING (-3.7202768 37.1893959, -3.7204274 37.19011)",,20,,,,
751551768,True,tertiary,False,21.811,Calle Real,"LINESTRING (-3.7202768 37.1893959, -3.720038 37.1894437)",,30,1,,,
28237985,False,residential,False,70.854,Calle Gadeas,"LINESTRING (-3.7195782 37.1895356, -3.7194591 37.1889055)",,,,,,
751551768,True,tertiary,False,121.58300000000001,Calle Real,"LINESTRING (-3.7195782 37.1895356, -3.7193688 37.1895775, -3.7192901 37.1895933, -3.719151 37.1896211, -3.718568 37.1897377, -3.7184076 37.1897702, -3.7182472 37.1898026)",,30,1,,,
22777114,False,tertiary,True,29.45,Calle Simón Bolívar,"LINESTRING (-3.7155986 37.1901344, -3.7157883 37.1903519)",,,,,,
751551725,True,tertiary,False,111.691,Calle Simón Bolívar,"LINESTRING (-3.7155986 37.1901344, -3.714443 37.1897326)",,30,1,,,
16734559,False,residential,False,37.526,Calle Salvador Allende,"LINESTRING (-3.7212378 37.1912582, -3.7216198 37.1911123)",,,,,,
16734557,False,residential,False,99.777,Calle Arrayán,"LINESTRING (-3.7212378 37.1912582, -3.7213009 37.1913361, -3.7215852 37.1916866, -3.7218307 37.1920209)",,,,,,
16734557,False,residential,True,71.811,Calle Arrayán,"LINESTRING (-3.7212378 37.1912582, -3.7211783 37.1911841, -3.7208011 37.1907141)",,,,,,
16734559,False,residential,True,38.909,Calle Salvador Allende,"LINESTRING (-3.7220114 37.1909538, -3.7216198 37.1911123)",,,,,,
16734562,False,tertiary,False,52.21,Calle Buenavista,"LINESTRING (-3.7220114 37.1909538, -3.7223468 37.1913399)",,,,,,
16734562,False,tertiary,True,70.579,Calle Buenavista,"LINESTRING (-3.7220114 37.1909538, -3.7215504 37.1904361)",,,,,,
40858859,False,tertiary,False,11.964,Calle Mirasierra,"LINESTRING (-3.7227929 37.191706, -3.7226775 37.1917619)",,,,,,
1066758854,True,tertiary,False,16.319,,"LINESTRING (-3.7227929 37.191706, -3.7228079 37.1917407, -3.7228399 37.1917671, -3.7228829 37.1917803, -3.7229288 37.1917779)",roundabout,,,,,
22777137,False,tertiary,False,136.094,Calle Briviesca,"LINESTRING (-3.7231732 37.1899998, -3.722976 37.1912136)",,,,,,
22777137,False,tertiary,True,32.841,Calle Briviesca,"LINESTRING (-3.7231732 37.1899998, -3.7232188 37.1897067)",,,,,,
751551771,False,residential,False,46.075,Calle Rosa de Luxemburgo,"LINESTRING (-3.7231732 37.1899998, -3.7236887 37.190055)",,,,,,
16734562,False,tertiary,False,5.824,Calle Buenavista,"LINESTRING (-3.7215136 37.1903927, -3.7215504 37.1904361)",,,,,,
16734562,False,tertiary,True,78.845,Calle Buenavista,"LINESTRING (-3.7215136 37.1903927, -3.7214639 37.190341, -3.7210646 37.1899263, -3.7209602 37.189838)",,,,,,
41462512,True,residential,False,80.873,Calle Rosa de Luxemburgo,"LINESTRING (-3.7215136 37.1903927, -3.7218604 37.1901961, -3.7219963 37.1901525, -3.7223259 37.1900834)",,,,,,
510877287,False,tertiary,True,74.467,Calle Góngora,"LINESTRING (-3.713847 37.1896673, -3.7141945 37.1902771)",,,,,,
751551726,False,tertiary,False,30.106,Calle Góngora,"LINESTRING (-3.713847 37.1896673, -3.7137538 37.189599, -3.7135501 37.1895488)",,,,,,
22777137,False,tertiary,False,35.153,Calle Briviesca,"LINESTRING (-3.7232137 37.1887176, -3.7232389 37.1890331)",,,,,,
1065102518,False,tertiary,True,9.578,Avenida América,"LINESTRING (-3.7232137 37.1887176, -3.7231062 37.1887268)",,,,,,
