osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,junction,geometry
384286946,3,Ma-19,Carrer de la Rambla,primary,40,False,True,122.376,,"LINESTRING (3.0198175 39.4352238, 3.0211244 39.4347852)"
621126354,,Ma-19,,primary,,True,False,19.445999999999998,roundabout,"LINESTRING (3.0198175 39.4352238, 3.0198406 39.4352682, 3.0198459 39.4353164, 3.0198379 39.4353492, 3.019809 39.4353886)"
38880849,,,Carrer de ses Sitges,residential,30,True,False,55.356,,"LINESTRING (3.0229607 39.4278505, 3.0226194 39.4282728)"
70725450,,Ma-19,Ronda de Catalunya,primary,30,False,False,78.031,,"LINESTRING (3.0229607 39.4278505, 3.0237007 39.4282576)"
14498886,,Ma-19,Ronda de Catalunya,primary,40,False,False,108.097,,"LINESTRING (3.0229607 39.4278505, 3.0219901 39.4273365, 3.0219642 39.4273172, 3.0219375 39.4272885)"
384286946,3,Ma-19,Carrer de la Rambla,primary,40,False,False,36.557,,"LINESTRING (3.0215167 39.4346576, 3.0211244 39.4347852)"
145777559,2,Ma-19,Avinguda de la Verge,primary,,False,True,57.748000000000005,,"LINESTRING (3.0215167 39.4346576, 3.0215886 39.4345645, 3.0218599 39.434211)"
"[145777541, 696521014]",2,,Carrer de la Rambla,primary,,False,True,285.44,,"LINESTRING (3.0215167 39.4346576, 3.0217884 39.4345687, 3.0233404 39.4340385, 3.0245647 39.4336342)"
14485875,,Ma-19,Carrer de la Rambla,primary,40,False,False,50.493,,"LINESTRING (3.0195447 39.4353554, 3.0189816 39.435486)"
621126348,,Ma-19,,primary,,True,False,28.845,roundabout,"LINESTRING (3.0195447 39.4353554, 3.0195302 39.435316, 3.0195344 39.4352751, 3.0195522 39.4352368, 3.0195853 39.4352062, 3.0196386 39.4351859, 3.0197039 39.4351787)"
146641614,,Ma-6030,camí de Mar,tertiary,,False,True,65.305,,"LINESTRING (3.0186173 39.4331693, 3.0185377 39.4331299, 3.0180239 39.4328028)"
70731425,,,carrer de sa Creu,tertiary,,False,False,13.515,,"LINESTRING (3.0188568 39.4325524, 3.0188742 39.4324316)"
33610068,,,carrer de sa Creu,tertiary,,True,False,75.856,,"LINESTRING (3.0188568 39.4325524, 3.0188907 39.4326566, 3.0189061 39.4327561, 3.018972 39.4332279)"
28056490,,,carrer Major,residential,,True,False,168.211,,"LINESTRING (3.0192773 39.4311991, 3.0192096 39.4311619, 3.0186673 39.4308636, 3.0182985 39.4307262, 3.0175741 39.4304636)"
862994621,,,carrer de sa Creu,tertiary,,True,False,58.307,,"LINESTRING (3.0192773 39.4311991, 3.0193318 39.4311009, 3.0194468 39.4308937, 3.0195387 39.4307152)"
26583019,,,carrer de ses Posades,residential,,True,False,145.645,,"LINESTRING (3.0210414 39.4311906, 3.0200895 39.4322746)"
146641615,,,Carrer del Fra Joan Ballester,residential,,True,False,50.313,,"LINESTRING (3.0210414 39.4311906, 3.0213747 39.4308185)"
146660645,,,Carrer d'Antoni Maura,residential,,True,False,64.078,,"LINESTRING (3.0210414 39.4311906, 3.0208405 39.4310972, 3.0204549 39.4309585, 3.020421 39.4309431, 3.0204037 39.4309283, 3.0203941 39.4309138)"
146641615,,,Carrer del Fra Joan Ballester,residential,,True,False,87.542,,"LINESTRING (3.0213747 39.4308185, 3.0219632 39.4301757)"
146660637,,,Carrer de F. Xavier Ballester,residential,,True,False,49.245,,"LINESTRING (3.0213747 39.4308185, 3.0218494 39.4310669)"
146660643,,,Carrer de Carbó,residential,,False,False,88.188,,"LINESTRING (3.0224978 39.4269683, 3.0233316 39.4274311)"
146660640,2,Ma-19,Carrer de Sant Blai,primary,40,False,True,50.601000000000006,,"LINESTRING (3.0224978 39.4269683, 3.0220729 39.4271618, 3.0220376 39.4271758, 3.0219854 39.4271919)"
