osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access,junction,bridge,ref,tunnel
94135785,True,1,Avenida San Antonio,residential,False,35.414,"LINESTRING (-2.8858502 43.2474786, -2.8859389 43.2474094, -2.8860066 43.2473683, -2.886068 43.2473438, -2.8861055 43.2473373, -2.8862147 43.2473246)",,,,,,
94135807,False,2,Avenida San Antonio,residential,False,62.772000000000006,"LINESTRING (-2.8858502 43.2474786, -2.8858049 43.2475728, -2.8857203 43.2477485, -2.8855937 43.2480113)",50,,,,,
94135807,False,2,Avenida San Antonio,residential,True,61.931999999999995,"LINESTRING (-2.884791 43.2496787, -2.8848404 43.2495761, -2.8850008 43.249243, -2.885044 43.2491531)",50,,,,,
200555419,False,2,Calle Euskal Herria,residential,False,64.113,"LINESTRING (-2.884791 43.2496787, -2.8846406 43.2496402, -2.8844589 43.2495938, -2.8841909 43.2495253, -2.884044 43.2494879)",50,yes,,,,
215662634,False,2,Calle Euskal Herria,residential,True,74.836,"LINESTRING (-2.884791 43.2496787, -2.8850088 43.2497343, -2.8855231 43.249869, -2.8856597 43.2499079)",50,yes,,,,
36911837,False,2,Avenida San Esteban,residential,False,93.48599999999999,"LINESTRING (-2.889555 43.2470467, -2.8895832 43.2470302, -2.8898927 43.2468486, -2.8904329 43.2465012)",30,,,,,
184162689,True,2,,trunk_link,False,25.838,"LINESTRING (-2.889555 43.2470467, -2.8893914 43.2470702, -2.8892751 43.2470786, -2.8892399 43.2470812)",,,,,,
94135807,False,2,Avenida San Antonio,residential,False,61.507,"LINESTRING (-2.8855937 43.2480113, -2.8855434 43.2481159, -2.8855001 43.2482059, -2.8854134 43.248386, -2.8853425 43.2485333)",50,,,,,
94135807,False,2,Avenida San Antonio,residential,True,62.772000000000006,"LINESTRING (-2.8855937 43.2480113, -2.8857203 43.2477485, -2.8858049 43.2475728, -2.8858502 43.2474786)",50,,,,,
200555420,True,,Calle Ganguren Mendi,residential,False,255.778,"LINESTRING (-2.8855937 43.2480113, -2.8854639 43.2479782, -2.8853511 43.2479495, -2.8852437 43.247923, -2.8852034 43.247913, -2.8849941 43.2478632, -2.8849536 43.2478536, -2.8848885 43.2478503, -2.88483 43.247876, -2.8848021 43.2479224, -2.8847155 43.2481087, -2.8845441 43.2484437, -2.8842805 43.2489966, -2.8841049 43.2493615, -2.884044 43.2494879)",50,,,,,
215662634,False,2,Calle Euskal Herria,residential,False,74.836,"LINESTRING (-2.8856597 43.2499079, -2.8855231 43.249869, -2.8850088 43.2497343, -2.884791 43.2496787)",50,yes,,,,
"[178330065, 217333055]",False,2,Calle Marivi Iturbe,residential,True,286.70599999999996,"LINESTRING (-2.8856597 43.2499079, -2.8857163 43.2497942, -2.8857729 43.2496805, -2.8858868 43.2494437, -2.8859103 43.2493947, -2.885921 43.2493724, -2.8859352 43.2493428, -2.8860631 43.2490769, -2.8860892 43.2490226, -2.8861422 43.2489124, -2.8862451 43.2486984, -2.8863927 43.2483916, -2.8864942 43.2481804, -2.8865649 43.2480334, -2.8866068 43.2479462, -2.8866648 43.2478257, -2.886724 43.2477025, -2.8868202 43.2475046, -2.8868343 43.2474756)",50,yes,,,,
56700575,False,,Avenida Cervantes,tertiary,False,31.115,"LINESTRING (-2.884533 43.2431469, -2.8841598 43.2430806)",,,,,,
56700577,True,1,Avenida Cervantes,tertiary,False,25.808,"LINESTRING (-2.884533 43.2431469, -2.8846948 43.2432069, -2.8847464 43.2432395, -2.8847986 43.2432721)",,,,,,
966534871,True,,,tertiary,False,6.036,"LINESTRING (-2.8851143 43.2432065, -2.8850796 43.2431847, -2.8850539 43.2431754)",,,roundabout,,,
56700572,True,1,Avenida Cervantes,tertiary,False,30.322000000000003,"LINESTRING (-2.8849055 43.2431736, -2.8847963 43.2431677, -2.884533 43.2431469)",,,,,,
966534869,True,,,tertiary,False,14.472999999999999,"LINESTRING (-2.8849055 43.2431736, -2.8848555 43.2431972, -2.8848186 43.2432312, -2.8847986 43.2432721)",,,roundabout,,,
129101814,True,1,Avenida Cervantes,residential,False,26.975,"LINESTRING (-2.8851526 43.2433364, -2.8851929 43.2433158, -2.8852434 43.2432946, -2.8852946 43.2432801, -2.8854538 43.2432355)",,,,,,
966534865,True,,,tertiary,False,15.386999999999999,"LINESTRING (-2.8851526 43.2433364, -2.8851612 43.2432907, -2.8851479 43.2432456, -2.8851143 43.2432065)",,,roundabout,,,
289019415,True,1,Avenida Cervantes,residential,False,27.951999999999998,"LINESTRING (-2.8854538 43.2432355, -2.8853265 43.2432398, -2.885281 43.243236, -2.8852501 43.2432334, -2.8852094 43.2432254, -2.8851143 43.2432065)",,,,,,
966534868,True,,,tertiary,False,15.088000000000001,"LINESTRING (-2.8847986 43.2432721, -2.8847981 43.2433173, -2.8848184 43.24336, -2.8848572 43.2433954)",,,roundabout,,,
93890637,False,2,Calle Uribarribarri,residential,False,136.79100000000003,"LINESTRING (-2.8934548 43.2451677, -2.893578 43.2452609, -2.8940455 43.2456073, -2.8940576 43.2456162, -2.894543 43.2459729, -2.8946398 43.2460442)",30,yes,,,,
217337061,False,2,Calle Metacal,residential,False,17.121000000000002,"LINESTRING (-2.8934548 43.2451677, -2.8935572 43.2450914, -2.8936038 43.2450585)",30,,,,,
"[129208362, 979865771, 217337061]",False,2,Calle Metacal,residential,True,48.25,"LINESTRING (-2.8934548 43.2451677, -2.8933536 43.245242, -2.8932026 43.2453545, -2.8931786 43.2453716, -2.8931451 43.2453923, -2.89308 43.2454239, -2.893017 43.2454403, -2.8930037 43.2454415)",30,,,,,
93890637,False,2,Calle Uribarribarri,residential,False,53.077,"LINESTRING (-2.8946398 43.2460442, -2.8947509 43.2461247, -2.8949889 43.2463022, -2.8950993 43.2463845)",30,yes,,,,
93890637,False,2,Calle Uribarribarri,residential,True,136.791,"LINESTRING (-2.8946398 43.2460442, -2.894543 43.2459729, -2.8940576 43.2456162, -2.8940455 43.2456073, -2.893578 43.2452609, -2.8934548 43.2451677)",30,yes,,,,
217979747,False,2,Calle Antonio Epalza,residential,False,111.408,"LINESTRING (-2.8946398 43.2460442, -2.8947464 43.2459695, -2.8951187 43.2457085, -2.8954995 43.2454368, -2.8956264 43.2453461)",30,,,,,
217979747,False,2,Calle Antonio Epalza,residential,True,190.546,"LINESTRING (-2.8946398 43.2460442, -2.8945185 43.2461293, -2.8942378 43.2463262, -2.8941951 43.246356, -2.8938454 43.2465856, -2.8935447 43.2467831, -2.8930283 43.2471134, -2.8928992 43.2471966)",30,,,,,
93890628,False,2,Calle Sabino Arana y Goiri,residential,True,48.007999999999996,"LINESTRING (-2.8928992 43.2471966, -2.8931567 43.2473496, -2.8933585 43.2474695)",30,yes,,,,
217399269,False,2,Calle Antonio Epalza,residential,True,93.587,"LINESTRING (-2.8928992 43.2471966, -2.8927883 43.2472948, -2.892634 43.2474316, -2.8925337 43.2475205, -2.8922739 43.2477507, -2.8921655 43.2478468)",30,,,,,
217979747,False,2,Calle Antonio Epalza,residential,False,190.54599999999996,"LINESTRING (-2.8928992 43.2471966, -2.8930283 43.2471134, -2.8935447 43.2467831, -2.8938454 43.2465856, -2.8941951 43.246356, -2.8942378 43.2463262, -2.8945185 43.2461293, -2.8946398 43.2460442)",30,,,,,
"[217653849, 216612842, 217676423]",False,2,Calle Fuenlabrada,residential,True,172.075,"LINESTRING (-2.8935932 43.2474759, -2.8937322 43.2473734, -2.8938089 43.247317, -2.8940134 43.2471667, -2.8940649 43.2471289, -2.8946552 43.2466999, -2.8946681 43.2466907, -2.8949848 43.2464658, -2.8950993 43.2463845)",30,,,,,
