osmid,highway,junction,oneway,reversed,length,name,geometry,lanes,ref
4306270,tertiary,roundabout,True,False,16.02,,"LINESTRING (-1.9644452 42.303431, -1.9645793 42.3035355)",,
822902133,tertiary,,False,False,173.53,Carretera de San Adrián,"LINESTRING (-1.9644452 42.303431, -1.9642469 42.3035855, -1.9629924 42.3045628)",,
4306617,tertiary,,True,False,35.895,Calle del General Gallarza,"LINESTRING (-1.9645793 42.3035355, -1.9648774 42.3037713)",,
4306270,tertiary,roundabout,True,False,41.742999999999995,,"LINESTRING (-1.9645793 42.3035355, -1.9647526 42.3035066, -1.9648956 42.3034038, -1.9649351 42.3033118)",,
4306270,tertiary,roundabout,True,False,18.572,,"LINESTRING (-1.9648855 42.3031811, -1.9647903 42.3031457, -1.9646725 42.3031595)",,
1192335033,tertiary,,False,True,133.769,Avenida de Numancia,"LINESTRING (-1.9648855 42.3031811, -1.9650984 42.3031281, -1.9651631 42.3031268, -1.9664998 42.3030992)",2,
4306270,tertiary,roundabout,True,False,22.124000000000002,,"LINESTRING (-1.9646725 42.3031595, -1.9645833 42.3031972, -1.9644589 42.3032788)",,
25561154,tertiary,,False,False,127.839,Calle Mediavilla,"LINESTRING (-1.9646725 42.3031595, -1.9644987 42.3029835, -1.9643876 42.302871, -1.9642252 42.302493, -1.9641431 42.3023101, -1.9640517 42.3021186)",,
4498152,tertiary,,False,False,40.43,Calle Mártires,"LINESTRING (-1.9644589 42.3032788, -1.9641571 42.3031083, -1.9640682 42.3030581)",,
539114763,tertiary,roundabout,True,False,17.016,,"LINESTRING (-1.9644589 42.3032788, -1.9644444 42.303348, -1.9644452 42.303431)",,
"[539114762, 8139678]",tertiary,,False,True,132.489,,"LINESTRING (-1.9621482 42.3052126, -1.9616959 42.305566, -1.9617571 42.3056234, -1.9619155 42.305734, -1.9623998 42.3060394)",,
22726114,tertiary,,False,False,58.809,Carretera de San Adrián,"LINESTRING (-1.9621482 42.3052126, -1.9620236 42.3052312, -1.9615023 42.3054324)",,
822902133,tertiary,,False,True,60.044,Carretera de San Adrián,"LINESTRING (-1.9621482 42.3052126, -1.9622163 42.3051576, -1.9626412 42.3048143)",,
4306298,tertiary,,False,False,177.432,,"LINESTRING (-1.9597779 42.3056371, -1.9597136 42.3057601, -1.959577 42.3060216, -1.9592157 42.3067437, -1.9590216 42.3071315)",,
4306298,tertiary,,False,True,55.96,,"LINESTRING (-1.9597779 42.3056371, -1.9599174 42.3053875, -1.9600378 42.305172)",,
22977305,residential,,True,False,74.805,,"LINESTRING (-1.9597779 42.3056371, -1.9599268 42.3057472, -1.9600471 42.3059766, -1.9601285 42.3061479, -1.9601647 42.3062332)",,
23702463,residential,,False,True,93.739,,"LINESTRING (-1.9597779 42.3056371, -1.9597667 42.305451, -1.9597586 42.3052989, -1.9597777 42.3051497, -1.9598687 42.3048015)",,
4306298,tertiary,,False,True,177.432,,"LINESTRING (-1.9590216 42.3071315, -1.9592157 42.3067437, -1.959577 42.3060216, -1.9597136 42.3057601, -1.9597779 42.3056371)",,
22726114,tertiary,,False,True,137.163,Carretera de San Adrián,"LINESTRING (-1.9590216 42.3071315, -1.9601255 42.306264, -1.9601647 42.3062332)",,
