osmid,ref,name,highway,oneway,reversed,length,access,geometry,bridge,tunnel,lanes
448201429,CM-110,Avenida de Pío XII,primary,False,False,0.653,,"LINESTRING (-2.644087 41.0689586, -2.644092 41.0689631)",,,
145581852,,Calle Humilladero,residential,False,False,124.03800000000001,yes,"LINESTRING (-2.644087 41.0689586, -2.6440843 41.0688182, -2.6440328 41.0687069, -2.643952 41.0685045, -2.6436906 41.0680136, -2.6436429 41.0679024)",,,
448201429,CM-110,Avenida de Pío XII,primary,False,True,86.827,,"LINESTRING (-2.644087 41.0689586, -2.6441825 41.0688934, -2.6442504 41.0688435, -2.6448317 41.068416)",,,
448201429,CM-110,Avenida de Pío XII,primary,False,True,0.653,,"LINESTRING (-2.644092 41.0689631, -2.644087 41.0689586)",,,
29556040,CM-110,Calle de Alfonso VI,primary,False,False,84.622,,"LINESTRING (-2.644092 41.0689631, -2.644242 41.0692547, -2.6445148 41.0695307, -2.6445959 41.0696149)",,,
42488154,GU-127,Paseo de la Alameda,tertiary,False,False,54.721000000000004,,"LINESTRING (-2.644092 41.0689631, -2.6439186 41.0691205, -2.6437225 41.0693129, -2.6436863 41.0693485)",,,
"[29556040, 229474988]",CM-110,Calle de Alfonso VI,primary,False,False,53.909,,"LINESTRING (-2.6445959 41.0696149, -2.6447719 41.069786, -2.64499 41.069998)",yes,,
29556040,CM-110,Calle de Alfonso VI,primary,False,True,84.622,,"LINESTRING (-2.6445959 41.0696149, -2.6445148 41.0695307, -2.644242 41.0692547, -2.644092 41.0689631)",,,
257366703,,Calle Vicente Moñux,residential,True,False,61.337,,"LINESTRING (-2.6445959 41.0696149, -2.6445585 41.0697107, -2.6444605 41.0699541, -2.6444318 41.0701503)",,,
229473516,,Calle Bajada del Portal Mayor,residential,False,False,20.635,,"LINESTRING (-2.6451549 41.064253, -2.6449215 41.0643119)",,,
557529605,,Calle de la Cruz Dorada,residential,False,False,48.605,,"LINESTRING (-2.6451549 41.064253, -2.6452598 41.0638231)",,,
146664931,,Calle de la Cruz Dorada,residential,False,True,67.09,,"LINESTRING (-2.6451549 41.064253, -2.6450822 41.0646623, -2.6450408 41.0647754, -2.6450286 41.0648479)",,,
557529606,,Calle Bajada de San Jeronimo,residential,False,True,13.994,,"LINESTRING (-2.6435451 41.0651913, -2.6437001 41.0651446)",,,
404177582,,Calle Valencia,residential,False,True,171.85199999999998,yes,"LINESTRING (-2.6435451 41.0651913, -2.6435884 41.0652699, -2.6437154 41.0655001, -2.6439649 41.0660367, -2.6440196 41.066263, -2.6438714 41.06666)",,,
448201430,,Calle Valencia,residential,False,False,134.23,yes,"LINESTRING (-2.6435451 41.0651913, -2.6434684 41.0650819, -2.6427973 41.0641239)",,,
"[633852488, 160266877, 633852487]",,Calle del Portal Mayor,living_street,False,True,42.203,,"LINESTRING (-2.6435451 41.0651913, -2.643358 41.0652102, -2.6433259 41.0652182, -2.6431456 41.0652293, -2.6430457 41.0652306)",,building_passage,
