osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,junction,width,bridge
222862199,True,Carrer d'Òdena,residential,50,False,47.667,"LINESTRING (1.6194893 41.5825156, 1.6193587 41.5820982)",,,,
222862198,True,Carrer d'Òdena,residential,50,False,29.344,"LINESTRING (1.6192312 41.5814286, 1.6192178 41.5813637, 1.6191773 41.5811678)",,,,
1170473792,True,Passeig Mossèn Jacint Verdaguer,residential,50,False,121.43,"LINESTRING (1.6192312 41.5814286, 1.6193303 41.5813954, 1.6204865 41.5810083, 1.6205637 41.5809824)",,,,
34099018,True,Carrer de Sant Vicenç,residential,50,False,89.977,"LINESTRING (1.623148 41.580113, 1.622634 41.579401)",,,,
31153459,True,Carrer de Sant Carles,residential,50,False,33.667,"LINESTRING (1.622634 41.579401, 1.6222715 41.5795357)",,,,
34099018,True,Carrer de Sant Vicenç,residential,50,False,110.557,"LINESTRING (1.622634 41.579401, 1.6219913 41.5785307)",,,,
31153430,True,Carrer dels Esquiladors,residential,50,False,100.66,"LINESTRING (1.6211956 41.5799552, 1.6206356 41.5791527)",,,,
31153459,True,Carrer de Sant Carles,residential,50,False,106.258,"LINESTRING (1.6211956 41.5799552, 1.620137 41.5804901)",,,,
34099022,True,Carrer del Vidre,residential,50,False,37.899,"LINESTRING (1.6203585 41.5787351, 1.6201051 41.5788657, 1.6199614 41.5788395)",,,,
31153452,False,Plaça de la Creu,residential,,False,4.961,"LINESTRING (1.6152711 41.578551, 1.6152923 41.5785927)",,,,
210924320,False,Carrer de Santa Anna,residential,50,False,56.147,"LINESTRING (1.6152711 41.578551, 1.6157333 41.578183)",,,,
"[31153451, 330595150]",True,"['Carrer de Sant Domènec', 'Plaça de la Creu']",residential,,False,43.051,"LINESTRING (1.6152711 41.578551, 1.6151096 41.5785512, 1.6150245 41.5785744, 1.6149533 41.5785938, 1.6148693 41.5786108, 1.6147666 41.5786102)",,,,
31371643,False,Rambla Nova,tertiary,50,False,112.487,"LINESTRING (1.61632 41.57967, 1.6150008 41.5798927)",,,,
31371646,False,Rambla de Sant Isidre,tertiary,50,True,204.84400000000002,"LINESTRING (1.61632 41.57967, 1.6165823 41.5796212, 1.6168629 41.5795818, 1.617228 41.5795487, 1.6180385 41.5794616, 1.6187522 41.5793886)",,,,
313460118,False,Carrer de Garcia Fossas,residential,,True,54.582,"LINESTRING (1.61632 41.57967, 1.6162172 41.5795784, 1.6158722 41.5793115)",,,,
222862200,True,Carrer de Sant Josep,residential,50,False,44.269,"LINESTRING (1.6207686 41.5811892, 1.6208303 41.5812567, 1.6209991 41.5814413, 1.6210691 41.5815178)",,,,
1180465263,True,Passeig Mossèn Jacint Verdaguer,residential,50,False,136.49,"LINESTRING (1.6207686 41.5811892, 1.6206715 41.5812224, 1.6194585 41.5816352, 1.6194349 41.5816432, 1.6192735 41.5816951)",,,,
31426841,False,Carrer de la Concepció,residential,50,False,54.391999999999996,"LINESTRING (1.6188025 41.5778117, 1.6182873 41.5776978, 1.6181749 41.5776744)",,,,
31426841,False,Carrer de la Concepció,residential,50,True,77.429,"LINESTRING (1.6188025 41.5778117, 1.6189073 41.5778365, 1.6191904 41.5778549, 1.619377 41.5778622, 1.6195136 41.5778679, 1.6197205 41.5779061)",,,,
1163850157,False,Carrer de la Caritat,residential,50,True,18.726,"LINESTRING (1.6188025 41.5778117, 1.6188268 41.5777857, 1.6188982 41.5777706, 1.6190002 41.5777429)",,,,
31257449,False,Ronda del Rec,residential,30,False,131.338,"LINESTRING (1.6188438 41.5770631, 1.6187564 41.5770561, 1.6186198 41.5770236, 1.6184182 41.5769908, 1.6182183 41.5769843, 1.6180185 41.5769898, 1.6177163 41.5769865, 1.6175809 41.5769658, 1.6174897 41.5769518, 1.6172982 41.5768914)",,,,
