osmid,ref,name,highway,junction,oneway,reversed,length,geometry,maxspeed,lanes,tunnel
42453175,N-332A,Plaça de la Dansa dels Porrots,secondary,roundabout,True,False,3.261,"LINESTRING (-0.4068527 39.3654579, -0.4068896 39.3654511)",,,
42839552,N-332A,Avinguda d'Alacant,secondary,,True,False,24.001,"LINESTRING (-0.4069433 39.3651294, -0.406995 39.3649477, -0.4070044 39.3649188)",,,
1267903964,N-332A,Plaça de la Dansa dels Porrots,secondary,roundabout,True,False,8.971,"LINESTRING (-0.4069433 39.3651294, -0.4068966 39.3651115, -0.4068458 39.3651021)",,,
"[1267903963, 1267903965]",N-332A,Plaça de la Dansa dels Porrots,secondary,roundabout,True,False,53.099000000000004,"LINESTRING (-0.4068458 39.3651021, -0.4067687 39.3651048, -0.4066969 39.3651269, -0.4066385 39.3651659, -0.4065999 39.3652176, -0.4065854 39.3652762, -0.4065964 39.3653353, -0.4066319 39.3653883, -0.4066879 39.3654294)",,,
42453176,N-332A,Avinguda d'Alacant,secondary,,True,False,155.919,"LINESTRING (-0.4066879 39.3654294, -0.406644 39.3655308, -0.4065991 39.3656729, -0.406589 39.3657012, -0.4064119 39.3661972, -0.4062572 39.3666306, -0.4062236 39.366723, -0.4062028 39.3667803)",30,,
1267903966,N-332A,Plaça de la Dansa dels Porrots,secondary,roundabout,True,False,14.817,"LINESTRING (-0.4066879 39.3654294, -0.4067392 39.3654494, -0.4067953 39.3654591, -0.4068527 39.3654579)",,,
42453175,N-332A,Plaça de la Dansa dels Porrots,secondary,roundabout,True,False,24.872,"LINESTRING (-0.4070426 39.3653251, -0.4070495 39.3652695, -0.4070339 39.3652148, -0.4069973 39.3651666, -0.4069433 39.3651294)",,,
181063333,,Carrer de la Vega,residential,,True,False,24.446,"LINESTRING (-0.4092332 39.359414, -0.4092748 39.3594472, -0.4093987 39.359592)",,,
"[547147664, 37276673]",,Carrer de Fernández de Azagra,residential,,True,False,100.744,"LINESTRING (-0.4092332 39.359414, -0.4092827 39.3592743, -0.4093517 39.3590797, -0.4100317 39.3588887)",,,
1164883540,,,residential,,True,False,13.213000000000001,"LINESTRING (-0.4092332 39.359414, -0.4091768 39.3593561, -0.4091342 39.3593235)",,,
98463244,,Avinguda d'Alacant,residential,,True,False,68.32,"LINESTRING (-0.4089923 39.3599995, -0.4092332 39.359414)",,1,
615754848,,Carrer de Jacinto Benavente,residential,,False,False,6.69,"LINESTRING (-0.4076212 39.3669733, -0.4076989 39.3669766)",,,
615754848,,Carrer de Jacinto Benavente,residential,,False,True,33.225,"LINESTRING (-0.4076212 39.3669733, -0.4072349 39.3669638)",,,
755432663,,Carrer de València,residential,,False,False,83.569,"LINESTRING (-0.4101626 39.3675681, -0.4101726 39.3674078, -0.4101733 39.3673473, -0.4101753 39.3671611, -0.4101702 39.3669455, -0.4101672 39.3668168)",30,,
615754848,,Carrer de Jacinto Benavente,residential,,False,False,11.147,"LINESTRING (-0.4076989 39.3669766, -0.4078284 39.3669818)",,,
615754848,,Carrer de Jacinto Benavente,residential,,False,True,6.69,"LINESTRING (-0.4076989 39.3669766, -0.4076212 39.3669733)",,,
148581606,,Carrer de Jacinto Benavente,residential,,False,False,17.158,"LINESTRING (-0.4064086 39.3669329, -0.4066081 39.3669377)",,,
615754842,,,residential,,False,False,13.671,"LINESTRING (-0.4064086 39.3669329, -0.4062507 39.3669183)",,,
1024514396,,Avinguda d'Alacant,residential,,True,False,170.175,"LINESTRING (-0.4064086 39.3669329, -0.4064635 39.3667786, -0.4068393 39.3657223, -0.406846 39.3657035, -0.4069136 39.3656196, -0.406985 39.3655899, -0.4070606 39.3656079, -0.4070958 39.365626)",,,
37281123,CV-4110,Avinguda dels Reis Catòlics,tertiary,,False,False,18.243,"LINESTRING (-0.4076372 39.3659285, -0.4074631 39.3658347)",30,,
