osmid,oneway,name,highway,reversed,length,geometry,access,lanes,maxspeed,width,tunnel
239499977,True,Gran Vía,residential,False,6.757,"LINESTRING (-3.7060675 40.420314, -3.706058 40.4203354, -3.7060687 40.4203727)",,,,,
"[551051371, 269291945, 909056211, 335713716]",False,Calle de Jacometrezo,residential,True,180.75599999999997,"LINESTRING (-3.7060675 40.420314, -3.7061777 40.4202392, -3.7062436 40.4202125, -3.7063111 40.4201983, -3.7068014 40.4202049, -3.7070537 40.4202098, -3.7072453 40.420215, -3.7073987 40.4202172, -3.7079508 40.4202326, -3.7081532 40.4202383)",permissive,,,,
"[429442228, 490391709]",True,Gran Vía,tertiary,False,64.429,"LINESTRING (-3.7060675 40.420314, -3.7059832 40.4202731, -3.7059148 40.4202522, -3.7058183 40.4202403, -3.705711 40.4202377, -3.7056282 40.4202476, -3.7055566 40.4202601, -3.7054769 40.4202689, -3.7053328 40.4202772)",,2,30,,
"[31261528, 4518854, 49016406]",True,"['Calle Mayor', 'Plaza de Santa Cruz', 'Calle de Esparteros']","['residential', 'living_street']",False,337.90799999999996,"LINESTRING (-3.7069956 40.4162625, -3.7069432 40.41627, -3.7067907 40.4162892, -3.7058927 40.4164023, -3.7058269 40.4164105, -3.705769 40.4164178, -3.7051871 40.4164911, -3.7051328 40.4164979, -3.7051099 40.4164992, -3.7050873 40.4164905, -3.7050766 40.4164803, -3.7050669 40.4164656, -3.7050648 40.416454, -3.7050683 40.416426, -3.7050809 40.4163612, -3.705172 40.4158793, -3.7051908 40.4158139, -3.7052295 40.4157304, -3.7055127 40.4152841, -3.7055396 40.4151901, -3.7055935 40.4149991)",permissive,,"['20', '30']",,
31261632,True,Calle de Felipe III,residential,False,38.121,"LINESTRING (-3.7069956 40.4162625, -3.7069811 40.4162515, -3.7069728 40.4162347, -3.7068919 40.4159316)",,,,,
"[435012914, 4518851, 7971925, 31021779]",True,"['Plaza de San Martín', 'Calle de Bordadores', 'Calle de San Martín']","['residential', 'living_street']",False,249.835,"LINESTRING (-3.7079559 40.4161369, -3.707928 40.4161666, -3.7078803 40.4162208, -3.7078461 40.4162687, -3.7074059 40.4168206, -3.7073845 40.4168528, -3.7073649 40.416901, -3.7071859 40.4173403, -3.7071594 40.4173883, -3.7071212 40.4174573, -3.7069019 40.4177653, -3.7066571 40.4180635, -3.706645 40.4180831, -3.7066256 40.4181285)",destination,1,20,,
31261528,True,Calle Mayor,residential,False,82.543,"LINESTRING (-3.7079559 40.4161369, -3.7078894 40.4161412, -3.7076908 40.4161601, -3.7071809 40.4162365, -3.7071462 40.4162411, -3.7070122 40.4162606, -3.7069956 40.4162625)",permissive,,30,,
"[7971923, 334382541, 334382542]",True,Calle de las Hileras,"['residential', 'living_street']",False,194.42299999999997,"LINESTRING (-3.7084672 40.4167712, -3.7078124 40.4175201, -3.7077681 40.4175707, -3.7077179 40.4176272, -3.7074056 40.4179792, -3.7072813 40.4181302, -3.7072825 40.4181768, -3.7073452 40.4182283)",destination,1,,,
31053363,True,Plaza del Comandante Las Morenas,tertiary,False,12.984,"LINESTRING (-3.7086384 40.4163773, -3.7087072 40.4163499, -3.7087246 40.4163382, -3.7087309 40.4163246, -3.7087332 40.4162991)",,,,,
4518854,True,Plaza de Santa Cruz,living_street,False,22.505,"LINESTRING (-3.7055935 40.4149991, -3.7056015 40.4147968)",permissive,,20,,
4519451,True,Calle de la Bolsa,living_street,False,102.25300000000001,"LINESTRING (-3.7055935 40.4149991, -3.7054195 40.414988, -3.704955 40.4149608, -3.7044106 40.4148393)",,,,,
"[34095411, 49016415]",False,"['Plaza de la Provincia', 'Calle Imperial']","['living_street', 'residential']",False,71.721,"LINESTRING (-3.7056015 40.4147968, -3.7056377 40.4147974, -3.7057481 40.4147991, -3.7060109 40.4148032, -3.7063589 40.4147546, -3.7064412 40.4147423)",,2,"['20', '50']",,
5930450,True,Calle de El Salvador,residential,False,40.903000000000006,"LINESTRING (-3.7064047 40.4143755, -3.7064362 40.4146917, -3.7064412 40.4147423)",,1,,,
34095405,True,Calle de la Paz,living_street,False,54.744,"LINESTRING (-3.7041798 40.4152992, -3.7041964 40.4152663, -3.7044106 40.4148393)",,,,,
"[155872376, 4519451]",True,"['Plaza de Jacinto Benavente', 'Calle de la Bolsa']",living_street,False,94.009,"LINESTRING (-3.7044106 40.4148393, -3.7039672 40.4147291, -3.7033558 40.4145751)",,,,3,
79638499,True,Plaza de Jacinto Benavente,residential,False,21.034,"LINESTRING (-3.7033558 40.4145751, -3.7031173 40.4145221)",no,,,,
633727949,False,Calle de Carretas,residential,False,47.747,"LINESTRING (-3.7033558 40.4145751, -3.7033678 40.4144831, -3.7035667 40.4141821)",,,,,
31262321,True,Calle de la Concepción Jerónima,tertiary,False,157.32,"LINESTRING (-3.7045481 40.4140127, -3.7046157 40.4139835, -3.7047141 40.4139498, -3.7047738 40.4139361, -3.7048415 40.4139267, -3.7051897 40.4139567, -3.7055564 40.413982, -3.7058261 40.4139839, -3.7061889 40.4139771, -3.7063758 40.4139503)",,,30,,
31262334,True,Calle del Conde de Romanones,residential,False,164.497,"LINESTRING (-3.7045481 40.4140127, -3.7046197 40.4138243, -3.7047445 40.4134951, -3.7050512 40.4126667, -3.7051025 40.412597)",,1,30,,
66835311,True,Plaza de Jacinto Benavente,tertiary,False,33.994,"LINESTRING (-3.7035667 40.4141821, -3.703761 40.4142492, -3.7039317 40.4143095)",,2,50,,
633727949,False,Calle de Carretas,residential,True,47.747,"LINESTRING (-3.7035667 40.4141821, -3.7033678 40.4144831, -3.7033558 40.4145751)",,,,,
"[685983423, 423231391]",True,"['Calle de Atocha', 'Plaza de Jacinto Benavente']",tertiary,False,51.516000000000005,"LINESTRING (-3.7028457 40.4139296, -3.7032363 40.4140691, -3.7033242 40.414099, -3.703398 40.414124)",,2,50,,
4328790,True,Calle de la Cruz,residential,False,157.949,"LINESTRING (-3.7025602 40.4149603, -3.7023266 40.4151447, -3.7016665 40.4156435, -3.7012179 40.4159459)",,,30,,
4328791,False,Calle de Barcelona,living_street,True,93.875,"LINESTRING (-3.7025602 40.4149603, -3.7025982 40.4157539, -3.7025992 40.415804)",destination,,,,
4328791,False,Calle de Barcelona,living_street,False,93.875,"LINESTRING (-3.7025992 40.415804, -3.7025982 40.4157539, -3.7025602 40.4149603)",destination,,,,
"[29487193, 29486859]",True,"['Plaza del Ángel', 'Calle de San Sebastián']","['residential', 'living_street']",False,106.528,"LINESTRING (-3.7013238 40.4144375, -3.7013553 40.4144044, -3.7013708 40.4143881, -3.7014061 40.4143103, -3.7014257 40.4141279, -3.7014413 40.4140945, -3.7016835 40.413575, -3.7017025 40.4135324)",,,"['20', '30']",2.5,
"[7642965, 29487231]",True,"['Calle de Núñez de Arce', 'Plaza de Santa Ana']",residential,False,168.558,"LINESTRING (-3.7013238 40.4144375, -3.7013386 40.4148283, -3.7013566 40.4148761, -3.7013557 40.4149266, -3.7013368 40.4150556, -3.7012179 40.4159459)",,,30,,
423231391,True,Calle de Atocha,tertiary,False,48.544,"LINESTRING (-3.7017025 40.4135324, -3.7022238 40.4137142)",,2,50,,
423231391,True,Calle de Atocha,tertiary,False,57.843,"LINESTRING (-3.7022238 40.4137142, -3.7028457 40.4139296)",,2,50,,
7642974,True,Calle de Luis Vélez de Guevara,residential,False,147.227,"LINESTRING (-3.7022238 40.4137142, -3.7025556 40.4124845, -3.702569 40.4124166)",,,,,
41699453,False,Calle de Toledo,tertiary,True,70.736,"LINESTRING (-3.7075514 40.412713, -3.7075236 40.412797, -3.7074487 40.4131823, -3.7074179 40.4133406)",,2,50,,
