osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,ref,junction,access
4748253,True,Carrer de Severo Ochoa,residential,False,137.84599999999998,"LINESTRING (2.0715363 41.3856003, 2.0726115 41.3849032, 2.0726848 41.3848621, 2.0727184 41.3848436, 2.0727974 41.3848)",,,,,
54118676,True,Passeig de Can Sagrera,residential,False,99.69999999999999,"LINESTRING (2.0715363 41.3856003, 2.0711442 41.3852854, 2.0707205 41.3849451)",30,,,,
"[561591142, 912808583]",False,Avinguda de la Industria,tertiary,False,88.902,"LINESTRING (2.0727974 41.3848, 2.072986 41.3849988, 2.0733528 41.3852388, 2.0734606 41.3852954, 2.0735775 41.3853219)",30,2,,,
"[249007343, 912808583]",False,Avinguda de la Industria,tertiary,True,112.644,"LINESTRING (2.0727974 41.3848, 2.0721277 41.3840953, 2.0719777 41.3839999)",30,2,,,
28990611,True,Carrer de Josep Modolell,residential,False,74.612,"LINESTRING (2.0773473 41.3853768, 2.0764923 41.38518)",,,,,
"[4748254, 28984007]",True,"['Carrer de la Esglesia', 'Carrer de Dolors Modolell']",residential,False,137.24,"LINESTRING (2.0773473 41.3853768, 2.0773318 41.3854144, 2.0771586 41.3858687, 2.076252 41.3859174, 2.0761982 41.3859195)",,,,,
4783758,True,Carrer de l'Ateneu,living_street,False,156.943,"LINESTRING (2.0765392 41.3824124, 2.0771157 41.3810689)",20,,,,
561363010,True,Carrer de la Creu,residential,False,87.753,"LINESTRING (2.0765392 41.3824124, 2.0755392 41.3821678)",,,,,
28972625,False,Carrer Major,tertiary,False,85.708,"LINESTRING (2.0771157 41.3810689, 2.0780938 41.3813045)",30,,,,
28990827,True,Carrer de l'Ateneu,residential,False,89.438,"LINESTRING (2.0771157 41.3810689, 2.077446 41.3803037)",30,,,,
28972625,False,Carrer Major,tertiary,True,87.203,"LINESTRING (2.0771157 41.3810689, 2.0769497 41.3810283, 2.0768586 41.381006, 2.076122 41.3808258)",30,,,,
