osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,tunnel
82560106,AS-15,Pintor Luis Álvarez,primary,False,False,6.172,"LINESTRING (-6.5506051 43.1800831, -6.5506481 43.1800373)",,,
"[532068976, 82560106]",AS-15,"['Avenida de Oviedo', 'Pintor Luis Álvarez']",primary,False,True,20.339,"LINESTRING (-6.5506051 43.1800831, -6.5505254 43.1801441, -6.5504637 43.180176, -6.5504085 43.1801925)",,,
689011572,AS-213,Calle Uría (El Paséu),secondary,False,False,174.335,"LINESTRING (-6.5468378 43.1738281, -6.5471415 43.174152, -6.5472982 43.1744111, -6.547371 43.1745705, -6.547631 43.1752695)",2,,
"[785838601, 23023756]",AS-15,"['Carretera Cornellana - Puerto de Cerredo', 'Pintor Luis Álvarez']",primary,False,True,83.08500000000001,"LINESTRING (-6.5522038 43.1761246, -6.5521897 43.1764668, -6.552189 43.1765637, -6.5522007 43.1766601, -6.5522217 43.176742, -6.5522615 43.1768148, -6.5523016 43.1768547)",,yes,
23023757,AS-15,Carretera Cornellana - Puerto de Cerredo,primary,False,False,32.444,"LINESTRING (-6.5522038 43.1761246, -6.5521975 43.176055, -6.5521607 43.1758346)",2,,
82567399,CN-1,Avenida Barrio Nuevo,tertiary,False,False,44.672000000000004,"LINESTRING (-6.5522038 43.1761246, -6.5523683 43.1762704, -6.5525511 43.1764093, -6.5525773 43.1764165)",,,
"[84790386, 84790381, 84790399]",CN-1,,tertiary,True,False,53.765,"LINESTRING (-6.5523016 43.1768547, -6.5523327 43.1767955, -6.5524797 43.1766044, -6.5525621 43.1764524, -6.5525773 43.1764165)",,yes,
"[785838601, 23023756]",AS-15,"['Carretera Cornellana - Puerto de Cerredo', 'Pintor Luis Álvarez']",primary,False,False,83.08500000000001,"LINESTRING (-6.5523016 43.1768547, -6.5522615 43.1768148, -6.5522217 43.176742, -6.5522007 43.1766601, -6.552189 43.1765637, -6.5521897 43.1764668, -6.5522038 43.1761246)",,yes,
785838601,AS-15,Pintor Luis Álvarez,primary,False,True,71.488,"LINESTRING (-6.5523016 43.1768547, -6.5524285 43.1769648, -6.5525672 43.17706, -6.5526942 43.1771518, -6.5527893 43.1772592, -6.5528343 43.1773557)",,,
82560106,AS-15,Pintor Luis Álvarez,primary,False,False,2.42,"LINESTRING (-6.5522174 43.1783053, -6.5522312 43.178286)",,,
