osmid,name,highway,oneway,reversed,length,geometry,tunnel,lanes,ref,maxspeed,junction
80898458,Avenida de García Siñeriz,residential,False,True,10.827,"LINESTRING (-5.9123713 39.1539488, -5.9123205 39.1539627, -5.9122554 39.153986)",,,,,
"[827320680, 209969060, 827320679]",Calle Donoso Cortés,residential,False,False,30.567,"LINESTRING (-5.9123713 39.1539488, -5.9123397 39.1539281, -5.9121314 39.1537918, -5.9121004 39.1537715)",yes,,,,
209966898,Calle de Cáceres,residential,False,True,67.05499999999999,"LINESTRING (-5.912914 39.1481835, -5.9129518 39.1482161, -5.912982 39.1482318, -5.9130181 39.1482434, -5.9130618 39.1482464, -5.9131333 39.1482478, -5.913302 39.1482314, -5.9136616 39.148215)",,,,,
826598403,Avenida de la Cruz de los Pajares,residential,False,False,105.84900000000002,"LINESTRING (-5.912914 39.1481835, -5.9128268 39.1482335, -5.9123616 39.1485006, -5.9122722 39.1485562, -5.9119445 39.1487668)",,,,,
826598403,Avenida de la Cruz de los Pajares,residential,False,True,64.91199999999999,"LINESTRING (-5.912914 39.1481835, -5.9133237 39.1479409, -5.9134668 39.1478584, -5.9135141 39.1478311)",,,,,
826976339,Calle de la Paz,residential,False,True,48.577999999999996,"LINESTRING (-5.912914 39.1481835, -5.9128259 39.1481393, -5.9125957 39.1480534, -5.9125156 39.1480248, -5.912421 39.1479744)",,,,,
209966898,Calle de Cáceres,residential,False,True,46.919,"LINESTRING (-5.9136616 39.148215, -5.9142051 39.1482347)",,,,,
209966900,Calle de Zafra,residential,False,True,216.69,"LINESTRING (-5.9136616 39.148215, -5.9137922 39.1501611)",,,,,
209966898,Calle de Cáceres,residential,False,False,67.05499999999999,"LINESTRING (-5.9136616 39.148215, -5.913302 39.1482314, -5.9131333 39.1482478, -5.9130618 39.1482464, -5.9130181 39.1482434, -5.912982 39.1482318, -5.9129518 39.1482161, -5.912914 39.1481835)",,,,,
209966897,Calle Averroes,residential,False,True,210.654,"LINESTRING (-5.9142051 39.1482347, -5.9143505 39.1501258)",,,,,
209966898,Calle de Cáceres,residential,False,False,46.919,"LINESTRING (-5.9142051 39.1482347, -5.9136616 39.148215)",,,,,
209966897,Calle Averroes,residential,False,False,210.654,"LINESTRING (-5.9143505 39.1501258, -5.9142051 39.1482347)",,,,,
209966897,Calle Averroes,residential,False,True,111.442,"LINESTRING (-5.9143505 39.1501258, -5.9144283 39.1511262)",,,,,
209969063,Calle de Félix Rodríguez de la Fuente,residential,False,False,48.303,"LINESTRING (-5.9143505 39.1501258, -5.9137922 39.1501611)",,,,,
209969063,Calle de Félix Rodríguez de la Fuente,residential,False,True,40.443,"LINESTRING (-5.9143505 39.1501258, -5.9148194 39.1501336)",,,,,
209969063,Calle de Félix Rodríguez de la Fuente,residential,False,False,40.443,"LINESTRING (-5.9148194 39.1501336, -5.9143505 39.1501258)",,,,,
209966900,Calle de Zafra,residential,False,False,216.69,"LINESTRING (-5.9137922 39.1501611, -5.9136616 39.148215)",,,,,
209966900,Calle de Zafra,residential,False,True,69.018,"LINESTRING (-5.9137922 39.1501611, -5.9138166 39.1507815)",,,,,
209969063,Calle de Félix Rodríguez de la Fuente,residential,False,True,48.303,"LINESTRING (-5.9137922 39.1501611, -5.9143505 39.1501258)",,,,,
209969063,Calle de Félix Rodríguez de la Fuente,residential,False,False,83.63499999999999,"LINESTRING (-5.9137922 39.1501611, -5.9135083 39.1501636, -5.9133921 39.1501521, -5.9132119 39.1501293, -5.9130061 39.1500984, -5.912831 39.1500804)",,,,,
209966900,Calle de Zafra,residential,False,False,69.018,"LINESTRING (-5.9138166 39.1507815, -5.9137922 39.1501611)",,,,,
209969067,Calle Murillo,residential,False,True,65.202,"LINESTRING (-5.9138166 39.1507815, -5.9144283 39.1511262)",,,,,
209969067,Calle Murillo,residential,False,False,123.95200000000001,"LINESTRING (-5.9138166 39.1507815, -5.9132835 39.1504902, -5.9131901 39.1504333, -5.9128386 39.1501951, -5.9126993 39.1500841)",,,,,
209966897,Calle Averroes,residential,False,False,111.442,"LINESTRING (-5.9144283 39.1511262, -5.9143505 39.1501258)",,,,,
