osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,lanes,name,junction,bridge
1123608105,A-347R1,secondary,40,False,True,20.872,"LINESTRING (-2.9499335 36.8467487, -2.9500062 36.8466856, -2.9500198 36.8466303, -2.9499985 36.8465881)",,,,
1123608105,A-347R1,secondary,40,False,True,42.351,"LINESTRING (-2.9499985 36.8465881, -2.9498023 36.8462411)",,,,
1123608105,A-347R1,secondary,40,False,False,20.872,"LINESTRING (-2.9499985 36.8465881, -2.9500198 36.8466303, -2.9500062 36.8466856, -2.9499335 36.8467487)",,,,
36834503,A-347R1,secondary,40,True,False,12.116,"LINESTRING (-2.9498023 36.8462411, -2.9498213 36.8461332)",1,Avenida 28 de Febrero,,
1123608105,A-347R1,secondary,40,False,False,42.351,"LINESTRING (-2.9498023 36.8462411, -2.9499985 36.8465881)",,,,
36834503,A-347R1,secondary,40,True,False,25.423,"LINESTRING (-2.9498213 36.8461332, -2.9496793 36.8459348)",1,Avenida 28 de Febrero,,
124364866,,residential,,True,False,108.917,"LINESTRING (-2.9498213 36.8461332, -2.9498616 36.8460237, -2.950044 36.845998, -2.9502693 36.8460151, -2.9505911 36.8461697, -2.9506877 36.8462384, -2.9507122 36.8463692)",,,,
264280356,,residential,,False,False,105.293,"LINESTRING (-2.9486988 36.8449022, -2.949811 36.844579)",,Calle El Fuerte,,
264280355,A-347R1,secondary,40,True,False,82.58,"LINESTRING (-2.9486988 36.8449022, -2.9482439 36.8444008, -2.9481808 36.8442886)",1,Avenida 28 de Febrero,,
263641843,,residential,,False,False,15.212,"LINESTRING (-2.9479092 36.8436315, -2.9480705 36.8435862)",,Calle Pablo Iglesias,,
264280355,A-347R1,secondary,40,True,False,38.491,"LINESTRING (-2.9479092 36.8436315, -2.9478432 36.8432894)",1,Avenida 28 de Febrero,,
263641845,,residential,,False,False,78.909,"LINESTRING (-2.9477901 36.8428716, -2.9486718 36.842796)",,,,
264280355,A-347R1,secondary,40,True,False,50.261,"LINESTRING (-2.9477901 36.8428716, -2.9477925 36.8424196)",1,Avenida 28 de Febrero,,
263641816,,residential,,False,True,62.259,"LINESTRING (-2.9477679 36.841822, -2.9484661 36.8417862)",,Calle Jiménez Díaz,,
263641819,A-347R1,secondary,40,True,False,41.619,"LINESTRING (-2.9477679 36.841822, -2.9477147 36.8416222, -2.9476025 36.8415245, -2.9475612 36.8415072)",1,,,
264281185,,secondary,40,True,False,169.978,"LINESTRING (-2.9477679 36.841822, -2.9459791 36.8419581, -2.9458664 36.8419493)",1,Calle Dr. Fleming,,
36834458,A-347,secondary,,True,False,23.798,"LINESTRING (-2.9458664 36.8419493, -2.945895 36.8419219, -2.945911 36.8418887, -2.9459127 36.841853, -2.9458999 36.8418189, -2.945874 36.8417898, -2.9458378 36.841769)",,,roundabout,
29380588,A-347,secondary,,False,False,37.827,"LINESTRING (-2.9458378 36.841769, -2.9459771 36.8414476)",,Carretera de Adra,,
36834458,A-347,secondary,,True,False,13.89,"LINESTRING (-2.9458378 36.841769, -2.9458007 36.8417594, -2.9457617 36.8417586, -2.945724 36.8417667, -2.9456907 36.841783)",,,roundabout,
34919737,AL-461a,tertiary,,True,False,68.012,"LINESTRING (-2.9507122 36.8463692, -2.9499985 36.8465881)",,de Berja a Turón,,
36834419,A-347,secondary,,False,False,13.012,"LINESTRING (-2.9423258 36.8394612, -2.9424358 36.8395383)",,Avenida Jose Barrionuevo Peña,,
36834419,A-347,secondary,,False,True,69.261,"LINESTRING (-2.9456907 36.841783, -2.9455205 36.8416467, -2.9453873 36.8415488, -2.9451404 36.8413428)",,Avenida Jose Barrionuevo Peña,,
36834458,A-347,secondary,,True,False,9.82,"LINESTRING (-2.9456907 36.841783, -2.9456658 36.8418047, -2.9456492 36.841831, -2.9456419 36.8418598)",,,roundabout,
36834419,A-347,secondary,,False,False,77.235,"LINESTRING (-2.944512 36.8408637, -2.9451404 36.8413428)",,Avenida Jose Barrionuevo Peña,,
36834419,A-347,secondary,,False,True,14.697,"LINESTRING (-2.944512 36.8408637, -2.9443907 36.840774)",,Avenida Jose Barrionuevo Peña,,
442207237,,residential,,True,False,55.276,"LINESTRING (-2.944512 36.8408637, -2.9449751 36.8405324)",,Calle Huelva,,
36834458,A-347,secondary,,True,False,23.595,"LINESTRING (-2.9456419 36.8418598, -2.9456463 36.841895, -2.9456646 36.8419272, -2.9456948 36.841953, -2.9457337 36.8419698, -2.9457773 36.8419756, -2.9458209 36.84197)",,,roundabout,
718470478,,residential,,True,False,54.513999999999996,"LINESTRING (-2.9456419 36.8418598, -2.9455672 36.8418821, -2.9451698 36.8421662)",,,,
