osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,ref,junction,width
25691482,carrer de Son Prim,residential,False,False,46.760999999999996,"LINESTRING (2.4226608 39.570485, 2.4228415 39.5706915, 2.4228924 39.5708584)",,,,,,
235135352,avinguda d'en Bartomeu Esteva,tertiary,False,True,42.534,"LINESTRING (2.4226608 39.570485, 2.4227002 39.5704526, 2.4229168 39.5702743, 2.423 39.5702058)",2,50,,,,
478512397,avinguda d'en Bartomeu Esteva,tertiary,False,False,63.789,"LINESTRING (2.4226608 39.570485, 2.4224314 39.5705808, 2.4220064 39.5707582)",,50,,,,
"[151777094, 372725447]","['Pont de Can Terrola', 'avinguda Joan Carles I']",tertiary,False,False,34.454,"LINESTRING (2.4214907 39.5709808, 2.4214257 39.5710532, 2.4212654 39.5712374)",,,yes,Ma-10,,
478819098,,tertiary,True,False,11.863,"LINESTRING (2.4214907 39.5709808, 2.4214591 39.5709701, 2.4214337 39.570952, 2.4214173 39.5709285, 2.4214118 39.5709021)",,,,Ma-10,roundabout,
143917242,avinguda Joan Carles I,tertiary,True,False,70.265,"LINESTRING (2.4212654 39.5712374, 2.4212505 39.5718692)",,,,Ma-10,,
"[151777094, 372725447]","['Pont de Can Terrola', 'avinguda Joan Carles I']",tertiary,False,True,34.454,"LINESTRING (2.4212654 39.5712374, 2.4214257 39.5710532, 2.4214907 39.5709808)",,,yes,Ma-10,,
23544449,Avinguda de la Cúria,tertiary,False,False,55.829,"LINESTRING (2.4211864 39.574679, 2.4218373 39.5746984)",,,,Ma-10,,
1124444318,avinguda Joan Carles I,tertiary,True,False,37.165,"LINESTRING (2.4211864 39.574679, 2.4211925 39.5750132)",,,,,,
43624793,carrer de l'Arxiduc,residential,True,False,128.371,"LINESTRING (2.4211864 39.574679, 2.4204116 39.5744758, 2.419767 39.5743105)",,,,,,
52906959,carrer General Bernat Riera,tertiary,True,False,11.158,"LINESTRING (2.420934 39.5772394, 2.4208045 39.5772497)",,,,Ma-1030,,
52906957,carrer General Bernat Riera,residential,True,False,119.133,"LINESTRING (2.420934 39.5772394, 2.4211853 39.5772181, 2.4212931 39.5772375, 2.4213695 39.5772801, 2.4214182 39.5773629, 2.4215306 39.5775879, 2.421549 39.5776142, 2.4216469 39.5777955, 2.4216775 39.577954)",,,,,,
143901884,Plaça des Pou,tertiary,False,True,22.996000000000002,"LINESTRING (2.420934 39.5772394, 2.4209218 39.5771669, 2.4209768 39.5770401)",,,,Ma-1030,,
23544441,camí de sa Rectoria,residential,True,False,168.804,"LINESTRING (2.4216775 39.577954, 2.4217411 39.5779515, 2.4218358 39.5777476, 2.4219008 39.5777113, 2.4219683 39.5777012, 2.4221523 39.5777093, 2.4224502 39.5776857, 2.4234422 39.5776728)",,,,,,
53626155,,residential,False,False,228.84500000000003,"LINESTRING (2.4216775 39.577954, 2.4215753 39.5783514, 2.4215527 39.5784625, 2.4215983 39.5785334, 2.4216638 39.5785891, 2.4217657 39.5786223, 2.421812 39.5786264, 2.421861 39.5786307, 2.4219901 39.5786131, 2.42217 39.5785836, 2.4223817 39.578528, 2.4227254 39.5784484, 2.4229736 39.5789482)",,,,,,3
498760223,camí de sa Rectoria,residential,False,False,26.385,"LINESTRING (2.4234422 39.5776728, 2.4235894 39.5774644)",,,,,,
23544449,Avinguda de la Cúria,tertiary,False,False,81.07,"LINESTRING (2.4218373 39.5746984, 2.4224597 39.5752474)",,,,Ma-10,,
23544449,Avinguda de la Cúria,tertiary,False,True,55.829,"LINESTRING (2.4218373 39.5746984, 2.4211864 39.574679)",,,,Ma-10,,
143888123,carrer Jaume Tortella,residential,True,False,63.756,"LINESTRING (2.4218373 39.5746984, 2.4218073 39.5752713)",,,,,,
32790450,via Joan Riera,residential,True,False,116.446,"LINESTRING (2.4218373 39.5746984, 2.4218415 39.5742042, 2.422479 39.5739505)",,,,,,
23544449,Avinguda de la Cúria,tertiary,False,False,90.467,"LINESTRING (2.4224597 39.5752474, 2.4231543 39.57586)",,,,Ma-10,,
23544449,Avinguda de la Cúria,tertiary,False,True,81.07,"LINESTRING (2.4224597 39.5752474, 2.4218373 39.5746984)",,,,Ma-10,,
32790448,carrer de Son Moner,residential,True,False,55.393,"LINESTRING (2.4224597 39.5752474, 2.4224156 39.5757444)",,,,,,
32790545,carrer Son Esteva,residential,True,False,55.979,"LINESTRING (2.4224597 39.5752474, 2.4218073 39.5752713)",,,,,,
478819097,,tertiary,True,False,9.208,"LINESTRING (2.4214623 39.5708336, 2.4214957 39.5708236, 2.4215315 39.5708228, 2.4215655 39.5708314)",,,,Ma-10,roundabout,
25691482,carrer de Son Prim,residential,False,True,282.074,"LINESTRING (2.4247894 39.5727341, 2.4244107 39.5720062, 2.4241144 39.5716948, 2.4239839 39.5716327, 2.4238117 39.5715799, 2.4232076 39.5713798, 2.4230929 39.5713168, 2.4229993 39.5712089, 2.4228924 39.5708584)",,,,,,
"[143888147, 781422572, 781422571]",via Joan Riera,residential,False,False,130.163,"LINESTRING (2.4247894 39.5727341, 2.4247287 39.5728443, 2.4243537 39.5731978, 2.4242829 39.5732619, 2.4240512 39.5734571, 2.4237496 39.5735359)",,,yes,,,
819560358,camí de Son Xina,unclassified,False,True,119.84299999999999,"LINESTRING (2.4247894 39.5727341, 2.4250983 39.572729, 2.4255428 39.5730898, 2.42586 39.573329)",,,,,,
143888176,Carrer de Son Lluís,residential,False,False,46.669000000000004,"LINESTRING (2.4237496 39.5735359, 2.4235855 39.573623, 2.4235585 39.5736824, 2.4235712 39.5737846, 2.4236622 39.5738566)",,,,,,
"[143888147, 781422571, 781422572]",via Joan Riera,residential,False,True,130.163,"LINESTRING (2.4237496 39.5735359, 2.4240512 39.5734571, 2.4242829 39.5732619, 2.4243537 39.5731978, 2.4247287 39.5728443, 2.4247894 39.5727341)",,,yes,,,
143888176,Carrer de Son Lluís,residential,False,False,17.901,"LINESTRING (2.4236622 39.5738566, 2.4238535 39.5739212)",,,,,,
143888176,Carrer de Son Lluís,residential,False,True,46.669,"LINESTRING (2.4236622 39.5738566, 2.4235712 39.5737846, 2.4235585 39.5736824, 2.4235855 39.573623, 2.4237496 39.5735359)",,,,,,
143888176,Carrer de Son Lluís,residential,False,True,17.901,"LINESTRING (2.4238535 39.5739212, 2.4236622 39.5738566)",,,,,,
32790444,carrer de Son Bosc,residential,False,False,103.995,"LINESTRING (2.4238535 39.5739212, 2.4233222 39.5743445, 2.4232988 39.5746903)",,,,,,
143888176,Carrer de Son Lluís,residential,False,False,118.426,"LINESTRING (2.4238535 39.5739212, 2.4242667 39.5740872, 2.4249385 39.5745669)",,,,,,
32790458,carrer de Son Sampol,residential,False,False,74.643,"LINESTRING (2.4249385 39.5745669, 2.4243217 39.5750408)",,,,,,
143888176,Carrer de Son Lluís,residential,False,True,118.426,"LINESTRING (2.4249385 39.5745669, 2.4242667 39.5740872, 2.4238535 39.5739212)",,,,,,
478512383,Carrer de Son Lluís,residential,False,False,81.58,"LINESTRING (2.4249385 39.5745669, 2.4252017 39.5747539, 2.4256383 39.5750642)",,,,,,
26423711,,tertiary,True,False,13.957,"LINESTRING (2.4246048 39.5773382, 2.4246074 39.5772127)",,,,Ma-10,,
151777089,carretera del Port,tertiary,False,True,40.944,"LINESTRING (2.4208714 39.5705315, 2.4212468 39.5707592)",,,,Ma-10,,
43624789,carrer de Sallent,residential,True,False,92.639,"LINESTRING (2.4186332 39.5755052, 2.4176079 39.5752415)",,,,,,
143917234,carrer del Metge Gaspar Pujol,residential,True,False,33.966,"LINESTRING (2.4186332 39.5755052, 2.4187608 39.575216)",,,,,,
28923474,carrer d'Antoni Calafell,residential,True,False,34.759,"LINESTRING (2.4185845 39.5760583, 2.4189646 39.5761673)",,,,,,
143917234,carrer del Metge Gaspar Pujol,residential,True,False,26.807,"LINESTRING (2.4185845 39.5760583, 2.4186062 39.5758178)",,,,,,
