osmid,oneway,name,highway,reversed,length,geometry,junction,lanes,maxspeed,bridge
98374857,True,Calle del Almirante Cervera,residential,False,72.894,"LINESTRING (-6.194862 36.4665105, -6.1948538 36.4664959, -6.1945258 36.4659133)",,,,
1071863793,True,,tertiary,False,9.429,"LINESTRING (-6.2034302 36.4628615, -6.2034803 36.4628747, -6.203533 36.4628739)",roundabout,,,
98379867,True,Avenida del Almirante León Herrero,tertiary,False,28.494,"LINESTRING (-6.2036625 36.4627435, -6.2037632 36.4626534, -6.203817 36.4626035, -6.2038716 36.4625502)",,,,
1071863792,True,,tertiary,False,16.337,"LINESTRING (-6.2036625 36.4627435, -6.2036541 36.4627074, -6.2036333 36.4626747, -6.2036018 36.4626481, -6.2035622 36.4626298)",roundabout,,,
1071863791,True,,tertiary,False,14.087,"LINESTRING (-6.2035622 36.4626298, -6.2035108 36.462621, -6.2034587 36.4626262, -6.2034116 36.4626448)",roundabout,,,
98709645,False,Guardiamarinas,residential,False,22.457,"LINESTRING (-6.2034116 36.4626448, -6.2033809 36.462579, -6.2033463 36.4625419, -6.2032642 36.4624879)",,,,
1071863790,True,,tertiary,False,13.445,"LINESTRING (-6.2034116 36.4626448, -6.2033759 36.4626731, -6.2033531 36.462709, -6.2033453 36.4627488)",roundabout,,,
93714579,True,Avenida del Almirante León Herrero,tertiary,False,31.244000000000003,"LINESTRING (-6.2033453 36.4627488, -6.2032165 36.4628137, -6.2031158 36.4628787, -6.2030902 36.4629296)",,,,
1071863789,True,,tertiary,False,15.346999999999998,"LINESTRING (-6.2033453 36.4627488, -6.2033512 36.462783, -6.2033683 36.4628146, -6.2033953 36.4628415, -6.2034302 36.4628615)",roundabout,,,
98379519,False,Avenida del Almirante León Herrero,tertiary,False,44.539,"LINESTRING (-6.2030902 36.4629296, -6.2029861 36.4630129, -6.2028806 36.4631164, -6.2027716 36.4632364)",,4,,
1071863795,True,Avenida del Almirante León Herrero,tertiary,False,32.048,"LINESTRING (-6.2030902 36.4629296, -6.2031539 36.4629359, -6.2032645 36.4628891, -6.2034302 36.4628615)",,,,
