osmid,name,highway,oneway,reversed,length,geometry,ref,junction,tunnel
201073651,Travesía de la Loma,residential,False,False,60.476,"LINESTRING (-2.5989884 39.2696688, -2.5985769 39.269228)",,,
201073653,Calle Blas López,residential,False,True,119.666,"LINESTRING (-2.5989884 39.2696688, -2.5997492 39.2705695)",,,
201073663,Calle San Clemente,residential,False,False,59.317,"LINESTRING (-2.5989884 39.2696688, -2.5995074 39.2693179)",,,
201073663,Calle San Clemente,residential,False,True,51.32,"LINESTRING (-2.5989884 39.2696688, -2.5984909 39.2699231)",,,
86325660,Calle Tinajeros,residential,False,True,14.073,"LINESTRING (-2.6098161 39.2697331, -2.6096534 39.2697454)",,,
571803293,Calle Cruz de Piedra,residential,False,False,40.143,"LINESTRING (-2.6009325 39.2673629, -2.6012013 39.2670679)",,,
571803293,Calle Cruz de Piedra,residential,False,True,6.302,"LINESTRING (-2.6009325 39.2673629, -2.600904 39.2674151)",,,
1018247206,Calle Postigos Altos,residential,True,False,138.163,"LINESTRING (-2.6009325 39.2673629, -2.599662 39.2681221)",,,
135929366,Calle Sima,residential,False,False,70.326,"LINESTRING (-2.6009325 39.2673629, -2.6006429 39.2670039, -2.600471 39.2668425)",,,
135927533,Calle Santa Clara,tertiary,True,False,96.618,"LINESTRING (-2.6026356 39.2640772, -2.6026895 39.2646238, -2.602731 39.2649429)",,,
135931062,Calle Octavio Cuartero,residential,True,False,71.013,"LINESTRING (-2.6039581 39.2665294, -2.6046843 39.2668323)",,,
135919017,Calle Padre Francisco de la Caballería y Portillo,residential,True,False,74.311,"LINESTRING (-2.6039581 39.2665294, -2.6034201 39.2662693, -2.6032603 39.2661424)",,,
571797197,Plaza de Santa María,residential,True,False,62.319,"LINESTRING (-2.6073573 39.2674202, -2.6072044 39.2673633, -2.6070191 39.267347, -2.6068182 39.2672631, -2.6067502 39.2671688)",,,
135919022,Calle Madres,residential,True,False,56.829,"LINESTRING (-2.6050194 39.2644179, -2.6056563 39.2642836)",,,
86325743,Calle Arcipreste Gutiérrez,residential,True,False,55.826,"LINESTRING (-2.6050194 39.2644179, -2.6050307 39.2642158, -2.6050093 39.2639165)",,,
135916549,Cronista A. Sandoval,residential,True,False,56.175,"LINESTRING (-2.6050696 39.2649216, -2.6050194 39.2644179)",,,
135918996,San Bernardo,residential,False,False,16.144,"LINESTRING (-2.6050696 39.2649216, -2.6048893 39.2649615)",,,
135919018,Calle San Bernardo,residential,True,False,145.211,"LINESTRING (-2.6050696 39.2649216, -2.6060089 39.2648195, -2.6066629 39.2645544)",,,
86325658,Calle Don Pedro,residential,True,False,152.963,"LINESTRING (-2.603825 39.2700551, -2.6038638 39.2686798)",,,
135931056,Calle Tinajeros,residential,False,True,31.763,"LINESTRING (-2.603825 39.2700551, -2.6041271 39.2702191)",,,
135931056,Calle Tinajeros,residential,False,False,105.383,"LINESTRING (-2.603825 39.2700551, -2.6029128 39.2696357, -2.60275 39.2696263)",,,
135929365,Calle Cadena,residential,True,False,48.649,"LINESTRING (-2.6054391 39.2705994, -2.6054027 39.2701628)",,,
135931056,Calle Tinajeros,residential,False,False,4.96,"LINESTRING (-2.6054391 39.2705994, -2.605382 39.2706054)",,,
178388039,Calle Tinajeros,residential,False,True,50.277,"LINESTRING (-2.6054391 39.2705994, -2.605829 39.2706278, -2.6060192 39.2706052)",,,
571797194,Calle de Las Mesas,residential,True,False,69.978,"LINESTRING (-2.6092785 39.269187, -2.6096534 39.2697454)",,,
571797193,Calle Chavarco,residential,False,True,5.767,"LINESTRING (-2.607633 39.2664047, -2.6076596 39.2664523)",,,
571797193,Calle Chavarco,residential,False,False,108.921,"LINESTRING (-2.607633 39.2664047, -2.6074649 39.2659929, -2.6073209 39.2654567)",,,
86325749,,residential,False,False,23.869,"LINESTRING (-2.6060153 39.2682844, -2.6057759 39.2683927)",,,
135931060,Calle Santa Ana,residential,True,False,137.123,"LINESTRING (-2.6060153 39.2682844, -2.605958 39.2677619, -2.6060407 39.267056)",,,
201073664,Calle Corredero del Agua,residential,True,False,55.41,"LINESTRING (-2.6058574 39.26612, -2.6052527 39.2662907)",,,
135931063,Calle Santa María,residential,True,False,66.194,"LINESTRING (-2.6058574 39.26612, -2.605719 39.265938, -2.6055158 39.2655876)",,,
976952283,Calle del Escorial,residential,True,False,70.15,"LINESTRING (-2.6087332 39.2672839, -2.6079343 39.2674082)",,,
"[178375161, 976952282]","['Travesía del Peral', 'Calle Requena']",residential,False,True,69.726,"LINESTRING (-2.6087332 39.2672839, -2.6089038 39.2676311, -2.6092299 39.2675913)",,,
