osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,bridge,junction
136081305,Rúa da Deputación,tertiary,False,True,17.114,,"LINESTRING (-7.4350155 41.9402796, -7.4350234 41.9401258)",,,
48652801,Rúa Irmáns Fernández Álvarez,tertiary,False,False,138.904,OU-113,"LINESTRING (-7.4350155 41.9402796, -7.4349131 41.9414655, -7.4349074 41.9415262)",,,
"[521038234, 39577525]",Avenida Luis Espada,trunk,False,"[False, True]",112.677,N-525,"LINESTRING (-7.4350155 41.9402796, -7.4351951 41.9402619, -7.4352235 41.9402617, -7.4359796 41.9401895, -7.4363672 41.9401547)",2,,
39577525,Avenida Luis Espada,trunk,False,False,77.175,N-525,"LINESTRING (-7.4397126 41.9402027, -7.4404198 41.9404333, -7.4405587 41.9404937)",,,
39577525,Avenida Luis Espada,trunk,False,True,192.853,N-525,"LINESTRING (-7.4397126 41.9402027, -7.4395781 41.9401723, -7.43934 41.9401646, -7.4389915 41.9401592, -7.4389693 41.9401593, -7.4378423 41.9401654, -7.4373874 41.9401618)",,,
39577525,Avenida Luis Espada,trunk,False,True,3.816,N-525,"LINESTRING (-7.4408202 41.940576, -7.4407779 41.9405623)",,,
"[522001037, 39577525, 107121654]","['Avenida de San Lázaro', 'Avenida Luis Espada', 'Ponte do Támega']",trunk,False,False,84.421,N-525,"LINESTRING (-7.4408202 41.940576, -7.4409489 41.9405874, -7.441027 41.9405842, -7.4411172 41.940577, -7.4416371 41.9405088, -7.4416699 41.940507, -7.4418308 41.9404983)",,yes,
136081298,Rúa da Alameda,residential,False,True,157.16199999999998,,"LINESTRING (-7.4408202 41.940576, -7.4407748 41.9408919, -7.4406858 41.9413609, -7.44064 41.9415803, -7.4405323 41.9416905, -7.4403033 41.9418919)",,,
107121655,Avenida de San Lázaro,trunk,False,False,12.083,N-525,"LINESTRING (-7.4431797 41.9404665, -7.4430794 41.9405455)",,,
107121655,Avenida de San Lázaro,trunk,False,True,24.625,N-525,"LINESTRING (-7.4431797 41.9404665, -7.4432134 41.9404105, -7.4432588 41.940254)",,,
