osmid,oneway,highway,maxspeed,reversed,length,geometry,lanes,ref,name,junction,bridge,tunnel
27672751,True,motorway_link,80,False,111.771,"LINESTRING (-1.690573 42.7911886, -1.6909599 42.7910371, -1.6912918 42.7908939, -1.6917046 42.7907098, -1.6917582 42.7906853)",,,,,,
"[286771573, 1000613318, 300933542]",True,motorway,"['100', '80']",False,758.994,"LINESTRING (-1.690573 42.7911886, -1.6907295 42.7911115, -1.6910021 42.790974, -1.6916086 42.790655, -1.6928642 42.789885, -1.69482 42.7885311, -1.6954066 42.7881198, -1.6960143 42.7876855, -1.6967354 42.7871394, -1.6974106 42.7865832)",2,A-12,Autovía del Camino de Santiago / Donejakue Bidearen autobia,,,
"[99179040, 286771582]",True,motorway_link,"['70', '40']",False,234.167,"LINESTRING (-1.6974106 42.7865832, -1.6976681 42.7864387, -1.6979005 42.7862288, -1.6981014 42.7860847, -1.6982388 42.7860403, -1.6983608 42.786037, -1.6984731 42.7860685, -1.698538 42.7861088, -1.6985927 42.7862033, -1.6985643 42.7863232, -1.6984532 42.7864386, -1.6979984 42.7867759, -1.6979735 42.7867954, -1.6978397 42.7868403, -1.6977578 42.7868678)",1,,,,,
237861501,True,residential,40,False,25.104999999999997,"LINESTRING (-1.6985959 42.7927869, -1.6985803 42.7927476, -1.6985442 42.7927088, -1.6984928 42.7926808, -1.6984318 42.7926667, -1.6983719 42.7926664)",,,,roundabout,,
22734145,True,residential,40,False,23.515,"LINESTRING (-1.6982127 42.7928221, -1.6982234 42.7928559, -1.698245 42.7928868, -1.6982761 42.7929129, -1.698315 42.7929327, -1.6983592 42.792945, -1.6984105 42.7929498)",,,,roundabout,,
1125894740,False,residential,30,True,75.979,"LINESTRING (-1.6982127 42.7928221, -1.6981452 42.7928256, -1.6980777 42.7928291, -1.6979297 42.7928374, -1.6972842 42.7928735)",2,,Avenida Belascoáin,,,
237861501,True,residential,40,False,10.074,"LINESTRING (-1.6983719 42.7926664, -1.6983119 42.7926828, -1.6982648 42.7927094)",,,,roundabout,,
"[1125498413, 1125498414]",False,"['living_street', 'residential']","['20', '30']",True,41.169000000000004,"LINESTRING (-1.6983719 42.7926664, -1.6983613 42.7925752, -1.6983574 42.7925423, -1.6983544 42.7925164, -1.698343 42.7924188, -1.6983415 42.7924061, -1.6983319 42.7923243, -1.6983288 42.7922975)",,,Calle Arridia,,,
1125894740,False,residential,30,False,116.79599999999999,"LINESTRING (-1.6958595 42.792975, -1.6966659 42.7929174, -1.6969145 42.7928997, -1.6971997 42.7928796, -1.6972842 42.7928735)",2,,Avenida Belascoáin,,,
1125894740,False,residential,30,True,26.902,"LINESTRING (-1.6958595 42.792975, -1.6957755 42.7929813, -1.6955306 42.792991)",2,,Avenida Belascoáin,,,
28189909,True,motorway_link,80,False,242.311,"LINESTRING (-1.6938625 42.7894802, -1.6939947 42.7894212, -1.6941234 42.7893212, -1.6941685 42.78929, -1.694425 42.7891126, -1.6951917 42.7885828, -1.6958228 42.7881372, -1.6960179 42.7879858)",1,,,,,
823514955,True,residential,40,False,66.914,"LINESTRING (-1.6938625 42.7894802, -1.6938939 42.7894086, -1.6938972 42.7893334, -1.6938721 42.7892605, -1.6938205 42.7891955, -1.6937465 42.7891434, -1.6936558 42.7891083, -1.6935555 42.789093, -1.6934533 42.7890986)",,,Anillo de Zizur,roundabout,yes,
