osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,tunnel,width
28483062,2,N-II,primary,40,roundabout,True,False,7.489,"LINESTRING (2.5517416 41.5787346, 2.5517217 41.5787513, 2.5516961 41.5787631, 2.5516671 41.578769)",,,
28483063,1,N-II,primary,40,,True,False,24.775,"LINESTRING (2.5517518 41.5786633, 2.5520006 41.5787858)",,,
28483062,2,N-II,primary,40,roundabout,True,False,8.248,"LINESTRING (2.5517518 41.5786633, 2.5517587 41.5786874, 2.5517552 41.578712, 2.5517416 41.5787346)",,,
28483062,2,N-II,primary,40,roundabout,True,False,8.558,"LINESTRING (2.5515524 41.5786764, 2.5515645 41.5786524, 2.5515864 41.5786327, 2.5516157 41.5786193)",,,
"[589567844, 51438181]","['1', '2']",N-II,primary,50,,True,False,139.204,"LINESTRING (2.5515524 41.5786764, 2.5514061 41.5785837, 2.5510787 41.578465, 2.5506035 41.5783057, 2.5500617 41.5781177)",Carrer de la Platja de Cassà,,
28483062,2,N-II,primary,40,roundabout,True,False,7.534,"LINESTRING (2.5515733 41.5787404, 2.5515581 41.5787209, 2.5515509 41.578699, 2.5515524 41.5786764)",,,
28483062,2,N-II,primary,40,roundabout,True,False,8.754,"LINESTRING (2.5516671 41.578769, 2.5516321 41.5787677, 2.5515996 41.5787578, 2.5515733 41.5787404)",,,
384886547,,B-511,primary_link,,,True,False,31.975,"LINESTRING (2.5516671 41.578769, 2.5515223 41.5789251, 2.5514527 41.5790076)",,,
51438180,,B-511,tertiary,20,,False,False,4.472,"LINESTRING (2.551418 41.579081, 2.5514356 41.579043)",Riera del Bisbe Pol,,
51438177,,B-511,tertiary,20,roundabout,True,False,5.53,"LINESTRING (2.551418 41.579081, 2.5514383 41.5790882, 2.5514677 41.5791127)",Riera de Pare Fita,,
