osmid,oneway,name,highway,reversed,length,geometry,junction,lanes,ref,access
27382271,False,Avenida Pablo Iglesias,tertiary,True,13.611,"LINESTRING (-5.9417047 36.9785245, -5.9415553 36.9785517)",,,,
462320597,False,Avenida Pablo Iglesias,tertiary,True,9.791,"LINESTRING (-5.9417047 36.9785245, -5.9418149 36.9785228)",,,,
119260171,False,Calle Jazmines,residential,True,21.649,"LINESTRING (-5.9424067 36.9804667, -5.9424552 36.9806575)",,,,
119260171,False,Calle Jazmines,residential,False,140.26500000000001,"LINESTRING (-5.9424067 36.9804667, -5.942445 36.9800156, -5.9424961 36.9794921, -5.942445 36.9793645, -5.9423297 36.9792458)",,,,
116590515,True,Calle Virgen de Los Remedios,residential,False,34.893,"LINESTRING (-5.9414384 36.9816732, -5.9415323 36.9813685)",,,,
132918228,True,,tertiary,False,7.554,"LINESTRING (-5.9359528 36.984775, -5.9359626 36.9847538, -5.9359648 36.9847312, -5.9359591 36.984709)",roundabout,,,
27388653,True,Avenida Nuestro Padre Jesús Cautivo,tertiary,False,32.735,"LINESTRING (-5.9362298 36.9828447, -5.9362715 36.9825522)",,,,
82223924,False,Calle Cervantes,residential,False,165.209,"LINESTRING (-5.9362298 36.9828447, -5.9366971 36.9842828)",,,,
27382187,True,,tertiary,False,3.75,"LINESTRING (-5.9370454 36.9811398, -5.9370867 36.9811328)",roundabout,1,,
27382187,True,,tertiary,False,9.204,"LINESTRING (-5.9371073 36.9810595, -5.9370688 36.9810402, -5.9370137 36.9810551)",roundabout,1,,
27382188,True,Avenida Nuestro Padre Jesús Cautivo,tertiary,False,61.91,"LINESTRING (-5.9371073 36.9810595, -5.9372348 36.9808273, -5.9373164 36.9807013, -5.9374243 36.9805649)",,,,
27382188,True,Avenida Nuestro Padre Jesús Cautivo,tertiary,False,295.27199999999993,"LINESTRING (-5.9374243 36.9805649, -5.937777 36.9803124, -5.9380952 36.9801089, -5.9383812 36.9799186, -5.9387945 36.9796435, -5.9389449 36.9795568, -5.9398435 36.9790387, -5.9400438 36.9789345)",,,,
