osmid,oneway,highway,reversed,length,geometry,junction,name,bridge,tunnel,lanes,access,ref
7634640,False,residential,False,53.189,"LINESTRING (-2.4948357 43.0619672, -2.4948602 43.061953, -2.4949416 43.0619059, -2.4950776 43.0618512, -2.4954054 43.061735)",,,,,,,
517676740,True,tertiary,False,18.073999999999998,"LINESTRING (-2.4948357 43.0619672, -2.4948127 43.061946, -2.4947826 43.0619302, -2.4947476 43.0619211, -2.4947106 43.0619194, -2.4946744 43.0619253, -2.4946418 43.0619382)",roundabout,,,,,,
7634640,False,residential,True,53.189,"LINESTRING (-2.4954054 43.061735, -2.4950776 43.0618512, -2.4949416 43.0619059, -2.4948602 43.061953, -2.4948357 43.0619672)",,,,,,,
156446763,False,residential,False,63.774,"LINESTRING (-2.4954054 43.061735, -2.4958137 43.0616048, -2.4959949 43.0615507, -2.4961261 43.0615078)",,,,,,,
156446763,False,residential,True,63.774,"LINESTRING (-2.4961261 43.0615078, -2.4959949 43.0615507, -2.4958137 43.0616048, -2.4954054 43.061735)",,,,,,,
45062631,False,residential,False,111.759,"LINESTRING (-2.494609 43.0620687, -2.4945773 43.0620856, -2.494555 43.0620975, -2.4945166 43.0621202, -2.4944611 43.0621518, -2.4944251 43.0621962, -2.494362 43.0623046, -2.494251 43.0624776, -2.4938726 43.062866, -2.4938476 43.0628917)",,Arrasate pasealekua,,,,,
517676740,True,tertiary,False,17.686999999999998,"LINESTRING (-2.494609 43.0620687, -2.4946382 43.0620923, -2.4946763 43.0621077, -2.4947191 43.0621134, -2.4947622 43.0621086, -2.4948008 43.0620939)",roundabout,,,,,,
7634644,False,tertiary,False,113.72999999999999,"LINESTRING (-2.4948008 43.0620939, -2.4948215 43.0621125, -2.4949229 43.0622028, -2.4951741 43.062418, -2.4953121 43.0625375, -2.4953239 43.0625477, -2.4954018 43.0626152, -2.4955466 43.0627467, -2.4956902 43.0628835)",,Arrasate pasealekua,,,,,
517676740,True,tertiary,False,15.663999999999998,"LINESTRING (-2.4948008 43.0620939, -2.4948279 43.0620739, -2.4948461 43.062049, -2.4948537 43.0620214, -2.4948501 43.0619934, -2.4948357 43.0619672)",roundabout,,,,,,
28116449,True,tertiary,False,26.559,"LINESTRING (-2.4921013 43.0626836, -2.492125 43.0626898, -2.4921498 43.0626929, -2.4921749 43.0626928, -2.4921996 43.0626895, -2.4922232 43.0626831, -2.4922449 43.0626738, -2.4922641 43.0626619, -2.4922801 43.0626477, -2.4922925 43.0626318, -2.492301 43.0626144, -2.4923052 43.0625963, -2.492305 43.062578, -2.4923004 43.0625599)",roundabout,,,,,,
