osmid,ref,highway,oneway,reversed,length,geometry,name,lanes,maxspeed,bridge,junction
35721167,N-640a,primary,False,True,83.90700000000001,"LINESTRING (-8.76096 42.5943042, -8.7613987 42.5943428, -8.7617708 42.5943755, -8.7618864 42.5943934, -8.7619735 42.594411)",,,,,
130118063,,residential,False,False,35.763999999999996,"LINESTRING (-8.7616265 42.5991313, -8.7615691 42.5990763, -8.7612393 42.5990077)",Rúa Pascual Veigas,,,,
"[130118046, 1008221326]",,residential,False,False,170.345,"LINESTRING (-8.7616265 42.5991313, -8.762185 42.5989577, -8.7623536 42.5989053, -8.7629263 42.5987273, -8.7631661 42.5983436, -8.7632064 42.5982791)",Avenida López Ballesteros,,,,
35721165,N-640a,primary,False,False,63.003,"LINESTRING (-8.7640092 42.5970614, -8.7638729 42.5967899, -8.7637425 42.5965299)",Avenida de Juan Carlos I,,,,
35721165,N-640a,primary,False,True,87.644,"LINESTRING (-8.7628747 42.5949224, -8.7628964 42.5949425, -8.7629254 42.5949717, -8.762976 42.595028, -8.7630006 42.5950579, -8.763034 42.5951117, -8.7631108 42.5952498, -8.7633026 42.5956406)",Avenida de Juan Carlos I,,,,
35721166,,primary,True,False,15.494,"LINESTRING (-8.7628747 42.5949224, -8.7628666 42.5949038, -8.7628641 42.5948739, -8.762867 42.59485, -8.7628752 42.5947984, -8.7628797 42.5947849)",Rúa San Roque,,,,
35721166,,primary,True,False,5.665,"LINESTRING (-8.762943 42.5945212, -8.7629282 42.5945095, -8.7629087 42.5945028, -8.7628834 42.5944985)",Rúa San Roque,,,,
35721167,N-640a,primary,False,False,83.907,"LINESTRING (-8.7619735 42.594411, -8.7618864 42.5943934, -8.7617708 42.5943755, -8.7613987 42.5943428, -8.76096 42.5943042)",,,,,
35721168,N-640a,primary,True,False,44.705,"LINESTRING (-8.7619735 42.594411, -8.7620508 42.5944409, -8.7621816 42.5944993, -8.7623473 42.5945934, -8.7624216 42.5946388)",Avenida de Juan Carlos I,,,,
129832902,,residential,True,False,122.63600000000001,"LINESTRING (-8.7659451 42.5953855, -8.7662649 42.5956224, -8.7662984 42.5956472, -8.7666142 42.5958792, -8.7668838 42.5960652, -8.7669798 42.5961314, -8.7670186 42.5961544)",Rúa Conde de Vallellano,,,,
"[56125897, 1203074305]",,residential,True,False,80.272,"LINESTRING (-8.7657353 42.5929129, -8.7657294 42.5929279, -8.7655163 42.5934748, -8.7654995 42.5935179, -8.7654648 42.5936068)",Avenida Doctor Touron,1,30,,
129959026,,residential,True,False,102.86,"LINESTRING (-8.7657353 42.5929129, -8.7656247 42.5928877, -8.7653122 42.5928163, -8.7645351 42.592639)",Rúa Fariña Ferreño,1,30,,
"[299023305, 297928242, 1175633363, 362403950]",,residential,False,False,110.491,"LINESTRING (-8.7657353 42.5929129, -8.7660303 42.5921752, -8.7660402 42.5921504, -8.7660444 42.5921373, -8.7660946 42.592013, -8.7661169 42.5919598)",Avenida Doctor Touron,2,30,yes,
297929488,,residential,False,False,28.426000000000002,"LINESTRING (-8.7657353 42.5929129, -8.7658277 42.5929329, -8.7660685 42.5929849)",Rúa Alejandro Cerecedo,2,30,,
