osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,tunnel,bridge
43804107,2,BV-1468,Carrer de Jacint Verdaguer,secondary,50,False,True,29.322,"LINESTRING (2.0124558 41.4143447, 2.0121091 41.4143007)",,,
547228336,3,BV-1468,Carrer de Jacint Verdaguer,secondary,50,False,False,63.703,"LINESTRING (2.0124558 41.4143447, 2.0129842 41.4143888, 2.013214 41.4144141)",,,
34257696,,,Carrer de Rafael Casanova,residential,,True,False,73.886,"LINESTRING (2.0157293 41.4135738, 2.0156904 41.4134049, 2.0156586 41.4132803, 2.0156517 41.4132307, 2.0156505 41.4131825, 2.0156547 41.4131399, 2.0156636 41.413093, 2.0156771 41.4130063, 2.0157077 41.4129185)",,,
35342308,,,Carrer Ponent,residential,,True,False,65.74,"LINESTRING (2.0157293 41.4135738, 2.0157953 41.4134975, 2.0158736 41.4134039, 2.0159445 41.4133196, 2.0160681 41.4131717, 2.0160911 41.4131503, 2.0161412 41.4131343, 2.0162 41.4131174)",,,
35342303,,,Plaça del Mercat,living_street,,True,False,57.568,"LINESTRING (2.0172892 41.4115537, 2.0177913 41.411909)",yes,,
34420419,,,Carrer del Doctor Barraquer,residential,,True,False,120.422,"LINESTRING (2.0172892 41.4115537, 2.0163214 41.4108567, 2.0162483 41.4108031)",,,
35396791,,,Carrer del Poeta Mateu Janés i Duran,residential,,False,True,32.367,"LINESTRING (2.0186408 41.4115452, 2.0189739 41.4116946)",,,
"[361648185, 547228335]","['2', '3']",BV-1468,Carrer de Jacint Verdaguer,secondary,50,False,"[False, True]",197.35799999999998,"LINESTRING (2.013214 41.4144141, 2.0133771 41.4144333, 2.0140525 41.4144523, 2.0148772 41.4144962, 2.0153028 41.4145233, 2.0155744 41.4145315)",,,
547228336,3,BV-1468,Carrer de Jacint Verdaguer,secondary,50,False,True,63.703,"LINESTRING (2.013214 41.4144141, 2.0129842 41.4143888, 2.0124558 41.4143447)",,,
675478157,,,Passeig del Terraplè,tertiary,30,False,True,100.74300000000001,"LINESTRING (2.013214 41.4144141, 2.0131121 41.4145724, 2.0127871 41.4150955, 2.0127026 41.4152349)",,,
675478158,2,,Passeig del Terraplè,tertiary,30,False,True,74.385,"LINESTRING (2.013214 41.4144141, 2.0132913 41.4143031, 2.0136094 41.4138145)",,,
"[776325666, 776325667]",,,Passeig del Terraplè,tertiary,30,False,True,65.69800000000001,"LINESTRING (2.0119114 41.4165136, 2.011858 41.4165993, 2.0115802 41.4170497)",,,
776325668,,,Passeig del Terraplè,tertiary,30,False,False,67.22,"LINESTRING (2.0119114 41.4165136, 2.0121937 41.4160557, 2.0122503 41.4159651)",,,
34420415,,,Carrer de Rubió i Ors,residential,,True,False,100.51899999999999,"LINESTRING (2.015671 41.4114479, 2.0157475 41.4115003, 2.0165112 41.4120035, 2.0165723 41.412048)",,,
632244011,2,,Passeig del Terraplè,tertiary,,True,False,86.36500000000001,"LINESTRING (2.015671 41.4114479, 2.015756 41.4113532, 2.0158165 41.4112853, 2.0162069 41.4108475, 2.0162483 41.4108031)",,,
675478160,,,Carrer del Doctor Barraquer,residential,,True,False,111.246,"LINESTRING (2.0162483 41.4108031, 2.0162036 41.4107714, 2.0153571 41.4101869, 2.0152675 41.410125)",,,
675478161,2,,Passeig del Terraplè,tertiary,,True,False,82.031,"LINESTRING (2.0162483 41.4108031, 2.0162793 41.4107674, 2.0163326 41.410706, 2.0164835 41.4105348, 2.0167151 41.4102721, 2.0167927 41.4101887)",,,
