osmid,oneway,highway,reversed,length,geometry,ref,name,junction,lanes,bridge,tunnel
4803330,True,motorway_link,False,326.90099999999995,"LINESTRING (-5.82623 43.1648937, -5.8255943 43.1663594, -5.8255059 43.1664869, -5.8253852 43.1665864, -5.8252563 43.1666446, -5.8251223 43.1666737, -5.8249772 43.1666676, -5.8248869 43.166638, -5.8248064 43.1666084, -5.8247424 43.1665658, -5.8246931 43.1665214, -5.8246521 43.1664475, -5.8246324 43.1663671, -5.824633 43.166274, -5.8246554 43.1661421, -5.824713 43.165985)",,,,,,
4803334,True,tertiary,False,13.972999999999999,"LINESTRING (-5.8282427 43.164257, -5.8282854 43.1642612, -5.8283284 43.1642596, -5.8283702 43.1642521, -5.8284095 43.1642392)",AS-242;N-630,Plaza del Principado de Asturias,roundabout,,,
436447787,True,tertiary,False,17.678,"LINESTRING (-5.8282427 43.164257, -5.8282843 43.1642881, -5.8283177 43.1643142, -5.8283462 43.1643404, -5.8283784 43.1643804)",AS-242;N-630,,,,,
4803334,True,tertiary,False,24.037999999999997,"LINESTRING (-5.8281725 43.1639489, -5.8281335 43.1639711, -5.8281019 43.1639988, -5.8280791 43.1640307, -5.8280661 43.1640655, -5.8280634 43.1641015, -5.8280713 43.164137)",AS-242;N-630,Plaza del Principado de Asturias,roundabout,,,
310139756,False,tertiary,True,13.355,"LINESTRING (-5.8274147 43.1646186, -5.8272862 43.1646937)",LN-1,,,2,,
4803328,True,motorway_link,False,167.558,"LINESTRING (-5.8274147 43.1646186, -5.8271977 43.1646276, -5.8270979 43.1646179, -5.827025 43.1645923, -5.8269756 43.1645637, -5.8269113 43.1645161, -5.8268509 43.1644006, -5.8268404 43.1638098, -5.8267968 43.1634225)",,,,1,,
"[436447899, 377071948, 4803327]",False,tertiary,False,57.564,"LINESTRING (-5.8274147 43.1646186, -5.827473 43.1645845, -5.8279361 43.1643035, -5.8279612 43.1642883)",LN-1,,,2,yes,
4803332,False,motorway_link,False,117.413,"LINESTRING (-5.824713 43.165985, -5.8248196 43.1658351, -5.8249331 43.1657273, -5.8250471 43.1656387, -5.8252898 43.1654897, -5.8257701 43.1653003)",,,,,,
310139747,True,tertiary,False,126.678,"LINESTRING (-5.8294779 43.1631941, -5.8294717 43.162902, -5.8294672 43.1620549)",AS-375,Carretera de Oviedo a Campomanes,,,,
93662222,True,tertiary,False,79.279,"LINESTRING (-5.8288264 43.1582178, -5.8288136 43.1581683, -5.8286208 43.1575208)",AS-375,Calle de Vital Aza,,,,
95851638,False,residential,False,30.671,"LINESTRING (-5.8288264 43.1582178, -5.8287221 43.1582323, -5.8284524 43.1582578)",,Calle la Peralera,,,,
"[688507070, 95742230]",False,secondary,False,76.176,"LINESTRING (-5.8286208 43.1575208, -5.8286779 43.1575141, -5.8287808 43.1575036, -5.8294186 43.1574522, -5.8295536 43.1574421)",AS-230,Plaza Santa Teresa,,2,,
95742230,False,secondary,True,7.713000000000001,"LINESTRING (-5.829801 43.15742, -5.8297746 43.1574278, -5.8297345 43.1574307, -5.8297082 43.1574312)",AS-230,Plaza Santa Teresa,,,,
835154942,False,residential,True,55.834,"LINESTRING (-5.829801 43.15742, -5.8298261 43.1574426, -5.8298553 43.1574703, -5.8301891 43.1578345)",,Calle Ramón y Cajal,,,,
67502159,True,residential,False,143.221,"LINESTRING (-5.8277183 43.1621721, -5.8278196 43.1621575, -5.8283597 43.1620644, -5.8290047 43.1620575, -5.8292472 43.1620561, -5.8294672 43.1620549)",,Padre Suárez,,,,
436447826,False,residential,True,46.245,"LINESTRING (-5.8277183 43.1621721, -5.8276031 43.1621901, -5.8272456 43.1622459, -5.8271692 43.1622759)",,Profesor Jesús Neira,,,,
