osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction,access,maxspeed
61648021,AS-269,Avenida de Sama,secondary,False,False,69.118,"LINESTRING (-5.7724904 43.253142, -5.7721909 43.2531955, -5.7716579 43.2532786)",,,,,
"[275854625, 272008989, 13241350]",AS-375,"['Cai Teodoro Cuesta', 'Cai Oñón']",tertiary,False,True,102.684,"LINESTRING (-5.7724904 43.253142, -5.7723159 43.2529157, -5.7722735 43.2528427, -5.7722473 43.2527668, -5.7722364 43.2526226, -5.7722475 43.252536, -5.7722667 43.2523869, -5.7722854 43.2522624)",2,yes,,,
764471702,,,residential,True,False,92.76400000000001,"LINESTRING (-5.7724904 43.253142, -5.773487 43.2529707, -5.7736052 43.2529504)",,,,,
424803344,,Cai Numa Guilhou,residential,True,False,240.88400000000001,"LINESTRING (-5.7759137 43.2524768, -5.7759263 43.2523545, -5.7759724 43.251908, -5.7759753 43.2518799, -5.7759819 43.2518162, -5.776015 43.2514711, -5.776024 43.2513767, -5.7760279 43.2513361, -5.776032 43.2512929, -5.7760687 43.2509093, -5.7761176 43.2503983, -5.7760849 43.2503193)",2,,,,
786247592,,Cai Carreño Miranda,residential,True,False,72.203,"LINESTRING (-5.7759137 43.2524768, -5.7763716 43.252511, -5.7766447 43.2525391, -5.7767986 43.2525549)",,,,,
67519092,,Cai Manuel Llaneza,residential,True,False,96.12700000000001,"LINESTRING (-5.7760849 43.2503193, -5.7759927 43.2503116, -5.7750461 43.2502404, -5.7749045 43.2502291)",,,,,
195779936,,Cai Valeriano Miranda,residential,True,False,96.54399999999998,"LINESTRING (-5.7760849 43.2503193, -5.7760922 43.25025, -5.7761652 43.2495574, -5.7761761 43.2494536)",,,,,
195779936,,Cai Valeriano Miranda,residential,True,False,88.838,"LINESTRING (-5.7763179 43.2481062, -5.7764018 43.2473096)",,,,,
67519073,,Cai Horacio Fernandez Iguanzo,residential,True,False,71.721,"LINESTRING (-5.7763179 43.2481062, -5.7763597 43.2481145, -5.7764771 43.2481403, -5.7771659 43.2482919)",,,,,
"[275854625, 272008989, 13241350]",AS-375,"['Cai Teodoro Cuesta', 'Cai Oñón']",tertiary,False,False,102.68400000000001,"LINESTRING (-5.7722854 43.2522624, -5.7722667 43.2523869, -5.7722475 43.252536, -5.7722364 43.2526226, -5.7722473 43.2527668, -5.7722735 43.2528427, -5.7723159 43.2529157, -5.7724904 43.253142)",2,yes,,,
