osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,width,junction
211316647,2,TF-525,Calle Alférez Luis Beltrán de Lis,secondary,False,True,51.41,"LINESTRING (-16.4076511 28.3191602, -16.4077373 28.3192373, -16.4080194 28.3194898)",,,
217937783,3,TF-28,Avenida de Santa Cruz,primary,False,True,58.181,"LINESTRING (-16.4076511 28.3191602, -16.4076795 28.3191351, -16.4077297 28.3190908, -16.4077541 28.3190693, -16.4079818 28.3188683, -16.4080708 28.3187897)",,,
264653856,,,Calle Poeta Arístides Hernández Mora,residential,False,True,51.001000000000005,"LINESTRING (-16.4076511 28.3191602, -16.4076082 28.3191227, -16.4075566 28.3190776, -16.4072813 28.3188371)",,,
47982982,2,TF-28,Avenida de Santa Cruz,primary,False,False,62.507000000000005,"LINESTRING (-16.4086131 28.3170719, -16.4085665 28.3175113, -16.4085621 28.3175525, -16.4085611 28.3175615, -16.4085537 28.3176316)",50,,
"[219048696, 47982982]",2,TF-28,"['Avenida Obispo Pérez Cáceres', 'Avenida de Santa Cruz']",primary,False,True,267.95000000000005,"LINESTRING (-16.4086131 28.3170719, -16.4089635 28.3165224, -16.4090963 28.3163142, -16.4091934 28.3162272, -16.40926 28.3161962, -16.4092967 28.3161875, -16.4093448 28.3161866, -16.4094355 28.3161956, -16.4096796 28.3162198, -16.4097705 28.3162126, -16.4098407 28.3161913, -16.4099096 28.3161452, -16.409962 28.3160706, -16.4099755 28.3160256, -16.4101365 28.3155148, -16.4101454 28.3154866, -16.410165 28.3154244)",50,,
172505856,,,,residential,False,True,68.903,"LINESTRING (-16.4086131 28.3170719, -16.40857 28.3170688, -16.4083147 28.3170501, -16.407924 28.316958)",,,
88379159,,,Calle Pintor Manuel González Méndez,residential,True,False,49.039,"LINESTRING (-16.4107183 28.3136853, -16.4106624 28.3136741, -16.4102777 28.3135972, -16.4102298 28.3135876)",,,
219048696,,TF-28,Avenida Obispo Pérez Cáceres,primary,False,False,90.515,"LINESTRING (-16.4107183 28.3136853, -16.4105981 28.3140609, -16.4104975 28.3143751, -16.4104892 28.3144009, -16.4104675 28.3144688)",50,,
219048696,,TF-28,Avenida Obispo Pérez Cáceres,primary,False,True,21.009,"LINESTRING (-16.4107183 28.3136853, -16.4107715 28.3136085, -16.4108495 28.3135372)",50,,
102546754,,TF-61,Avenida Portugal,primary,True,False,89.771,"LINESTRING (-16.4116501 28.3130315, -16.4116007 28.3129743, -16.4115329 28.3128958, -16.4108305 28.3127435)",,,
547531293,,TF-28,Avenida Obispo Pérez Cáceres,primary,False,True,24.472,"LINESTRING (-16.4116501 28.3130315, -16.4117756 28.3130966, -16.4118625 28.3131474)",,,
29058241,,,Camino Real,residential,False,False,6.369,"LINESTRING (-16.4122451 28.3118145, -16.4121945 28.3117785)",,6,
200274393,,TF-28,Carretera General del Sur,primary,False,True,270.069,"LINESTRING (-16.4122451 28.3118145, -16.4134104 28.3112686, -16.4134806 28.3112177, -16.4135142 28.3111716, -16.4135341 28.3111135, -16.4135281 28.3110528, -16.413498 28.3109935, -16.4134353 28.3109381, -16.4126918 28.310736, -16.41263 28.3106987, -16.4125488 28.3106073)",,,
211316664,,,Calle Guaza,residential,False,True,183.721,"LINESTRING (-16.4122451 28.3118145, -16.4123181 28.3118439, -16.4125642 28.3119448, -16.412895 28.3120711, -16.4130415 28.3120921, -16.4131378 28.312095, -16.4132577 28.3120904, -16.4133833 28.3120825, -16.4135632 28.3120475, -16.4140078 28.3118673)",,,
547531291,,TF-28,Avenida Pedro Guerra Cabrera,primary,False,False,174.25,"LINESTRING (-16.4122451 28.3118145, -16.4121471 28.3118673, -16.4120952 28.3119139, -16.412082 28.312019, -16.4120989 28.3120728, -16.4121943 28.3122129, -16.412384 28.312447, -16.4124314 28.3125221, -16.4124658 28.3126481, -16.4124666 28.312755, -16.4124487 28.3128191, -16.4123425 28.3129883, -16.4122794 28.3130528, -16.4121634 28.3131183)",,,
154470967,,,Calle Arafo,residential,False,False,21.833,"LINESTRING (-16.4116526 28.318277, -16.4116614 28.3180808)",,,
25938180,2,,Calle Tasagaya,residential,True,False,51.58500000000001,"LINESTRING (-16.4084378 28.3191221, -16.4081441 28.3188671, -16.4081334 28.3188558, -16.4081203 28.3188419, -16.4080708 28.3187897)",,,
211316647,2,TF-525,Calle Alférez Luis Beltrán de Lis,secondary,False,False,51.41,"LINESTRING (-16.4080194 28.3194898, -16.4077373 28.3192373, -16.4076511 28.3191602)",,,
547505999,1,,Calle Monseñor Hernández Jorge,residential,True,False,57.872,"LINESTRING (-16.4080194 28.3194898, -16.4080603 28.3194539, -16.408405 28.3191509, -16.4084378 28.3191221)",,,
154470967,,,Calle Arafo,residential,False,False,21.322,"LINESTRING (-16.4116614 28.3180808, -16.41167 28.3178892)",,,
