osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge,junction
580895723,Rúa da Flor,residential,30,False,True,13.203,,,"LINESTRING (-9.1876882 42.9558568, -9.1875277 42.9558741)",,
313628193,Avenida Fernando Blanco,primary,50,False,False,98.932,2,AC-550,"LINESTRING (-9.1876882 42.9558568, -9.1876249 42.9556856, -9.1875728 42.9553766, -9.1875145 42.9551822, -9.1874696 42.9550323, -9.1874554 42.9549849)",,
313628193,Avenida Fernando Blanco,primary,50,False,True,72.993,2,AC-550,"LINESTRING (-9.1876882 42.9558568, -9.1877278 42.9559021, -9.1877924 42.9559759, -9.1879075 42.9560247, -9.1880552 42.9560873, -9.1882948 42.9561619, -9.1884149 42.956214)",,
580895712,Rúa Río Ferrol,residential,30,False,False,33.531,,,"LINESTRING (-9.1884149 42.956214, -9.1881667 42.9564547)",,
37931725,Rúa Alvarellos Berrocal,residential,30,False,False,41.008,,,"LINESTRING (-9.1884149 42.956214, -9.1884647 42.9560799, -9.1884981 42.9559763, -9.1885469 42.9558582)",,
313628193,Avenida Fernando Blanco,primary,50,False,False,72.993,2,AC-550,"LINESTRING (-9.1884149 42.956214, -9.1882948 42.9561619, -9.1880552 42.9560873, -9.1879075 42.9560247, -9.1877924 42.9559759, -9.1877278 42.9559021, -9.1876882 42.9558568)",,
313628193,Avenida Fernando Blanco,primary,50,False,True,53.171,2,AC-550,"LINESTRING (-9.1884149 42.956214, -9.1887507 42.956533, -9.1888147 42.9565922)",,
313628193,Avenida Fernando Blanco,primary,50,False,True,24.769,2,AC-550,"LINESTRING (-9.1888147 42.9565922, -9.1890266 42.9567521)",,
313628193,Avenida Fernando Blanco,primary,50,False,False,53.171,2,AC-550,"LINESTRING (-9.1888147 42.9565922, -9.1887507 42.956533, -9.1884149 42.956214)",,
313628193,Avenida Fernando Blanco,primary,50,False,False,24.769,2,AC-550,"LINESTRING (-9.1890266 42.9567521, -9.1888147 42.9565922)",,
