osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,junction
61730843,AS-337,Carretera Sotrondio - Figareo (La Colladiella),tertiary,False,False,142.432,"LINESTRING (-5.6060954 43.2724321, -5.6059623 43.272563, -5.6058646 43.2726957, -5.6056812 43.2730177, -5.6055869 43.273225, -5.6054364 43.2735118, -5.6054127 43.2736037)",,,,,
177618457,AS-387,Carretera de L'Entregu a El Condao,tertiary,False,False,2.9,"LINESTRING (-5.6061678 43.2744712, -5.6061922 43.2744521)",2,50,,,
61730843,AS-337,Carretera Sotrondio - Figareo (La Colladiella),tertiary,False,True,116.184,"LINESTRING (-5.6061678 43.2744712, -5.6058762 43.2742801, -5.6054642 43.2737406, -5.6054127 43.2736037)",,,,,
"[177618456, 177618457, 222217145]",AS-387,"['Avenida de La Constitución', ""Carretera de L'Entregu a El Condao""]",tertiary,False,True,65.065,"LINESTRING (-5.6061678 43.2744712, -5.6061134 43.2745139, -5.6057097 43.2748375, -5.6056709 43.2748672, -5.6056273 43.2749042)",2,50,yes,,
61730843,AS-337,Carretera Sotrondio - Figareo (La Colladiella),tertiary,False,False,116.184,"LINESTRING (-5.6054127 43.2736037, -5.6054642 43.2737406, -5.6058762 43.2742801, -5.6061678 43.2744712)",,,,,
61730843,AS-337,Carretera Sotrondio - Figareo (La Colladiella),tertiary,False,True,142.43200000000002,"LINESTRING (-5.6054127 43.2736037, -5.6054364 43.2735118, -5.6055869 43.273225, -5.6056812 43.2730177, -5.6058646 43.2726957, -5.6059623 43.272563, -5.6060954 43.2724321)",,,,,
"[434912204, 434912205]",SM-1,,tertiary,False,True,198.08599999999998,"LINESTRING (-5.6054127 43.2736037, -5.6053516 43.2735974, -5.6052986 43.2735807, -5.6050739 43.2734892, -5.6049109 43.2734441, -5.6047644 43.2734285, -5.6046063 43.2733958, -5.6044963 43.2733657, -5.6042102 43.27324, -5.6040031 43.2731246, -5.6036333 43.2727865, -5.6035265 43.2727457, -5.6033702 43.2727467)",,,,,
61658760,SM-1,,tertiary,False,False,98.17599999999999,"LINESTRING (-5.6022241 43.2726092, -5.6024075 43.2726324, -5.6025337 43.2726665, -5.602783 43.2727654, -5.6029105 43.2728055, -5.6030852 43.2727999, -5.6033702 43.2727467)",,,,,
434912218,,,unclassified,False,True,47.702,"LINESTRING (-5.6022241 43.2726092, -5.602245 43.2725759, -5.6023151 43.2725434, -5.6023895 43.2725287, -5.602449 43.2725302, -5.6025818 43.2725797, -5.6026211 43.2725929, -5.6026668 43.2725905, -5.6027071 43.2725766, -5.6027268 43.2725544)",,,,,
61658760,SM-1,,tertiary,False,True,98.17599999999999,"LINESTRING (-5.6033702 43.2727467, -5.6030852 43.2727999, -5.6029105 43.2728055, -5.602783 43.2727654, -5.6025337 43.2726665, -5.6024075 43.2726324, -5.6022241 43.2726092)",,,,,
