osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,width,bridge
48854678,False,1,Calle del Teniente Coronel Valenzuela,living_street,,False,91.518,"LINESTRING (-0.8833068 41.6525446, -0.8832433 41.6526104, -0.8829189 41.6529593, -0.8828985 41.6529808, -0.8827879 41.6530972, -0.8827333 41.65316, -0.88268 41.6532213)",,,
24324925,True,1,Calle José Luis Albareda,residential,,False,11.567,"LINESTRING (-0.8867841 41.6504068, -0.8868793 41.6504827)",,,
689453454,True,3,Avenida de César Augusto,tertiary,50,False,50.964,"LINESTRING (-0.8867841 41.6504068, -0.8863777 41.6507501)",,,
24481699,True,1,Calle José Luis Albareda,residential,30,False,145.893,"LINESTRING (-0.8854036 41.649596, -0.8854689 41.6496342, -0.8867841 41.6504068)",,,
35879591,True,1,Calle Bilbao,residential,30,False,82.663,"LINESTRING (-0.8854036 41.649596, -0.8854435 41.6495557, -0.8859696 41.6490449, -0.8860099 41.6490066)",,,
686267755,False,1,Calle José Luis Albareda,living_street,,False,16.445999999999998,"LINESTRING (-0.884284 41.648947, -0.8843089 41.648961, -0.8843826 41.6490026, -0.884442 41.6490361)",,,
35879591,True,1,Calle Bilbao,residential,30,False,88.76500000000001,"LINESTRING (-0.8860099 41.6490066, -0.8860695 41.6489494, -0.8864979 41.6485586, -0.8865446 41.6485251, -0.8867036 41.6484004)",,,
120925052,True,1,Calle Canfranc,residential,30,False,53.518,"LINESTRING (-0.8860099 41.6490066, -0.8859384 41.6489647, -0.8855687 41.6487549, -0.8854965 41.648716)",,,
24325209,True,1,Calle Ponciano Ponzano,residential,30,False,81.894,"LINESTRING (-0.8854965 41.648716, -0.8854373 41.6487744, -0.8849336 41.6492797, -0.8849071 41.6493063)",,,
24325209,True,1,Calle Ponciano Ponzano,residential,30,False,82.267,"LINESTRING (-0.8849071 41.6493063, -0.8847839 41.6494241, -0.8843214 41.6498663, -0.8842975 41.6498893)",,,
24481699,True,1,Calle José Luis Albareda,residential,30,False,52.34,"LINESTRING (-0.8849071 41.6493063, -0.8849482 41.6493302, -0.8853565 41.6495683, -0.8854036 41.649596)",,,
"[471511161, 793211110, 551899678]",False,6,Paseo de Pamplona,primary,50,True,61.05799999999999,"LINESTRING (-0.8867036 41.6484004, -0.8866482 41.6483186, -0.8865146 41.6481209, -0.8863722 41.6479103)",,,
35879591,True,1,Calle Bilbao,residential,30,False,82.076,"LINESTRING (-0.8848103 41.6501859, -0.884858 41.6501303, -0.8853518 41.6496453, -0.8854036 41.649596)",,,
1063400065,False,,Calle Marqués de Casa Jiménez,living_street,30,True,30.037,"LINESTRING (-0.8848103 41.6501859, -0.8848718 41.6502189, -0.885104 41.6503434)",destination,,
79206847,True,1,Paseo de la Independencia,tertiary,30,False,81.794,"LINESTRING (-0.8836872 41.649532, -0.8837824 41.6494393, -0.884284 41.648947)",,,
"[429274208, 49748650]",True,1,Calle Marqués de Casa Jiménez,"['living_street', 'residential']",30,False,64.42099999999999,"LINESTRING (-0.8836872 41.649532, -0.8837099 41.6495458, -0.8837748 41.6495851, -0.8838365 41.6496226, -0.8842612 41.6498683, -0.8842975 41.6498893)",,,
692596740,True,2,Calle Doctor Antonio Valcarreres,residential,30,False,48.756,"LINESTRING (-0.8854263 41.6510198, -0.8848826 41.6510066, -0.8848398 41.6510056)",,,
1063400066,False,,Calle Marqués de Casa Jiménez,living_street,30,False,26.671,"LINESTRING (-0.8854263 41.6510198, -0.885432 41.6509563, -0.8854366 41.6508262, -0.8854289 41.6507805)",destination,,
