osmid,oneway,highway,reversed,length,ref,name,geometry,lanes,junction,width,tunnel,maxspeed
734619388,True,residential,False,26.567,,,"LINESTRING (-5.4457482 36.1270039, -5.4460311 36.1269341)",,,,,
881734810,True,trunk,False,12.828,N-350,,"LINESTRING (-5.4440457 36.1273343, -5.4440015 36.1272246)",,,,,
258870820,True,secondary,False,6.459,,Calle Segismundo Moret,"LINESTRING (-5.4440457 36.1273343, -5.4440378 36.1273405, -5.4440256 36.1273536, -5.444019 36.1273691, -5.4440186 36.1273855)",,,,,
258870417,True,trunk,False,17.678,N-350,,"LINESTRING (-5.4444606 36.1285481, -5.4444122 36.128394)",3,,,,
514877228,False,secondary,False,61.779,,Avenida Gesto por la Paz,"LINESTRING (-5.44815 36.1275406, -5.4486995 36.1278748)",,,,,
219409377,True,secondary,False,21.654,,Avenida Gesto por la Paz,"LINESTRING (-5.44815 36.1275406, -5.4481224 36.1274955, -5.4480895 36.1274527, -5.4480775 36.1273947, -5.4480797 36.1273595)",,,,,
1257013685,True,trunk,False,23.064999999999998,N-350,,"LINESTRING (-5.4455195 36.1342189, -5.4454996 36.1342438, -5.4454883 36.134272, -5.4454865 36.1343016, -5.4454943 36.1343306, -5.445511 36.1343569, -5.4455356 36.1343789, -5.4455665 36.1343949)",2,roundabout,,,
1211925685,True,primary_link,False,9.682,,,"LINESTRING (-5.4442459 36.1297166, -5.4442051 36.129636)",,,,,
671288341,True,trunk,False,28.275,N-350,,"LINESTRING (-5.4443845 36.128284, -5.4443693 36.1281838, -5.4443255 36.1280346)",2,,,,
671903927,True,trunk_link,False,18.787,N-350,,"LINESTRING (-5.4443845 36.128284, -5.4443128 36.1281975, -5.4442873 36.128136)",2,,,,
215858002,True,secondary,False,22.409,,Sindicalista Luis Cobos,"LINESTRING (-5.4524954 36.1341662, -5.4525816 36.1342052, -5.4526855 36.134229, -5.4527195 36.1342499)",1,,,,
