osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,width,junction,tunnel,bridge
1163462600,True,1,secondary,False,19.04,"LINESTRING (-2.0172125 43.2219796, -2.0171311 43.2219536, -2.0170526 43.2219289, -2.016999 43.2219083)",,,,,,,
1170050641,False,2,secondary,True,31.117999999999995,"LINESTRING (-2.0172125 43.2219796, -2.0174227 43.2220242, -2.0174661 43.222034, -2.0175809 43.2220586)",GI-3722,Ama Kandida etorbidea,40,,,,
42776956,False,1,living_street,False,19.655,"LINESTRING (-2.0206356 43.2181596, -2.0206046 43.2181454, -2.0205919 43.2181396, -2.0205737 43.2181317, -2.0204281 43.2180681)",,,,,,,
"[1240845530, 40384050, 1069645021]",False,2,residential,True,136.15300000000002,"LINESTRING (-2.0206356 43.2181596, -2.0207881 43.2179947, -2.0208642 43.2179124, -2.0208792 43.2178752, -2.0208769 43.2178619, -2.0208687 43.2178427, -2.0208467 43.2178265, -2.0208091 43.2178048, -2.0207273 43.2177684, -2.0206786 43.2177411, -2.0206464 43.217716, -2.0206387 43.2176667, -2.0206495 43.2175786, -2.0206718 43.2174319, -2.0206886 43.2173145, -2.0207036 43.2172069, -2.0207172 43.2171183, -2.02072 43.2171004, -2.0207274 43.2170726)",,"['Kale Nagusia', 'Juan Bautista Erro kalea']",30,,,,
1069645022,False,2,residential,False,34.543,"LINESTRING (-2.0206356 43.2181596, -2.0204596 43.2183588, -2.0204042 43.2184205)",,Kale Nagusia,30,,,,
"[498097809, 777957236]",False,2,residential,False,95.415,"LINESTRING (-2.0197159 43.2195873, -2.0196474 43.2195722, -2.0195864 43.2195565, -2.0194302 43.2195165, -2.0193066 43.2194814, -2.0191521 43.2194432, -2.0190189 43.2194281, -2.0188384 43.2194122, -2.0186671 43.219399, -2.0185766 43.219392)",,La Salle etorbidea,30,,,,
1024664493,False,2,residential,True,58.442,"LINESTRING (-2.0197159 43.2195873, -2.0197787 43.219456, -2.0199034 43.2192482, -2.0200038 43.2191062)",,Kale Nagusia,30,,,,
"[1027089571, 40382199]",True,1,residential,False,243.07000000000002,"LINESTRING (-2.0197159 43.2195873, -2.0196681 43.2196864, -2.0194913 43.220051, -2.0193913 43.2201754, -2.0193016 43.2202725, -2.0192492 43.2203305, -2.0190464 43.2205332, -2.0190258 43.2205521, -2.0189407 43.2206246, -2.0188304 43.2207166, -2.0184723 43.2210367, -2.0182848 43.2211938, -2.018085 43.2213369, -2.0180333 43.2213627)",,Kaletxiki,30,,,,
778031181,False,2,residential,False,6.173,"LINESTRING (-2.0211602 43.2139311, -2.0211002 43.2139653)",,Kaleberria,30,,,,
611168241,False,1,residential,False,28.439,"LINESTRING (-2.020824 43.2165454, -2.020726 43.2165434, -2.0204737 43.2165307)",,Kaleberria,30,,,,
778031181,False,2,residential,False,12.945,"LINESTRING (-2.020824 43.2165454, -2.0208199 43.2166071, -2.0208168 43.2166617)",,Kaleberria,30,,,,
778031181,False,2,residential,True,61.278000000000006,"LINESTRING (-2.020824 43.2165454, -2.0208301 43.216468, -2.0208345 43.2163428, -2.0208466 43.2159946)",,Kaleberria,30,,,,
"[1027136824, 40382180]",True,1,residential,False,21.707,"LINESTRING (-2.0203549 43.2141141, -2.0202673 43.2140525, -2.0202295 43.2139967, -2.0202053 43.2139561)",,Bertxin kalea,30,,,,
1027089513,False,2,residential,True,19.848,"LINESTRING (-2.0183374 43.2193536, -2.0185766 43.219392)",,La Salle etorbidea,30,,,,
40377795,False,2,residential,False,70.601,"LINESTRING (-2.0183374 43.2193536, -2.0183745 43.2193084, -2.0184022 43.2192743, -2.0187144 43.2188702, -2.0187447 43.2188352, -2.0187724 43.2188036)",,Plazaola kalea,30,,,,
1027089513,False,2,residential,False,21.318,"LINESTRING (-2.0183374 43.2193536, -2.0182216 43.2193305, -2.018131 43.2193109, -2.0180842 43.2193016)",,La Salle etorbidea,30,,,,
1027089513,False,2,residential,True,23.842,"LINESTRING (-2.0178006 43.2192445, -2.0180842 43.2193016)",,La Salle etorbidea,30,,,,
40382190,True,1,residential,False,74.614,"LINESTRING (-2.0178006 43.2192445, -2.0177956 43.2192072, -2.0177957 43.2191886, -2.0178022 43.2191711, -2.0178496 43.2191118, -2.01786 43.2190995, -2.0178773 43.2190797, -2.0179515 43.2189947, -2.0179938 43.2189437, -2.0180259 43.2189024, -2.0180664 43.2188429, -2.0180865 43.2188072, -2.0181179 43.2187488, -2.0181351 43.2187207, -2.0181543 43.2186841, -2.0181625 43.2186637, -2.0181606 43.2186402)",,Alkartasuna kalea,30,4.9,,,
1027089513,False,2,residential,False,12.323,"LINESTRING (-2.0178006 43.2192445, -2.0177167 43.2192261, -2.0176542 43.2192146)",,La Salle etorbidea,30,,,,
40382188,False,2,residential,False,149.066,"LINESTRING (-2.0173895 43.219155, -2.017418 43.2191026, -2.0174464 43.2190502, -2.0176864 43.2185426, -2.0177646 43.2183807, -2.0178923 43.218096, -2.0179899 43.217888)",,Extremadura kalea,30,,,,
40382189,False,2,residential,True,81.39200000000001,"LINESTRING (-2.0173895 43.219155, -2.0173517 43.2192074, -2.0173231 43.219247, -2.0172901 43.2193091, -2.0172082 43.2194171, -2.0171013 43.2195437, -2.0169826 43.2196957, -2.0169227 43.2197558, -2.0168827 43.2197835)",,Extremadura kalea,30,,,,
"[1027089513, 27271075]",False,2,residential,False,44.025,"LINESTRING (-2.0173895 43.219155, -2.0172435 43.2191125, -2.0170639 43.2190022, -2.0169998 43.2189628, -2.0169854 43.2189542, -2.0169478 43.2189316)",,La Salle etorbidea,30,,,,
1027089513,False,2,residential,True,22.45,"LINESTRING (-2.0173895 43.219155, -2.0175675 43.2191954, -2.0176542 43.2192146)",,La Salle etorbidea,30,,,,
27271075,False,2,residential,False,9.135,"LINESTRING (-2.0168472 43.2188814, -2.0167537 43.2188355)",,La Salle etorbidea,30,,,,
27271075,False,2,residential,True,9.88,"LINESTRING (-2.0168472 43.2188814, -2.0169478 43.2189316)",,La Salle etorbidea,30,,,,
"[534850132, 534850133]",False,"['1', '2']","['residential', 'living_street']",False,65.472,"LINESTRING (-2.0168472 43.2188814, -2.016831 43.2189016, -2.0168072 43.2189313, -2.016707 43.2190562, -2.0166523 43.2191244, -2.016608 43.2191917, -2.0164705 43.2193523, -2.0164383 43.2193888)",,GALARDI KALEA,30,,,,
"[1242610745, 1069693738, 27271075]",False,2,residential,True,221.65800000000004,"LINESTRING (-2.0151222 43.217397, -2.0155198 43.21796, -2.0159039 43.2185039, -2.0159519 43.2185634, -2.0159832 43.2186021, -2.0160245 43.2186395, -2.0160634 43.2186664, -2.016118 43.218699, -2.0161866 43.218727, -2.0162448 43.218739, -2.0163623 43.2187543, -2.016422 43.2187538, -2.0164509 43.2187533, -2.0164781 43.2187528, -2.0165283 43.2187536, -2.0166041 43.2187637, -2.0166724 43.2187956, -2.0167537 43.2188355)",,"['La Salle etorbidea', 'Leizotz Auz']",30,,,,
40382187,False,2,residential,False,111.34100000000001,"LINESTRING (-2.0174743 43.2180119, -2.0174144 43.2181354, -2.0173548 43.2182749, -2.0173046 43.2183828, -2.017291 43.2183968, -2.0172707 43.2184177, -2.0172507 43.2184383, -2.0172392 43.2184507, -2.0171728 43.2185223, -2.0169864 43.2188616, -2.0169786 43.2188757, -2.0169478 43.2189316)",,Gallardi kalea,30,,,,
27271075,False,2,residential,False,9.88,"LINESTRING (-2.0169478 43.2189316, -2.0168472 43.2188814)",,La Salle etorbidea,30,,,,
"[1027089513, 27271075]",False,2,residential,True,44.025,"LINESTRING (-2.0169478 43.2189316, -2.0169854 43.2189542, -2.0169998 43.2189628, -2.0170639 43.2190022, -2.0172435 43.2191125, -2.0173895 43.219155)",,La Salle etorbidea,30,,,,
40382187,False,2,residential,True,111.34099999999998,"LINESTRING (-2.0169478 43.2189316, -2.0169786 43.2188757, -2.0169864 43.2188616, -2.0171728 43.2185223, -2.0172392 43.2184507, -2.0172507 43.2184383, -2.0172707 43.2184177, -2.017291 43.2183968, -2.0173046 43.2183828, -2.0173548 43.2182749, -2.0174144 43.2181354, -2.0174743 43.2180119)",,Gallardi kalea,30,,,,
40382189,False,2,residential,False,28.602999999999998,"LINESTRING (-2.0166081 43.2199449, -2.0166875 43.2198992, -2.0168478 43.2198077, -2.0168827 43.2197835)",,Extremadura kalea,30,,,,
529006642,False,1,living_street,False,30.224999999999998,"LINESTRING (-2.0181606 43.2186402, -2.0181795 43.2186213, -2.0181929 43.2186016, -2.0182025 43.2185874, -2.0182185 43.2185639, -2.0182486 43.2185282, -2.0182865 43.2184733, -2.0182979 43.2184454, -2.0183312 43.2183995)",,Alkartasuna kalea,,4,,,
"[1219613555, 1219613556]",True,1,residential,False,21.201,"LINESTRING (-2.0181606 43.2186402, -2.018139 43.2186118, -2.0180964 43.2185587, -2.0180904 43.218545, -2.0180821 43.2184992, -2.0180785 43.2184632)",,Alkartasuna kalea,30,4.9,,,
