osmid,highway,junction,oneway,reversed,length,geometry,ref,maxspeed,name,lanes
53511141,secondary,roundabout,True,False,11.094999999999999,"LINESTRING (-0.4394561 38.7483857, -0.4394538 38.7483733, -0.4394376 38.7483392, -0.4394088 38.7483104, -0.4393957 38.7483003)",,,,
198444950,secondary,,True,False,323.31399999999996,"LINESTRING (-0.4393702 38.7482874, -0.4393203 38.7482266, -0.4392995 38.7481922, -0.4392819 38.7481338, -0.4392667 38.7480529, -0.4392407 38.7479272, -0.4392144 38.7478035, -0.4391545 38.7475611, -0.4390814 38.7473386, -0.4390086 38.7471407, -0.438645 38.7460839, -0.4384275 38.745481)",N-340a,50,,
534348327,secondary,roundabout,True,False,20.325,"LINESTRING (-0.4393702 38.7482874, -0.4393345 38.7482783, -0.4393106 38.748278, -0.4392788 38.7482801, -0.4392438 38.7482893, -0.4392105 38.7483055, -0.4391884 38.7483224, -0.4391684 38.7483437)",,,,
198471274,secondary,roundabout,True,False,27.942999999999998,"LINESTRING (-0.4391695 38.7484511, -0.4391994 38.7484824, -0.4392407 38.7485045, -0.4392922 38.7485151, -0.4393419 38.7485119, -0.4393876 38.7484964, -0.4394224 38.748472, -0.439436 38.7484582)",,,,
53511141,secondary,roundabout,True,False,8.354,"LINESTRING (-0.439436 38.7484582, -0.4394473 38.7484381, -0.4394555 38.7484123, -0.4394561 38.7483857)",,,,
172567959,secondary,,False,False,30.591,"LINESTRING (-0.4343367 38.7396846, -0.4346561 38.7398013)",CV-790,50,Avinguda de Benilloba,
172568003,residential,,True,False,69.389,"LINESTRING (-0.4403289 38.7397016, -0.4402644 38.7403236)",,,Paseo del Comtat,1
"[198389010, 172567957]",residential,,False,False,146.076,"LINESTRING (-0.4403289 38.7397016, -0.440982 38.7397517, -0.4410141 38.7397542, -0.441199 38.7397743, -0.4413905 38.7397989, -0.4414809 38.739812, -0.4415931 38.7398318, -0.4417931 38.7398733, -0.4418335 38.7398888, -0.4418571 38.7399118, -0.4418782 38.7399523, -0.4418982 38.7399982)",,,"['Carrer Ben Alsahagi', 'Carrer Literat Azorín']",1
172567959,secondary,,False,True,30.591,"LINESTRING (-0.4346561 38.7398013, -0.4343367 38.7396846)",CV-790,50,Avinguda de Benilloba,
172567959,secondary,,False,False,30.323999999999998,"LINESTRING (-0.4346561 38.7398013, -0.4347341 38.7398388, -0.4349416 38.7399584)",CV-790,50,Avinguda de Benilloba,
172567959,secondary,,False,False,4.489,"LINESTRING (-0.4349416 38.7399584, -0.4349876 38.7399769)",CV-790,50,Avinguda de Benilloba,
172568030,residential,,False,False,19.966,"LINESTRING (-0.4349416 38.7399584, -0.4347994 38.7400996)",,,,
172567959,secondary,,False,True,30.323999999999998,"LINESTRING (-0.4349416 38.7399584, -0.4347341 38.7398388, -0.4346561 38.7398013)",CV-790,50,Avinguda de Benilloba,
172567959,secondary,,False,False,12.64,"LINESTRING (-0.4349876 38.7399769, -0.4351009 38.7400484)",CV-790,50,Avinguda de Benilloba,
172567959,secondary,,False,True,4.489,"LINESTRING (-0.4349876 38.7399769, -0.4349416 38.7399584)",CV-790,50,Avinguda de Benilloba,
