osmid,oneway,lanes,name,highway,reversed,length,geometry,width,maxspeed,junction,tunnel
78316967,False,,Calle Odiel,residential,True,83.808,"LINESTRING (-6.5428353 37.3406966, -6.5436537 37.341077)",,,,
78316761,False,,Calle Paloma,residential,True,116.75200000000001,"LINESTRING (-6.5428353 37.3406966, -6.5425304 37.3411179, -6.5419875 37.3414808)",,,,
158532659,True,,Calle Colón,residential,False,15.237,"LINESTRING (-6.5394209 37.3364271, -6.53927 37.3363609)",,,,
78316754,True,,Calle Luis Benjumea,residential,False,232.872,"LINESTRING (-6.5394209 37.3364271, -6.5397414 37.3365667, -6.5401536 37.3367229, -6.5408684 37.3369075, -6.5418798 37.3371608)",,,,
158532660,True,,Calle Nuestra Señora de las Mercedes,residential,False,56.734,"LINESTRING (-6.5394209 37.3364271, -6.5394333 37.3364858, -6.5392946 37.3367945, -6.5392823 37.336917)",,,,
400809773,False,,Calle Cartaya,residential,True,29.065,"LINESTRING (-6.5330601 37.3378811, -6.5329862 37.3381358)",,,,
400799863,False,,Calle San José,residential,False,76.379,"LINESTRING (-6.5340301 37.3364941, -6.5335001 37.3360482, -6.5334938 37.335975)",,,,
400799863,False,,Calle San José,residential,True,184.337,"LINESTRING (-6.5340301 37.3364941, -6.53395 37.3367954, -6.5339253 37.3372437, -6.5339869 37.3375425, -6.5342026 37.3381157)",,,,
400827705,False,,Calle Jarallo,residential,True,50.841,"LINESTRING (-6.5430964 37.3340644, -6.5435322 37.3343627)",,,,
158531890,True,,Calle Unión,residential,False,74.038,"LINESTRING (-6.5371082 37.3386911, -6.5373277 37.3383478, -6.5374799 37.3380945)",,,,
78316727,False,2,Calle María Auxiliadora,tertiary,False,141.118,"LINESTRING (-6.5400556 37.342549, -6.5401816 37.3423717, -6.540392 37.3420756, -6.5405834 37.3418064, -6.5407368 37.3415906, -6.5407696 37.3415458, -6.5407961 37.3415059, -6.5408341 37.3414413)",,,,
400770884,True,1,Calle Teniente Merchante,tertiary,False,51.817,"LINESTRING (-6.5379449 37.3358006, -6.5380757 37.3358377, -6.5385201 37.3358776)",,,,
234342351,True,,Calle Juan XXIII,tertiary,False,77.16,"LINESTRING (-6.539864 37.3396216, -6.5405801 37.3400183)",,,,
400799862,False,,Calle Juan Ramón Jiménez,tertiary,False,261.304,"LINESTRING (-6.539864 37.3396216, -6.5417689 37.3380508, -6.5417924 37.3379725, -6.541786 37.3378852)",,,,
400799862,False,,Calle Juan Ramón Jiménez,tertiary,True,119.33,"LINESTRING (-6.539864 37.3396216, -6.5394883 37.3398999, -6.5391422 37.3401851, -6.538944 37.3403617, -6.5389226 37.3403887)",,,,
78316710,False,,Calle Doctor Fleming,residential,False,129.282,"LINESTRING (-6.5416606 37.334966, -6.5430155 37.3345287)",,,,
400642301,False,2,Avenida de la Paz,tertiary,True,19.623,"LINESTRING (-6.5416606 37.334966, -6.541692 37.3351407)",,,,
202152720,False,,Calle Rafael de la Haba,residential,False,5.878,"LINESTRING (-6.5439604 37.3348748, -6.5439888 37.334827)",,,,
202152720,False,,Calle Rafael de la Haba,residential,True,6.448,"LINESTRING (-6.5439604 37.3348748, -6.543925 37.3349255)",,,,
