osmid,oneway,name,highway,reversed,length,ref,geometry,bridge,tunnel,junction,lanes,maxspeed,access,width
133530803,False,Carrer d'Alguer,residential,False,42.928,,"LINESTRING (1.5340814 41.2146379, 1.5337939 41.2143181)",,,,,,,
133531112,False,Avinguda de Sant Vicenç,tertiary,True,53.255,TP-2044,"LINESTRING (1.5340814 41.2146379, 1.5335726 41.2149258)",,,,,,,
682402669,False,Avinguda de Sant Vicenç,tertiary,False,32.394000000000005,TP-2044,"LINESTRING (1.5340814 41.2146379, 1.5341889 41.2145789, 1.5343882 41.2144602)",,,,,,,
65139253,True,Carrer de la Font de la Menya,residential,False,44.693,,"LINESTRING (1.5335885 41.2179607, 1.5341001 41.2180767)",,,,,,,
65139265,True,Avinguda de la Riera de la Bisbal,residential,False,322.585,,"LINESTRING (1.5335885 41.2179607, 1.533364 41.2185926, 1.5331961 41.219138, 1.533095 41.2195974, 1.5330533 41.2197147, 1.5328518 41.2208043)",,,,,,,
65237653,True,Carrer Nou,residential,False,64.056,,"LINESTRING (1.5335763 41.2191694, 1.5333353 41.2197162)",,,,,,,
133531112,False,Avinguda de Sant Vicenç,tertiary,False,53.255,TP-2044,"LINESTRING (1.5335726 41.2149258, 1.5340814 41.2146379)",,,,,,,
133531112,False,Avinguda de Sant Vicenç,tertiary,True,169.059,TP-2044,"LINESTRING (1.5335726 41.2149258, 1.5319444 41.2158266)",,,,,,,
136823637,True,Carrer del Mestre Antich,residential,False,56.269,,"LINESTRING (1.5335726 41.2149258, 1.5339709 41.2153336)",,,,,,,
133661232,True,Carrer d'Orient,residential,False,49.795,,"LINESTRING (1.5358671 41.2200054, 1.5361751 41.2199664, 1.5364547 41.2199334)",,,,,,,
231055070,True,Carrer Prat de la Riba,residential,False,33.327,,"LINESTRING (1.5358671 41.2200054, 1.53592 41.2202469, 1.5359234 41.2203018)",,,,,,,
134955630,True,Carrer de la Cerdanya,residential,False,17.638,,"LINESTRING (1.5356491 41.2194729, 1.5357337 41.2196182)",,,,,,,
764036917,False,Avinguda Jaume Carner,tertiary,False,19.066,,"LINESTRING (1.5354185 41.215174, 1.5353143 41.2150215)",,,,,,,
65139268,True,Carrer del Mar,residential,False,23.106,,"LINESTRING (1.5354185 41.215174, 1.5353292 41.2152887, 1.5352832 41.2153551)",,,,,,,
206999557,False,Avinguda Jaume Carner,tertiary,True,27.001,,"LINESTRING (1.5354185 41.215174, 1.5354963 41.2153403, 1.5355037 41.2154066)",,,,,,,
65239952,True,Carrer de Ramon d'Abadal,residential,False,154.89900000000003,,"LINESTRING (1.5375863 41.2197086, 1.5375319 41.2196042, 1.5373133 41.2191849, 1.5369207 41.2184844, 1.5368832 41.21842)",,,,,,,
136823637,True,Carrer del Mestre Antich,residential,False,32.192,,"LINESTRING (1.5339709 41.2153336, 1.5342096 41.2155607)",,,,,,,
134633062,True,Carrer de Josep Carner,residential,False,171.377,,"LINESTRING (1.5339709 41.2153336, 1.5327544 41.2160044, 1.5323011 41.2162259)",,,,,,,
65237653,True,Carrer Nou,residential,False,129.16,,"LINESTRING (1.5341001 41.2180767, 1.5335763 41.2191694)",,,,,,,
65237656,False,Carrer de la Font de la Menya,residential,False,39.658,,"LINESTRING (1.5341001 41.2180767, 1.5343695 41.2181255, 1.5345572 41.2181706)",,,,,,,
65139249,True,Carrer dels Trulls,residential,False,100.49,,"LINESTRING (1.5345852 41.2191013, 1.534919 41.2191466, 1.5351474 41.219198, 1.5355116 41.2193706, 1.5356491 41.2194729)",,,,,,,
"[65237657, 134955627]",True,"['Carrer del Mar', 'Carrer de la Cometa']",living_street,False,43.399,,"LINESTRING (1.5345852 41.2191013, 1.5345718 41.2192462, 1.5342602 41.2193177)",,,,,,,
135724330,False,Avinguda de Jaume Carner,tertiary_link,True,13.575,,"LINESTRING (1.5348648 41.2144932, 1.5348047 41.2143798)",,,,,,,
682402442,False,Avinguda de Jaume Carner,tertiary_link,False,18.677,,"LINESTRING (1.5348648 41.2144932, 1.5349917 41.2146314)",,,,,,,
65239226,True,Carrer de l'Om,residential,False,132.221,,"LINESTRING (1.5340115 41.2192866, 1.5345572 41.2181706)",,,,,,,
1062182120,True,Carrer de la Cometa,residential,False,38.663,,"LINESTRING (1.5340115 41.2192866, 1.5335763 41.2191694)",,,,,,,
65237656,False,Carrer de la Font de la Menya,residential,True,30.89,,"LINESTRING (1.5349128 41.2182456, 1.5345572 41.2181706)",,,,,,,
231407430,True,Carrer del Mar,residential,False,99.44800000000001,,"LINESTRING (1.5349128 41.2182456, 1.5347285 41.2185797, 1.534675 41.2187634, 1.5345852 41.2191013)",,,,,,,
132271059,False,Carrer Sant Jordi,residential,False,37.826,,"LINESTRING (1.5328518 41.2208043, 1.5324539 41.2206426)",yes,,,,,,
138003088,True,Carrer Indústria,residential,False,25.413,,"LINESTRING (1.5328518 41.2208043, 1.5328701 41.2208648, 1.5328093 41.2210249)",,,,,,,
135303318,False,Carrer del Mar,residential,False,12.776,,"LINESTRING (1.535021 41.2171815, 1.5350209 41.2170666)",,,,,,,
135303704,True,Carrer del Mar,residential,False,45.521,,"LINESTRING (1.535021 41.2171815, 1.5350536 41.2172489, 1.5350502 41.2174707, 1.5350543 41.2175865)",,,,,,,
135303318,False,Carrer del Mar,residential,False,15.595,,"LINESTRING (1.5350045 41.2160523, 1.5350038 41.2160409, 1.5349959 41.2159122)",,,,,,,
135303318,False,Carrer del Mar,residential,True,24.789,,"LINESTRING (1.5350045 41.2160523, 1.5350054 41.2160912, 1.5350095 41.2162752)",,,,,,,
135303318,False,Carrer del Mar,residential,True,15.595,,"LINESTRING (1.5349959 41.2159122, 1.5350038 41.2160409, 1.5350045 41.2160523)",,,,,,,
682401874,False,Carrer del Mar,residential,True,32.224,,"LINESTRING (1.5349959 41.2159122, 1.5350157 41.2157999, 1.535111 41.2156386)",,,,,,,
682401875,True,Carrer del Mar,residential,False,52.510000000000005,,"LINESTRING (1.5349959 41.2159122, 1.5349655 41.2157996, 1.5349637 41.2157216, 1.5349655 41.2156025, 1.5350146 41.2154466)",,,,,,,
65239224,True,Carrer del Forn de Calç,residential,False,49.002,,"LINESTRING (1.5355815 41.2159761, 1.5355314 41.2159826, 1.5350744 41.2160417, 1.5350045 41.2160523)",,,,,,,
206999557,False,Avinguda Jaume Carner,tertiary,False,63.66499999999999,,"LINESTRING (1.5355815 41.2159761, 1.5355278 41.2156223, 1.5355037 41.2154066)",,,,,,,
