osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,junction,lanes,width,bridge
384308918,True,C-28,Avenguda de Castièro,primary,False,25.936,"LINESTRING (0.7933576 42.7029139, 0.7934819 42.7029067, 0.7936139 42.7028883, 0.7936721 42.7028853)",,,,,
578166399,True,N-230,,primary,False,14.094000000000001,"LINESTRING (0.7933576 42.7029139, 0.7933979 42.702944, 0.7934196 42.7029831, 0.7934195 42.7030254)",40,roundabout,,,
679139332,True,N-230,,primary,False,3.242,"LINESTRING (0.7934195 42.7030254, 0.7934143 42.7030394, 0.7934066 42.7030529)",40,roundabout,,,
532414105,True,N-230,,primary,False,12.310999999999998,"LINESTRING (0.7932913 42.7031122, 0.7932411 42.7031102, 0.7931948 42.703096, 0.7931575 42.7030713)",40,roundabout,,,
"[189324242, 554626227]",False,,Carretera de Gausac,"['residential', 'unclassified']",True,64.372,"LINESTRING (0.7931575 42.7030713, 0.7931319 42.703093, 0.793046 42.7031641, 0.7928318 42.7034607, 0.7928044 42.7034966, 0.7927524 42.7035648)",,,1,7,
1255663331,True,N-230,,primary,False,11.395,"LINESTRING (0.7931575 42.7030713, 0.7931349 42.7030414, 0.793126 42.7030079, 0.7931316 42.702974)",40,roundabout,,,
232937634,True,N-230,,primary,False,29.061999999999998,"LINESTRING (0.7930383 42.7026905, 0.7931435 42.7027955, 0.793203 42.7028545, 0.7932575 42.7028958)",50,,,,
432612925,False,N-230,Carreron de Sant Estèue,primary,False,48.213,"LINESTRING (0.7930383 42.7026905, 0.7929991 42.7025627, 0.792987 42.7024366, 0.7929897 42.7023629, 0.7930005 42.7023124, 0.7930174 42.7022626)",50,,2,,
432612925,False,N-230,Carreron de Sant Estèue,primary,False,5.506,"LINESTRING (0.7930174 42.7022626, 0.7930266 42.7022405, 0.7930369 42.7022152)",50,,2,,
432612925,False,N-230,Carreron de Sant Estèue,primary,True,48.213,"LINESTRING (0.7930174 42.7022626, 0.7930005 42.7023124, 0.7929897 42.7023629, 0.792987 42.7024366, 0.7929991 42.7025627, 0.7930383 42.7026905)",50,,2,,
161442729,False,,Carrèr des Clòses,residential,False,14.746,"LINESTRING (0.7932615 42.7015912, 0.7933977 42.7015042)",,,,,
432612925,False,N-230,Carreron de Sant Estèue,primary,True,72.577,"LINESTRING (0.7932615 42.7015912, 0.7932673 42.7016856, 0.7932486 42.7017802, 0.7931858 42.7019308, 0.7930728 42.7021275, 0.7930369 42.7022152)",50,,2,,
"[500799346, 500799347, 509143236]",False,N-230,Carreron de Sant Estèue,primary,False,458.277,"LINESTRING (0.7932615 42.7015912, 0.7932244 42.7015151, 0.7931559 42.7014534, 0.7930545 42.701415, 0.7929562 42.7013998, 0.7928464 42.7014129, 0.7927382 42.7014496, 0.7922092 42.7017812, 0.7918283 42.7020286, 0.7916573 42.7021636, 0.7909687 42.7028504, 0.7902745 42.7034415, 0.7901353 42.7036051, 0.7900165 42.7038021, 0.7898656 42.7043128)","['70', '50']",,2,7,
132615744,False,,Avinguda Garona,tertiary,False,27.895,"LINESTRING (0.7974602 42.7045061, 0.797314 42.7047328)",,,,,
"[157748884, 1240504748, 157748897, 132615748]",False,,"['Carrèr des Arroquets', 'Camin Reiau']",residential,False,128.843,"LINESTRING (0.7974602 42.7045061, 0.7973927 42.704473, 0.7973726 42.7044623, 0.7971918 42.70439, 0.7971629 42.7043492, 0.797063 42.7042084, 0.7966747 42.7037015, 0.7965792 42.7035768)",,,,,yes
"[254530124, 532417447]",False,,"['Avenguda deth Garona', 'Avinguda Garona']",tertiary,True,106.735,"LINESTRING (0.7974602 42.7045061, 0.7974872 42.7044326, 0.7974968 42.7044065, 0.7977509 42.703715, 0.7978007 42.7035794)",30,,,,
1240504749,False,,Carrèr des Arroquets,residential,False,8.996,"LINESTRING (0.7974602 42.7045061, 0.7975046 42.7045196, 0.7975238 42.7045282, 0.7975616 42.7045368)",,,,,
132615744,False,,Avinguda Garona,tertiary,True,27.895,"LINESTRING (0.797314 42.7047328, 0.7974602 42.7045061)",,,,,
132615745,False,,Carrèr deth Garona,tertiary,False,186.289,"LINESTRING (0.797314 42.7047328, 0.7971773 42.7049007, 0.7970026 42.705082, 0.7960137 42.7061083)",30,,,,
527530512,False,C-28,Avenguda de Castièro,primary,False,6.434,"LINESTRING (0.7954169 42.7020892, 0.7953656 42.7021331)",,,,,
"[157748865, 157748868]",False,C-28,Avenguda de Castièro,primary,True,32.447,"LINESTRING (0.7954169 42.7020892, 0.7954537 42.7020575, 0.7956379 42.7019081, 0.7956822 42.7018721)",,,,,yes
254530142,True,,Carrèr Major,residential,False,11.98,"LINESTRING (0.7954169 42.7020892, 0.7953976 42.7020581, 0.7953712 42.7020157, 0.795356 42.7019912)",,,,,
157748876,False,,Carrer Sarriulera,living_street,True,147.40899999999996,"LINESTRING (0.7942857 42.7000526, 0.7942243 42.6999044, 0.794169 42.6996708, 0.7941834 42.6994786, 0.7942438 42.6991891, 0.7942137 42.6990457, 0.7941788 42.6988793, 0.7941626 42.698745)",,,,,
