osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,access,junction,width
"[519066800, 832508979]",True,Plaça del Gra,tertiary,30,False,36.943,"LINESTRING (2.9660039 42.2662908, 2.9660218 42.2663976, 2.9660592 42.2666205)",,,,,
566017701,False,Avinguda de Vilallonga,tertiary,30,True,152.736,"LINESTRING (2.9660039 42.2662908, 2.9661571 42.2662962, 2.9676752 42.26635, 2.9678579 42.2663565)",,,,,
512379676,True,,secondary,40,False,38.766999999999996,"LINESTRING (2.95807 42.2652092, 2.9580894 42.2653139, 2.9580855 42.2653795, 2.958084 42.2654036, 2.9580825 42.2654502, 2.9580786 42.2655106, 2.9580747 42.2655566)",2,N-IIa,,,
684430206,False,Avinguda de Salvador Dalí i Domènech,secondary,50,True,77.19900000000001,"LINESTRING (2.95807 42.2652092, 2.9580893 42.2649855, 2.9581176 42.2648179, 2.9581541 42.2645179)",4,N-IIa,,,
28366951,True,Carrer de Lasauca,residential,20,False,34.251,"LINESTRING (2.9581637 42.2658281, 2.958286 42.2658327, 2.9585794 42.2658436)",1,,,,
512379675,True,,secondary,40,False,12.472,"LINESTRING (2.9581637 42.2658281, 2.9581664 42.2658594, 2.9581742 42.26594)",2,N-IIa,,,
684430200,False,Avinguda de Salvador Dalí i Domènech,secondary,50,False,63.43,"LINESTRING (2.9583062 42.2635323, 2.9582907 42.2636164, 2.9582389 42.2639509, 2.9582336 42.2639849, 2.958216 42.2640988)",4,N-IIa,,,
702239703,False,Avinguda de Salvador Dalí i Domènech,secondary,50,True,27.141000000000002,"LINESTRING (2.9583062 42.2635323, 2.9583118 42.2634812, 2.9583276 42.2633597, 2.9583384 42.2632894)",4,N-IIa,,,
"[28366949, 1086213245, 1086213237]",True,Carrer del Col·legi,residential,"['20', '30']",False,50.092,"LINESTRING (2.9583062 42.2635323, 2.9584045 42.2635507, 2.9588637 42.2636419, 2.9588946 42.2636477)",,,,,
28366952,True,Carrer de Vilafant,residential,30,False,72.80099999999999,"LINESTRING (2.9590538 42.2636775, 2.9590649 42.263712, 2.9592446 42.2642702, 2.9592588 42.2643144)",,,,,
"[1086213244, 1086213213, 1086213212]",True,Carrer del Col·legi,residential,"['20', '30']",False,82.71000000000001,"LINESTRING (2.9590538 42.2636775, 2.9591151 42.263689, 2.9597461 42.263813, 2.9599924 42.2638614, 2.9600254 42.2638679)",,,,,
