osmid,oneway,ref,highway,reversed,length,geometry,lanes,name,maxspeed,junction,access,tunnel
179378910,True,N-IIIa,trunk,False,19.04,"LINESTRING (-3.0137748 40.0048765, -3.0139374 40.0049522, -3.0139636 40.0049679)",,,,,,
451551595,False,,residential,False,59.045,"LINESTRING (-3.0140713 40.0053467, -3.0138307 40.0058447)",2,Calle Miguel Ángle Blanco,40,,,
179378918,True,,residential,False,33.547,"LINESTRING (-3.0140713 40.0053467, -3.0142244 40.0052151, -3.0143279 40.0051179)",1,Calle Miguel Ángel Blanco,40,,,
179378921,True,N-IIIa,trunk,False,17.277,"LINESTRING (-3.0148319 40.0050916, -3.0146534 40.0050178)",,,,,,
298656991,False,,residential,True,60.302,"LINESTRING (-3.0143913 40.0046512, -3.0146143 40.0041365)",,Calle Miguel Ángel Blanco,,,,
179378934,True,,residential,False,26.939,"LINESTRING (-3.0143913 40.0046512, -3.0142781 40.004759, -3.0141968 40.0048422)",,Calle Miguel Ángel Blanco,,,,
179377654,False,,tertiary,False,99.721,"LINESTRING (-3.0137976 40.010108, -3.0138459 40.010145, -3.0141095 40.0102133, -3.0148945 40.0104059)",2,Avenida de Miguel de Cervantes,40,,,
890159229,True,,tertiary,False,17.939,"LINESTRING (-3.0137976 40.010108, -3.01382 40.0100807, -3.0138297 40.0100493, -3.0138259 40.0100172, -3.0138088 40.0099876, -3.0137803 40.0099639)",2,Glorieta de Obras Públicas,40,roundabout,,
45424687,False,,tertiary,False,35.894,"LINESTRING (-3.0123698 40.0098154, -3.0119546 40.0098708)",2,Avenida de Miguel de Cervantes,40,,yes,
45424687,False,,tertiary,True,25.009,"LINESTRING (-3.0123698 40.0098154, -3.0126553 40.009868)",2,Avenida de Miguel de Cervantes,40,,yes,
298656885,True,,residential,False,58.967,"LINESTRING (-3.0123698 40.0098154, -3.0124851 40.0092925)",,Calle del Seis de Diciembre,,,,
45424687,False,,tertiary,False,48.997,"LINESTRING (-3.0104586 40.0100704, -3.0098919 40.0101463)",2,Avenida de Miguel de Cervantes,40,,yes,
45424687,False,,tertiary,True,88.811,"LINESTRING (-3.0104586 40.0100704, -3.0114859 40.0099333)",2,Avenida de Miguel de Cervantes,40,,yes,
45424699,False,,tertiary,True,83.025,"LINESTRING (-3.0058189 40.0076732, -3.0055874 40.0069479)",,Avenida del Rey Juan Carlos I,,,,
173071290,True,,tertiary,False,12.06,"LINESTRING (-3.0058189 40.0076732, -3.0057991 40.0076816, -3.0057846 40.0076942, -3.0057762 40.0077103, -3.0057749 40.0077215, -3.0057793 40.0077385, -3.005786 40.0077483, -3.0058017 40.0077608)",,,,roundabout,,
