osmid,bridge,oneway,ref,highway,maxspeed,reversed,length,geometry,name,junction,lanes,tunnel,access
"[785062337, 92317947, 59513533]",yes,True,A-55,motorway_link,"['40', '70']",False,291.75,"LINESTRING (-8.6250769 42.1633448, -8.6249468 42.1642644, -8.6248853 42.1645072, -8.6245125 42.1655234, -8.6243999 42.1658002, -8.6243571 42.1659054)",,,,,
30646750,,True,N-120,trunk,,False,26.47,"LINESTRING (-8.6188043 42.161208, -8.6190958 42.1613079)",,,,,
30646746,,False,N-120,trunk,,False,40.637,"LINESTRING (-8.6188043 42.161208, -8.6185963 42.1611542, -8.6183389 42.1610874)",Rúa Antonio Palacios,,,,
166177896,,True,,trunk,,False,4.01,"LINESTRING (-8.6207009 42.1661453, -8.6207387 42.1661226)",Rotonda das Angustias,roundabout,,,
638791945,,True,,trunk,,False,10.161,"LINESTRING (-8.6207875 42.1659225, -8.6207672 42.1658961, -8.620741 42.1658726, -8.6207098 42.1658527)",Rotonda das Angustias,roundabout,,,
30646819,,True,,residential,30,False,27.345,"LINESTRING (-8.6207098 42.1658527, -8.6206941 42.1658037, -8.6206685 42.1657264, -8.6206603 42.1656106)",,,1,,
1054360744,,True,,trunk,,False,16.334000000000003,"LINESTRING (-8.6207098 42.1658527, -8.6206667 42.1658346, -8.6206196 42.1658233, -8.6205703 42.1658195, -8.620521 42.1658234)",Rotonda das Angustias,roundabout,,,
368590563,,True,N-120,trunk,30,False,59.71399999999999,"LINESTRING (-8.6197581 42.1616418, -8.6196362 42.1615397, -8.6195477 42.1614668, -8.619381 42.1613395, -8.6193254 42.1612906, -8.619306 42.1612625, -8.6192729 42.1612458)",Avenida de Galicia,,1,,
166177895,,False,N-550,trunk,,False,41.293000000000006,"LINESTRING (-8.6196459 42.1586288, -8.6196235 42.1588471, -8.6195986 42.1589984)",Avenida Domingo Bueno,,,,
166177895,,False,N-550,trunk,,True,19.806,"LINESTRING (-8.6196459 42.1586288, -8.6196454 42.1585167, -8.6196366 42.158451)",Avenida Domingo Bueno,,,,
