osmid,highway,oneway,reversed,length,name,geometry,tunnel,ref,junction,maxspeed
189223387,residential,False,False,41.708,,"LINESTRING (-4.3604005 39.8601832, -4.3608424 39.8600231)",,,,
23153088,residential,True,False,282.873,Calle Alfares,"LINESTRING (-4.3604005 39.8601832, -4.3605518 39.8605209, -4.3606827 39.8609183, -4.3607186 39.861181, -4.3607284 39.8614687, -4.360815 39.862541, -4.3608179 39.8626916)",,,,
23153088,residential,True,False,195.75799999999998,Calle Alfares,"LINESTRING (-4.3609382 39.8631151, -4.3609524 39.8632967, -4.3607888 39.8641202, -4.3605896 39.8648499)",,,,
"[303410574, 189223383, 303410585, 303410554, 303410555, 303410557]",residential,True,False,318.846,"['Calle Tendezuelas', 'Calle Manzanilla']","LINESTRING (-4.3609382 39.8631151, -4.3606086 39.8633243, -4.3601056 39.8636437, -4.3597601 39.8638631, -4.3594786 39.8640418, -4.35937 39.8641127, -4.3592656 39.8641683, -4.3590445 39.8642633, -4.358994 39.8642781, -4.3589816 39.8642563, -4.3589532 39.8642106, -4.3587127 39.863799, -4.3585206 39.8633791)",yes,,,
189230400,residential,True,False,43.391,,"LINESTRING (-4.3588177 39.8646289, -4.3588039 39.8645011, -4.3589984 39.8644999, -4.3591246 39.8644423)",,,,
303410517,residential,True,False,93.495,Calle Las Monjas,"LINESTRING (-4.3588177 39.8646289, -4.3585484 39.8646411, -4.3580985 39.8647852, -4.3577605 39.8647769)",,,,
176022792,residential,True,False,8.855,Calle Don Lino Ramos,"LINESTRING (-4.3589081 39.8651422, -4.3588885 39.865064)",,,,
189223305,residential,True,False,8.106,Calle Señor Cura,"LINESTRING (-4.357295 39.865345, -4.3573884 39.8653318)",,,,
303415621,residential,False,True,24.271,Calle San Miguel,"LINESTRING (-4.357295 39.865345, -4.3570429 39.865244)",,,,
176022795,residential,False,False,45.480000000000004,Calle Grillo,"LINESTRING (-4.357295 39.865345, -4.3573001 39.8653693, -4.3573429 39.8655746, -4.3573227 39.8657504)",,,,
