osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,width
100444720,Calle Cruces,residential,30,False,True,29.372,,"LINESTRING (-5.8618968 38.949978, -5.8619758 38.9497211)",,
156815139,Calle Cruces,residential,,True,False,42.402,,"LINESTRING (-5.8618968 38.949978, -5.8616946 38.9503254)",,
50505232,Calle Doña Consuelo Torres,residential,50,True,False,120.234,1,"LINESTRING (-5.8614704 38.953499, -5.861004 38.9535244, -5.8606076 38.9536276, -5.860136 38.9537678)",,
50505232,Calle Doña Consuelo Torres,residential,50,True,False,23.613,1,"LINESTRING (-5.8617311 38.9535622, -5.8614704 38.953499)",,
50505231,Plaza de España,residential,,True,False,63.473,,"LINESTRING (-5.8617311 38.9535622, -5.8617418 38.9540147, -5.8617463 38.9541329)",,
100444730,Calle San Andrés,residential,,True,False,130.513,,"LINESTRING (-5.8628556 38.9546136, -5.8628697 38.9543829, -5.862892 38.9542251, -5.8628968 38.9541474, -5.8628755 38.9540908, -5.8627988 38.9539588, -5.8627881 38.9538211, -5.8627955 38.9537884, -5.8628568 38.9537527, -5.8629378 38.9537331, -5.8631614 38.953721, -5.8631947 38.9537032)",,
156848688,Calle Arroyazo,residential,50,False,False,81.999,2,"LINESTRING (-5.8628556 38.9546136, -5.8636368 38.95483, -5.8637496 38.9548595)",,
156848688,Calle Arroyazo,residential,50,False,True,60.363,2,"LINESTRING (-5.8628556 38.9546136, -5.8627629 38.9545892, -5.8624059 38.9544867, -5.8622692 38.9544645, -5.8621893 38.9544615)",,
156848687,Calle Francisco Valdés,residential,,True,False,55.427,,"LINESTRING (-5.8645927 38.9550835, -5.8650845 38.9554032)",,
84533479,Calle Castúos,residential,50,False,False,70.825,1,"LINESTRING (-5.8645927 38.9550835, -5.864456 38.955332, -5.8642974 38.9556773)",,
156782982,Calle Francisco Valdés,residential,,False,False,39.852,,"LINESTRING (-5.865529 38.9557068, -5.8658632 38.9559536)",,
100444696,Calle Francisco Valdés,residential,,True,False,40.595,,"LINESTRING (-5.865529 38.9557068, -5.8652983 38.955454, -5.8652578 38.9554088)",,
