osmid,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,name
892420515,tertiary,roundabout,True,False,14.204,"LINESTRING (-3.5342578 40.3544904, -3.5342431 40.3545194, -3.5342403 40.3545446, -3.5342475 40.3545799, -3.5342681 40.3546119)",,,
895330014,tertiary,roundabout,True,False,4.955,"LINESTRING (-3.531337 40.3515229, -3.5313596 40.351564)",1,30,
28331706,tertiary,,False,False,108.196,"LINESTRING (-3.5342681 40.3546119, -3.534254 40.3546181, -3.5331692 40.3551074)",2,30,Calle de José Saramago
895212323,tertiary,roundabout,True,False,12.285,"LINESTRING (-3.5342681 40.3546119, -3.5343045 40.3546402, -3.5343511 40.3546577, -3.5343914 40.3546636)",1,30,
28331706,tertiary,,False,True,19.002000000000002,"LINESTRING (-3.5307764 40.3562188, -3.5308843 40.3561689, -3.5309684 40.3561305)",2,30,Calle de José Saramago
583509731,tertiary,,True,False,26.636000000000003,"LINESTRING (-3.5307764 40.3562188, -3.5305544 40.3562435, -3.5305278 40.3562459, -3.530465 40.3562514)",1,30,Calle de José Saramago
410941764,tertiary,,True,False,36.907,"LINESTRING (-3.5318643 40.3519459, -3.5319325 40.3519741, -3.5319532 40.3519857, -3.5320317 40.3520417, -3.5321795 40.3521707)",1,30,Avenida de Pablo Iglesias
1126378553,tertiary,roundabout,True,False,16.658,"LINESTRING (-3.5318643 40.3519459, -3.5319402 40.3519244, -3.5319906 40.3518967, -3.5320276 40.3518673)",1,30,
41852973,tertiary,,True,False,66.828,"LINESTRING (-3.5259984 40.3531741, -3.5266923 40.3534597)",,,Avenida de Ramón y Cajal
35607637,tertiary,,True,False,37.626,"LINESTRING (-3.5359031 40.3565796, -3.5361286 40.3568711)",1,30,Avenida de Pablo Iglesias
28331706,tertiary,,False,True,91.823,"LINESTRING (-3.5309684 40.3561305, -3.5318788 40.3556826)",2,30,Calle de José Saramago
28331706,tertiary,,False,False,19.002000000000002,"LINESTRING (-3.5309684 40.3561305, -3.5308843 40.3561689, -3.5307764 40.3562188)",2,30,Calle de José Saramago
28332107,residential,roundabout,True,False,7.379,"LINESTRING (-3.5339774 40.3496348, -3.5338907 40.349641)",2,,
28332121,residential,,True,False,38.448,"LINESTRING (-3.5277755 40.349718, -3.5277214 40.3498014, -3.5275756 40.3500284)",,,Calle del Orégano
32683157,tertiary,,True,False,329.336,"LINESTRING (-3.5277755 40.349718, -3.5278537 40.3497483, -3.528073 40.3498421, -3.5288227 40.3501525, -3.52908 40.3502632, -3.5293561 40.3503855, -3.5297834 40.3505921, -3.5300989 40.3507537, -3.530354 40.3508978, -3.5310361 40.351316)",1,30,Avenida de Pablo Iglesias
32646425,residential,,True,False,222.422,"LINESTRING (-3.525933 40.3523727, -3.5274616 40.3530183, -3.5281825 40.3533991)",,,Calle de la Petunia
41852973,tertiary,,True,False,33.006,"LINESTRING (-3.525656 40.3530326, -3.5259984 40.3531741)",,,Avenida de Ramón y Cajal
28331706,tertiary,,False,False,91.823,"LINESTRING (-3.5318788 40.3556826, -3.5309684 40.3561305)",2,30,Calle de José Saramago
28331706,tertiary,,False,True,19.249000000000002,"LINESTRING (-3.5318788 40.3556826, -3.5319931 40.3556317, -3.5320745 40.3555947)",2,30,Calle de José Saramago
28344730,residential,,True,False,172.32800000000003,"LINESTRING (-3.5318788 40.3556826, -3.5318237 40.3556077, -3.5317383 40.3554935, -3.531722 40.3554715, -3.5316156 40.3553398, -3.5315376 40.3552315, -3.5311819 40.354797, -3.5311052 40.3546957, -3.530904 40.354442, -3.5308241 40.3543583)",,,Calle de la Dalia
28331713,residential,,True,False,160.92500000000004,"LINESTRING (-3.5298332 40.3534035, -3.5297162 40.3534843, -3.5286256 40.3542586, -3.5285879 40.3542858, -3.5285078 40.3543429, -3.5284289 40.3543585, -3.5284216 40.3543599)",,,Calle de la Vid
220949774,residential,,False,False,235.982,"LINESTRING (-3.5298332 40.3534035, -3.5299278 40.3533348, -3.5317337 40.3520238, -3.5318265 40.3519579, -3.5318499 40.35194)",,,Calle de la Vid
662754053,residential,,False,False,60.580999999999996,"LINESTRING (-3.5298332 40.3534035, -3.5295812 40.3532096, -3.5294281 40.3530948, -3.5293302 40.3530164)",,,Calle de la Dalia
195391567,residential,,False,False,97.006,"LINESTRING (-3.5293302 40.3530164, -3.5284902 40.3536091)",,,Calle del Pensamiento
195391567,residential,,False,True,235.951,"LINESTRING (-3.5293302 40.3530164, -3.5294557 40.3529225, -3.5312175 40.3516537, -3.5313317 40.351582, -3.5313596 40.351564)",,,Calle del Pensamiento
662754053,residential,,False,True,60.581,"LINESTRING (-3.5293302 40.3530164, -3.5294281 40.3530948, -3.5295812 40.3532096, -3.5298332 40.3534035)",,,Calle de la Dalia
28332112,residential,,True,False,77.892,"LINESTRING (-3.5333615 40.3518736, -3.5328284 40.3513863, -3.5327697 40.3513377)",,,Calle de Ana María Matute
