osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,name,geometry,access
511544594,1,M-509,secondary,20,roundabout,True,False,7.199,,"LINESTRING (-3.9572235 40.491175, -3.9572969 40.4911422)",
25004725,2,,residential,50,,True,False,156.86100000000002,Avenida de Juan Carlos I,"LINESTRING (-3.9572235 40.491175, -3.9572888 40.4912865, -3.9576443 40.4918021, -3.9577904 40.4920176, -3.9578358 40.4920971, -3.957898 40.4922112, -3.95795 40.4922888, -3.9579948 40.4923308, -3.9580576 40.4923703, -3.9581152 40.4923957)",
4811863,1,M-509,secondary,20,,True,False,17.103,Avenida de Madrid,"LINESTRING (-3.9574097 40.4909738, -3.9575999 40.4909215)",
511544593,1,M-509,secondary,20,roundabout,True,False,10.344999999999999,,"LINESTRING (-3.9574097 40.4909738, -3.9574112 40.4909285, -3.9573945 40.4908825)",
511544593,1,M-509,secondary,20,roundabout,True,False,4.797,,"LINESTRING (-3.9573945 40.4908825, -3.9573667 40.4908449)",
4086105,1,M-509,secondary,20,roundabout,True,False,29.776,,"LINESTRING (-3.9573667 40.4908449, -3.9573107 40.4907933, -3.9572374 40.4907562, -3.9571531 40.4907368, -3.9570651 40.4907368)",
4086105,1,M-509,secondary,20,roundabout,True,False,14.891,,"LINESTRING (-3.9570651 40.4907368, -3.9569808 40.4907561, -3.9569075 40.4907932)",
28144591,2,,residential,50,,True,False,34.012,Avenida San Pablo,"LINESTRING (-3.9570651 40.4907368, -3.9569911 40.4907037, -3.956906 40.4905883, -3.9568394 40.4904926)",
511544595,1,M-509,secondary,20,roundabout,True,False,34.543,,"LINESTRING (-3.9568173 40.4909065, -3.956808 40.4909682, -3.9568208 40.4910296, -3.9568549 40.4910861, -3.9569076 40.4911335, -3.9569752 40.4911684)",
4811865,1,M-509,secondary,20,,True,False,35.370999999999995,Avenida de Madrid,"LINESTRING (-3.9578122 40.4908784, -3.9574515 40.4908875, -3.9573945 40.4908825)",
25004729,,,residential,,,True,False,107.398,Calle Colmenarejo,"LINESTRING (-3.9656251 40.491455, -3.9650646 40.4905883)",
243542648,,,residential,,,False,True,7.139,Calle del Campo,"LINESTRING (-3.9656251 40.491455, -3.965549 40.4914828)",
25836502,,,residential,,roundabout,True,False,0.728,,"LINESTRING (-3.9656998 40.4934053, -3.9656916 40.4934033)",
25836495,,,residential,,,False,False,70.99,Avenida del Guadarrama,"LINESTRING (-3.9632387 40.4923945, -3.9628611 40.4918243)",
25836495,,,residential,,,False,True,91.756,Avenida del Guadarrama,"LINESTRING (-3.9632387 40.4923945, -3.9637072 40.4931388)",
243542648,,,residential,,,False,False,78.108,Calle del Campo,"LINESTRING (-3.9632387 40.4923945, -3.964057 40.4920687)",
25836495,,,residential,,,False,False,62.842,Avenida del Guadarrama,"LINESTRING (-3.9622873 40.4909746, -3.962235 40.490891, -3.9621235 40.4907116, -3.9620169 40.490542, -3.9619682 40.4904642)",
25836495,,,residential,,,False,True,90.884,Avenida del Guadarrama,"LINESTRING (-3.9622873 40.4909746, -3.9623478 40.4910638, -3.9627098 40.4915967, -3.9627805 40.4917008)",
243542643,,,residential,30,,False,False,112.568,Calle de Mister Lodge,"LINESTRING (-3.9622873 40.4909746, -3.9621844 40.4910123, -3.9617654 40.4911656, -3.9611048 40.4914388)",
642712431,1,,residential,,,True,False,59.332,Calle de Mister Lodge,"LINESTRING (-3.9622873 40.4909746, -3.9624053 40.4909291, -3.9629132 40.4907335)",
36929935,,,residential,30,,False,False,60.547,Calle del Jaral,"LINESTRING (-3.9589956 40.4919936, -3.959617 40.4922641)",
36929935,,,residential,30,,False,True,63.824,Calle del Jaral,"LINESTRING (-3.9589956 40.4919936, -3.9586917 40.4914682)",
243542643,,,residential,30,,False,True,91.646,Calle de Mister Lodge,"LINESTRING (-3.9589956 40.4919936, -3.9600467 40.4917928)",
243542643,,,residential,30,,False,False,65.747,Calle de Mister Lodge,"LINESTRING (-3.9589956 40.4919936, -3.9585476 40.4920999, -3.9584321 40.4921669, -3.9583946 40.4922096, -3.958344 40.4922711)",
25836506,,,residential,30,,True,False,85.404,Avenida de Madrid,"LINESTRING (-3.9583357 40.4909222, -3.9591806 40.4907296, -3.9593031 40.4907017)",
36929935,,,residential,30,,False,False,67.766,Calle del Jaral,"LINESTRING (-3.9583357 40.4909222, -3.9584046 40.4910278, -3.9586917 40.4914682)",
36929922,,,residential,30,roundabout,True,False,24.763,,"LINESTRING (-3.9619736 40.4942854, -3.9619643 40.4943406, -3.9619773 40.4943954, -3.9620112 40.4944448, -3.962063 40.4944841)",
36929921,2,,residential,50,,True,False,74.952,Avenida de Juan Carlos I,"LINESTRING (-3.9623128 40.4945005, -3.9624446 40.4945842, -3.9628637 40.4948444, -3.9629982 40.4949279)",
36929922,,,residential,30,roundabout,True,False,16.296,,"LINESTRING (-3.9623128 40.4945005, -3.962366 40.4944732, -3.9624079 40.4944361, -3.9624355 40.494392)",
240637950,,,residential,,,True,False,51.48,Calle de las Eras,"LINESTRING (-3.9655607 40.4932454, -3.9653909 40.4928008)",
1066895247,,,residential,,,True,False,20.573999999999998,Calle Camino Real,"LINESTRING (-3.9655607 40.4932454, -3.9655852 40.4933529, -3.9656023 40.4934277)",
243542647,,,residential,,,True,False,37.068,Calle de las Eras,"LINESTRING (-3.9652583 40.4921904, -3.9651546 40.4918665)",
35203549,,,residential,,,False,False,54.297,Calle Mártires,"LINESTRING (-3.9644793 40.4908121, -3.9647679 40.4912483)",
243588048,,,residential,,,True,False,55.4,Calle Cervantes,"LINESTRING (-3.9644793 40.4908121, -3.9645168 40.4907984, -3.9650646 40.4905883)",
28231811,,,residential,,,True,False,40.109,Calle Cervantes,"LINESTRING (-3.9638974 40.4910341, -3.9634781 40.4912027)",
243588048,,,residential,,,True,False,55.055,Calle Cervantes,"LINESTRING (-3.9638974 40.4910341, -3.9644095 40.4908375, -3.9644793 40.4908121)",
