osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction,width,ref,access
114325894,False,2,Passeig de Mossèn Lluís Constans,secondary,50,False,94.115,"LINESTRING (2.7616568 42.1149407, 2.7617157 42.1149114, 2.7617334 42.1149022, 2.7617593 42.1148886, 2.7625186 42.1145094, 2.7626027 42.1144674)",,,,
786021436,True,1,Plaça dels Jurats,secondary,30,False,12.035999999999998,"LINESTRING (2.7616568 42.1149407, 2.7616665 42.1149488, 2.7616743 42.114958, 2.7616799 42.114968, 2.7616832 42.1149785, 2.7616842 42.1149893, 2.7616827 42.115, 2.7616789 42.1150105, 2.7616728 42.1150203, 2.7616646 42.1150293, 2.7616545 42.1150371)",roundabout,,,
31906454,True,1,Plaça dels Jurats,secondary,30,False,11.214,"LINESTRING (2.7616545 42.1150371, 2.7616424 42.1150438, 2.761629 42.1150489, 2.7616145 42.1150522, 2.7615995 42.1150536, 2.7615844 42.1150531, 2.7615696 42.1150507, 2.7615556 42.1150465, 2.7615428 42.1150405, 2.7615316 42.1150331)",roundabout,,,
153477937,True,1,Passeig de la Indústria,tertiary,30,False,108.104,"LINESTRING (2.7616545 42.1150371, 2.7617458 42.1151038, 2.7618882 42.1152133, 2.7625867 42.1157204)",,,,
31906454,True,1,Plaça dels Jurats,secondary,30,False,22.461,"LINESTRING (2.7615316 42.1150331, 2.7615205 42.1150224, 2.7615127 42.1150102, 2.7615084 42.1149971, 2.7615077 42.1149837, 2.7615108 42.1149704, 2.7615175 42.1149579, 2.7615275 42.1149467, 2.7615404 42.1149372, 2.7615556 42.1149298, 2.7615725 42.1149249, 2.7615904 42.1149227, 2.7616085 42.1149233, 2.7616261 42.1149266, 2.7616425 42.1149325, 2.7616568 42.1149407)",roundabout,,,
33692922,False,2,Passeig de Mossèn Lluís Constans,secondary,50,False,163.832,"LINESTRING (2.7615316 42.1150331, 2.761472 42.1150828, 2.7614526 42.1150991, 2.7611895 42.1153815, 2.7610405 42.1155327, 2.7609701 42.1156028, 2.7609158 42.1156456, 2.7608536 42.1156737, 2.7606881 42.1157308, 2.7602026 42.1158817, 2.7600397 42.1159253)",,,,
33692922,False,2,Passeig de Mossèn Lluís Constans,secondary,50,True,163.832,"LINESTRING (2.7600397 42.1159253, 2.7602026 42.1158817, 2.7606881 42.1157308, 2.7608536 42.1156737, 2.7609158 42.1156456, 2.7609701 42.1156028, 2.7610405 42.1155327, 2.7611895 42.1153815, 2.7614526 42.1150991, 2.761472 42.1150828, 2.7615316 42.1150331)",,,,
130118173,True,,Carrer de la Divina Pastora,residential,30,False,133.396,"LINESTRING (2.7600397 42.1159253, 2.7601002 42.1160037, 2.760395 42.1163127, 2.7605584 42.11646, 2.7606529 42.1165373, 2.7608147 42.1166359, 2.7609221 42.1166882, 2.7610551 42.1167453, 2.7611448 42.1167702)",,5,,
511818371,True,1,Carrer Llibertat,secondary,40,False,7.877,"LINESTRING (2.7636017 42.1181226, 2.7636529 42.1180628)",,,C-150a,
296576667,False,2,Carrer Llibertat,secondary,40,True,57.684,"LINESTRING (2.7636017 42.1181226, 2.7635102 42.1182273, 2.7634871 42.1182588, 2.7634633 42.1182937, 2.763448 42.1183275, 2.7634349 42.1183652, 2.7634284 42.1184025, 2.7634275 42.1184671, 2.7634302 42.1186093)",,,C-150a,
