osmid,oneway,ref,highway,reversed,length,geometry,lanes,name,maxspeed,bridge,junction,tunnel
24215037,True,SO-110,tertiary,False,18.024,"LINESTRING (-2.5345777 41.4897852, -2.5345849 41.4897329, -2.5345392 41.4896905, -2.5344697 41.4896727)",,,,,,
"[905613992, 905613993, 905613989, 905613991]",False,SO-110,tertiary,False,191.42200000000003,"LINESTRING (-2.5345777 41.4897852, -2.535128 41.4899917, -2.535497 41.4901302, -2.5356875 41.4902152, -2.5360678 41.4903849, -2.536588 41.4906171)",2,Calle de San Lázaro,,,,
154384181,False,,residential,False,74.691,"LINESTRING (-2.536588 41.4906171, -2.5373268 41.4902364)",,Calle de Joaquín Turina,,,,
905613988,False,SO-110,tertiary,False,76.658,"LINESTRING (-2.536588 41.4906171, -2.5373632 41.4909887)",2,Calle de San Lázaro,,,,
"[905613992, 905613993, 905613989, 905613991]",False,SO-110,tertiary,True,191.422,"LINESTRING (-2.536588 41.4906171, -2.5360678 41.4903849, -2.5356875 41.4902152, -2.535497 41.4901302, -2.535128 41.4899917, -2.5345777 41.4897852)",2,Calle de San Lázaro,,,,
904494453,False,N-111,trunk,False,18.895,"LINESTRING (-2.5343072 41.489724, -2.5343661 41.4898881)",2,Avenida de Soria,50,,,
"[37516912, 37516913, 904329251]",False,N-111,trunk,True,198.915,"LINESTRING (-2.5343072 41.489724, -2.5342496 41.4896667, -2.5342167 41.4896379, -2.5341981 41.4896202, -2.5328167 41.4884599, -2.532721 41.4883873)",2,"['Puente Medieval', 'Calle del General Martínez', 'Avenida de Soria']",50,yes,,
28015380,False,,residential,False,23.23,"LINESTRING (-2.5347902 41.4911824, -2.5346414 41.4913591)",,Camino Viejo del Cubo de la Solana,,,,
32744395,False,N-111,trunk,False,33.731,"LINESTRING (-2.5347902 41.4911824, -2.534891 41.4914762)",2,Avenida de Soria,50,,,
32744395,False,N-111,trunk,True,19.342,"LINESTRING (-2.5347902 41.4911824, -2.53473 41.4910144)",2,Avenida de Soria,50,,,
247957927,False,N-111,trunk,True,31.406,"LINESTRING (-2.5310415 41.485436, -2.5309217 41.4851682)",2,Avenida de Salazar y Torres,,,,
664516377,False,SC-SO-3,tertiary,False,66.768,"LINESTRING (-2.5310415 41.485436, -2.5303552 41.4857462)",2,Calle de San Salvador,,,,
905261966,False,SC-SO-6,tertiary,False,32.472,"LINESTRING (-2.5310415 41.485436, -2.5307336 41.4852569)",2,Calle de Antonio Machado,,,,
904494301,False,N-111,trunk,False,29.64,"LINESTRING (-2.5310415 41.485436, -2.5310663 41.4854899, -2.5310935 41.4855505, -2.5311193 41.4856106, -2.5311398 41.4856612, -2.5311484 41.4856901)",2,Avenida de Salazar y Torres,,,,
907858274,False,SC-SO-3,tertiary,False,7.152,"LINESTRING (-2.5281426 41.4867521, -2.5280648 41.4867793)",2,Calle de San Salvador,,,,
907858275,False,SC-SO-3,tertiary,True,34.398,"LINESTRING (-2.5281426 41.4867521, -2.5284957 41.4865917)",2,Calle de San Salvador,,,,
907858279,True,,residential,False,28.619999999999997,"LINESTRING (-2.5281426 41.4867521, -2.5281522 41.4867337, -2.5281697 41.4867143, -2.5281947 41.4866947, -2.5282159 41.4866757, -2.5282332 41.4866555, -2.5282508 41.4866264, -2.5282697 41.4865798, -2.5282892 41.486524)",1,Ronda de San Francisco,,,,
52517688,False,,residential,False,28.939,"LINESTRING (-2.5319318 41.487626, -2.5322256 41.4874871)",,Calle de Zaragoza,,,,
25701730,False,N-111,trunk,False,75.428,"LINESTRING (-2.5319318 41.487626, -2.5320373 41.4877771, -2.5323153 41.4880729, -2.5324439 41.4881827)",2,Calle del General Martínez,,,,
