osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,tunnel,lanes,junction,bridge
180580373,False,Avinguda de Catalunya,tertiary,30,False,66.243,,"LINESTRING (1.2682414 41.670767, 1.2690231 41.6708851)",,,,
180580373,False,Avinguda de Catalunya,tertiary,30,True,14.508,,"LINESTRING (1.2682414 41.670767, 1.2680706 41.6707397)",,,,
706954361,False,Avinguda d'Igualada,tertiary,30,True,6.852,,"LINESTRING (1.2757683 41.6711366, 1.2757218 41.6711875)",,,,
47841880,False,Camí dels Pagesos,unclassified,,False,185.048,L-100,"LINESTRING (1.2757683 41.6711366, 1.2757701 41.6709636, 1.2757709 41.6709135, 1.2757687 41.6707844, 1.2757551 41.6706483, 1.2757203 41.6704671, 1.2756955 41.6703614, 1.2756725 41.6702456, 1.2756573 41.6700983, 1.275664 41.6699165, 1.2756651 41.6698036, 1.2756598 41.6697016, 1.2756244 41.6694797)",,,,
"[51205376, 180580363, 51205375]",False,Carrer de la Llibertat,residential,20,True,167.31,,"LINESTRING (1.2749992 41.6733671, 1.2750483 41.6734743, 1.2752199 41.6738564, 1.2753542 41.6741267, 1.27537 41.6741521, 1.2753921 41.6741774, 1.2754141 41.674196, 1.2754377 41.6742111, 1.2754694 41.6742299, 1.2755074 41.6742475, 1.2756222 41.6742928, 1.2757668 41.6743466, 1.2758687 41.6743927, 1.2759251 41.6744268, 1.2760095 41.67449, 1.2760532 41.6745295, 1.276079 41.6745509)",yes,,,
299532568,True,Avinguda de Manresa,tertiary,30,False,36.912,N-141f,"LINESTRING (1.2749992 41.6733671, 1.2751151 41.673504, 1.2751633 41.6735499, 1.2752685 41.6736292)",,,,
"[609168529, 47096237]",False,Carrer de la Llibertat,tertiary,"['20', '30']",True,118.341,N-141f,"LINESTRING (1.2749992 41.6733671, 1.2749876 41.6733505, 1.2748558 41.6731686, 1.2747842 41.6730357, 1.2744146 41.6724964, 1.2743513 41.6724203)",,,,
180580348,True,Avinguda de Manresa,tertiary,20,False,47.419000000000004,N-141f,"LINESTRING (1.2759864 41.6741482, 1.2756124 41.6739927, 1.2754928 41.6739343)",,,,
180580355,False,Avinguda de Manresa,tertiary,30,False,95.84899999999999,N-141f,"LINESTRING (1.2759864 41.6741482, 1.2761186 41.6741934, 1.2761971 41.6742186, 1.276316 41.6742486, 1.2764424 41.6742766, 1.2767203 41.6743205, 1.2770489 41.6743778, 1.2770921 41.6743853)",,,,
47150133,False,Carrer Pla de les Verges,residential,30,True,91.0,,"LINESTRING (1.2770921 41.6743853, 1.2771289 41.6743225, 1.277478 41.6737262, 1.2775263 41.673634)",,,,
