osmid,lanes,ref,name,highway,junction,oneway,reversed,length,geometry,maxspeed,width,access,tunnel
22981203,2,N-332A,rotonda de la Llibertat,secondary,roundabout,True,False,6.234,"LINESTRING (0.0587838 38.716414, 0.0588495 38.7163913)",,,,
22981203,2,N-332A,rotonda de la Llibertat,secondary,roundabout,True,False,14.112,"LINESTRING (0.0590954 38.7164736, 0.0591156 38.7165128, 0.0591229 38.7165547, 0.0591167 38.7165968)",,,,
22981203,2,N-332A,rotonda de la Llibertat,secondary,roundabout,True,False,11.991,"LINESTRING (0.058924 38.7167263, 0.0588779 38.7167258, 0.0588331 38.7167177, 0.0587913 38.7167025)",,,,
22981203,2,N-332A,rotonda de la Llibertat,secondary,roundabout,True,False,12.176000000000002,"LINESTRING (0.0587913 38.7167025, 0.0587541 38.7166805, 0.0587237 38.7166527, 0.0587016 38.7166205)",,,,
232065676,2,CV-745,Avinguda de Madrid,secondary_link,,True,False,29.019,"LINESTRING (0.0587913 38.7167025, 0.058615 38.7167245, 0.0584652 38.7167583)",,,,
22981203,2,N-332A,rotonda de la Llibertat,secondary,roundabout,True,False,6.441,"LINESTRING (0.0587016 38.7166205, 0.0586858 38.7165639)",,,,
96645769,2,N-332A,Avinguda del País Valencià,tertiary,,True,False,31.935,"LINESTRING (0.0586858 38.7165639, 0.0583435 38.7164583)",40,,,
22981203,2,N-332A,rotonda de la Llibertat,secondary,roundabout,True,False,19.474,"LINESTRING (0.0586858 38.7165639, 0.0586953 38.716506, 0.0587293 38.716454, 0.0587838 38.716414)",,,,
450275948,,CV-745,,secondary,roundabout,True,False,14.030999999999999,"LINESTRING (0.0535835 38.7193344, 0.053588 38.7193687, 0.0535607 38.7194579)",,,,
23783916,,CV-745,Avinguda de Madrid,secondary,,True,False,13.368,"LINESTRING (0.0566945 38.7178311, 0.0565891 38.7179188)",,,,
955291977,,CV-745,Avinguda de Madrid,secondary,,False,False,61.079,"LINESTRING (0.0566945 38.7178311, 0.0572543 38.717498)",,,,
22981203,2,N-332A,rotonda de la Llibertat,secondary,roundabout,True,False,8.198,"LINESTRING (0.0591167 38.7165968, 0.0591006 38.7166314, 0.0590753 38.7166626)",,,,
