osmid,oneway,name,highway,reversed,length,geometry,lanes,width,bridge,ref,maxspeed
30334766,True,Arana kalea,residential,False,25.935,"LINESTRING (-2.1790781 43.0550121, -2.1793929 43.0549735)",,,,,
"[30112264, 284093380]",True,"['Araba kalea', 'Euskalherria kalea']",residential,False,123.61099999999999,"LINESTRING (-2.1790781 43.0550121, -2.1788605 43.05466, -2.1787249 43.0543968, -2.1790638 43.0544487, -2.179233 43.0544667, -2.1793229 43.0544743)",,,,,
40772458,True,Joseba Rezola pasealekua,residential,False,52.852,"LINESTRING (-2.1850397 43.0541055, -2.1846815 43.0539517, -2.1845146 43.0538308)",1,,,,
41688078,True,Diego Rivero Kalea,residential,False,26.192,"LINESTRING (-2.1828923 43.0533489, -2.1828499 43.0535824)",,,,,
41688258,True,Kaleberri,residential,False,87.423,"LINESTRING (-2.1828923 43.0533489, -2.1836701 43.0534798, -2.1837739 43.0535142, -2.1838497 43.053473, -2.1838933 43.0534336)",,,,,
"[41688075, 41688260]",True,Maribaratza Kalea,residential,False,117.25999999999999,"LINESTRING (-2.1828923 43.0533489, -2.1827175 43.0533331, -2.1818271 43.053275, -2.1817808 43.0532637, -2.1817455 43.0531964, -2.1817674 43.0530323)",,,,,
30334766,True,Arana kalea,residential,False,29.668,"LINESTRING (-2.1793929 43.0549735, -2.179753 43.0549293)",,,,,
30334771,True,Mendizabal kalea,residential,False,39.182,"LINESTRING (-2.1793929 43.0549735, -2.1794856 43.0553193)",,,,,
30335107,True,Arana kalea,residential,False,6.848,"LINESTRING (-2.179753 43.0549293, -2.1798363 43.0549199)",,,,,
"[30335106, 500773003]",True,Ordizia kalea,residential,False,90.584,"LINESTRING (-2.1802207 43.0542426, -2.1802486 43.0541625, -2.1805374 43.0534616)",,,,,
30335107,True,Arana kalea,residential,False,46.482,"LINESTRING (-2.1800958 43.0549053, -2.1803144 43.0548836, -2.1804939 43.0548611, -2.1805455 43.0548145, -2.1805438 43.0547507)",,,,,
30334771,True,Mendizabal kalea,residential,False,55.799,"LINESTRING (-2.1793229 43.0544743, -2.1793929 43.0549735)",,,,,
"[284093380, 283520606]",True,"['Amerika kalea', 'Euskalherria kalea']",residential,False,60.744,"LINESTRING (-2.1793229 43.0544743, -2.1794118 43.054468, -2.1795575 43.0544559, -2.1796687 43.0544466, -2.1798874 43.0546911)",,,,,
30335104,True,Sanperio,residential,False,23.555,"LINESTRING (-2.1794856 43.0553193, -2.1797656 43.0552644)",,,,,
30334769,True,Samperio kalea,residential,False,35.841,"LINESTRING (-2.1794856 43.0553193, -2.1794148 43.0553335, -2.1791522 43.0554225, -2.1790812 43.0554465)",,,,,
30335105,True,Sanperio,residential,False,35.184,"LINESTRING (-2.1801852 43.0551862, -2.1797656 43.0552644)",,,,,
30334770,True,Arramendi kalea,residential,False,32.08,"LINESTRING (-2.1801852 43.0551862, -2.1801721 43.0551308, -2.1800958 43.0549053)",,,,,
41689690,True,,residential,False,37.276,"LINESTRING (-2.1797656 43.0552644, -2.179753 43.0549293)",,,,,
41689932,True,Urdaneta kalea,residential,False,188.526,"LINESTRING (-2.1805374 43.0534616, -2.1806177 43.0534582, -2.1809738 43.0534605, -2.1817125 43.0534982, -2.1828499 43.0535824)",,,,,
518586324,True,Juan Amezketa kalea,residential,False,108.33699999999999,"LINESTRING (-2.1805374 43.0534616, -2.1804373 43.0533006, -2.1803241 43.0531977, -2.1801763 43.0530801, -2.1799973 43.0529851, -2.1798188 43.0528972, -2.1796939 43.0528285, -2.1796149 43.0527845)",,,,,
199768087,True,Iturtxo bidea,residential,False,42.663,"LINESTRING (-2.1805438 43.0547507, -2.1803227 43.0544027)",,,,,
"[30335108, 30335110]",False,"['Iturtxo bidea', 'Arramendi Bidea']",unclassified,"[False, True]",143.219,"LINESTRING (-2.1805438 43.0547507, -2.180655 43.0549252, -2.1806886 43.0549621, -2.1808346 43.0550406, -2.1808897 43.0550606, -2.1809321 43.0550909, -2.1809699 43.0551339, -2.1810077 43.0551738, -2.1810413 43.0552229, -2.1810735 43.0553067, -2.1810749 43.0553395, -2.1811001 43.05541, -2.1811211 43.0554591, -2.1811463 43.0555113, -2.1811757 43.0555604, -2.1812051 43.0556095, -2.1812429 43.0556862, -2.1812555 43.0557322, -2.1812807 43.0557905, -2.1813101 43.0558672)",,,,,
31171028,False,Sanperio kalea,residential,False,5.657,"LINESTRING (-2.1803227 43.0544027, -2.1802616 43.0544271)",,,,,
30335109,False,Egutera bidea,residential,False,86.485,"LINESTRING (-2.1803227 43.0544027, -2.1806676 43.0544711, -2.1808691 43.0545233, -2.1811127 43.0545877, -2.1813309 43.0546499)",,,,,
445988812,True,Iturtxo bidea,residential,False,20.442000000000004,"LINESTRING (-2.1803227 43.0544027, -2.1802491 43.054335, -2.1802173 43.0542824, -2.1802207 43.0542426)",,,,,
