osmid,ref,highway,junction,oneway,reversed,length,lanes,name,geometry,maxspeed
859662266,N-6,trunk,roundabout,True,False,1.452,,,"LINESTRING (-5.8951066 42.3039544, -5.8951039 42.3039673)",
24709583,LE-125,secondary,,True,False,12.739,1,Carretera de A-6 (La Bañeza) a límite provincia de Zamora,"LINESTRING (-5.8955834 42.3038367, -5.8955374 42.3037273)",
859662267,N-6,trunk,roundabout,True,False,21.293,2,,"LINESTRING (-5.8955834 42.3038367, -5.8954639 42.3037825, -5.8953507 42.303756)",
859662267,N-6,trunk,roundabout,True,False,7.239,2,,"LINESTRING (-5.8953507 42.303756, -5.8952668 42.3037757)",
24709685,LE-125,secondary,,False,False,32.393,,Plaza Mayor,"LINESTRING (-5.8973358 42.2999102, -5.8974303 42.29985, -5.8976501 42.2997351)",
24709703,LE-125,secondary,,False,False,16.121,,Calle Escultor Rivera,"LINESTRING (-5.8988096 42.2990417, -5.8989676 42.2989559)",
25322289,,residential,,False,True,79.864,,Calle Vía de la Plata,"LINESTRING (-5.8988096 42.2990417, -5.8990302 42.2991499, -5.8995211 42.2994203, -5.8995922 42.2994661)",
41076946,,residential,,True,False,103.868,,Calle Conrado Blanco,"LINESTRING (-5.8988096 42.2990417, -5.8987162 42.2990165, -5.8977676 42.2985182)",
24709703,LE-125,secondary,,False,True,12.668,,Calle Escultor Rivera,"LINESTRING (-5.9021932 42.2976754, -5.9020639 42.2977373)",
859662268,LE-125,secondary,,False,False,69.196,,Avenida Odón Alonso,"LINESTRING (-5.896076 42.3019565, -5.8962774 42.3013523)",
859662268,LE-125,secondary,,False,True,61.379,,Avenida Odón Alonso,"LINESTRING (-5.896076 42.3019565, -5.8960559 42.3020142, -5.8958901 42.3024911)",
454673038,,residential,,False,False,8.498,,Calle Batalla de Lepanto,"LINESTRING (-5.9003906 42.3028024, -5.9002916 42.3027805)",
24740002,,residential,roundabout,True,False,27.524,,Plaza Antonio Colinas,"LINESTRING (-5.9003906 42.3028024, -5.9003859 42.3028518, -5.9004043 42.3028994, -5.9004435 42.3029395, -5.900499 42.3029672, -5.9005639 42.3029793)",
24740002,,residential,roundabout,True,False,26.520000000000003,,Plaza Antonio Colinas,"LINESTRING (-5.9005639 42.3029793, -5.9006281 42.3029747, -5.9006867 42.3029547, -5.900733 42.3029216, -5.9007621 42.302879, -5.9007705 42.3028317)",
"[24740002, 859662269]",,residential,roundabout,True,False,32.627,,Plaza Antonio Colinas,"LINESTRING (-5.9007076 42.3027315, -5.9006648 42.3027097, -5.9006157 42.3026972, -5.9005639 42.3026947, -5.9005052 42.3027048, -5.9004536 42.3027278, -5.9004141 42.3027614, -5.9003906 42.3028024)",
24876023,,residential,,False,True,48.501,,Calle Mercado,"LINESTRING (-5.9007076 42.3027315, -5.900844 42.3026279, -5.9010772 42.3023928)",
24776746,,residential,roundabout,True,False,8.142,,Plaza de La Asunción,"LINESTRING (-5.9020693 42.2960999, -5.9020812 42.2960609, -5.9020771 42.2960278)",
24709703,LE-125,secondary,,False,True,80.555,,Calle Escultor Rivera,"LINESTRING (-5.9008007 42.2979151, -5.9000526 42.2983827)",
24709703,LE-125,secondary,,False,False,47.389,,Calle Escultor Rivera,"LINESTRING (-5.9008007 42.2979151, -5.9009391 42.2978969, -5.9013671 42.2978369)",
25044701,,residential,,True,False,36.488,,Calle Juan Carlos I Rey,"LINESTRING (-5.9008007 42.2979151, -5.9007082 42.2979123, -5.9004846 42.2978656, -5.9004254 42.2978543, -5.9003698 42.2978432)",
24855475,,residential,,False,False,35.813,,Calle Arrote,"LINESTRING (-5.891206 42.2971088, -5.8916382 42.297148)",
245010032,,residential,,True,False,15.862,,Calle Arrote,"LINESTRING (-5.891206 42.2971088, -5.8911526 42.2970956, -5.8911103 42.2970814, -5.8910711 42.2970663, -5.8910321 42.2970484)",
24855475,,residential,,False,True,210.088,,Calle Arrote,"LINESTRING (-5.8941723 42.2973855, -5.8916382 42.297148)",
24855475,,residential,,False,False,99.025,,Calle Arrote,"LINESTRING (-5.8941723 42.2973855, -5.8946536 42.297369, -5.8952423 42.2973525, -5.8953753 42.2973496)",
