osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,width,junction,access,bridge
25639953,1,Calle la Bastona,residential,False,True,139.959,"LINESTRING (-16.4882473 28.4251078, -16.4882333 28.4250476, -16.4882218 28.4249983, -16.488191 28.4249316, -16.4881227 28.4245912, -16.4880221 28.4242071, -16.4879169 28.4240105, -16.4878314 28.4239198)",,,,,,
362325604,2,Carretera España,secondary,False,True,191.70599999999996,"LINESTRING (-16.4882473 28.4251078, -16.4882748 28.4251253, -16.4884718 28.4252506, -16.4886907 28.4253852, -16.4887661 28.4254294, -16.4887845 28.4254401, -16.4888278 28.4254607, -16.4888671 28.4254775, -16.4889213 28.425495, -16.4889675 28.4255037, -16.4890172 28.4255107, -16.4890842 28.4255144, -16.4891643 28.4255149, -16.4893037 28.4255062, -16.4900701 28.4254581)",TF-217,,,,,
362324285,3,Carretera Provincial,secondary,False,False,15.538999999999998,"LINESTRING (-16.4919887 28.4253249, -16.4919415 28.4253414, -16.4918368 28.4253651)",TF-217,,,,,
"[200303609, 362325605, 362325606]",2,Carretera Provincial,secondary,False,True,52.122,"LINESTRING (-16.4919887 28.4253249, -16.492061 28.4252899, -16.4922344 28.4252018, -16.4922758 28.4251823, -16.4923131 28.4251648, -16.4923904 28.4251337, -16.4924638 28.4251165)",TF-217,,,,,
"[200303609, 362325605, 362325606]",2,Carretera Provincial,secondary,False,False,52.122,"LINESTRING (-16.4924638 28.4251165, -16.4923904 28.4251337, -16.4923131 28.4251648, -16.4922758 28.4251823, -16.4922344 28.4252018, -16.492061 28.4252899, -16.4919887 28.4253249)",TF-217,,,,,
200303609,2,Carretera Provincial,secondary,False,True,91.46700000000001,"LINESTRING (-16.4924638 28.4251165, -16.4925506 28.4251082, -16.4926303 28.425105, -16.4927266 28.4251107, -16.492899 28.4251388, -16.4932435 28.4251857, -16.4933634 28.4251993, -16.4933903 28.4251991)",TF-217,,,,,
102994198,,Paseo de Cala,residential,False,True,171.681,"LINESTRING (-16.4933903 28.4251991, -16.4933939 28.4251661, -16.4934251 28.4248827, -16.4934714 28.4245292, -16.4934807 28.4244733, -16.4934902 28.424416, -16.4935313 28.4243037, -16.4942046 28.4240665)",,,,,,
200303609,2,Carretera Provincial,secondary,False,False,91.467,"LINESTRING (-16.4933903 28.4251991, -16.4933634 28.4251993, -16.4932435 28.4251857, -16.492899 28.4251388, -16.4927266 28.4251107, -16.4926303 28.425105, -16.4925506 28.4251082, -16.4924638 28.4251165)",TF-217,,,,,
200303609,2,Carretera Provincial,secondary,False,True,91.84400000000001,"LINESTRING (-16.4933903 28.4251991, -16.4934994 28.4251981, -16.4936978 28.4251781, -16.4938345 28.4251607, -16.4938506 28.4251587, -16.4940145 28.4251401, -16.4942126 28.425113, -16.4943219 28.4251001)",TF-217,,,,,
25631726,,Calle los Zarzales,unclassified,False,True,85.74799999999999,"LINESTRING (-16.4953132 28.4231955, -16.4953082 28.4234326, -16.4954444 28.423953)",,,,,,
25633474,,Camino Antiguo Puntilla,residential,True,False,53.625,"LINESTRING (-16.4963067 28.4246924, -16.4961647 28.424724, -16.4957783 28.4248212)",,,,,,
200303609,2,Carretera Provincial,secondary,False,False,130.577,"LINESTRING (-16.4963067 28.4246924, -16.4961324 28.4248346, -16.4960445 28.4249027, -16.4959706 28.4249571, -16.4959199 28.4249831, -16.4958302 28.4250096, -16.495743 28.4250213, -16.4951018 28.4250572)",TF-217,,,,,
25631726,,Calle los Zarzales,unclassified,False,False,33.036,"LINESTRING (-16.4957783 28.4248212, -16.4956647 28.4245414)",,,,,,
25633474,,Camino Antiguo Puntilla,residential,True,False,90.212,"LINESTRING (-16.4957783 28.4248212, -16.4956607 28.4248709, -16.4954685 28.4248856, -16.4952582 28.4248905, -16.4948695 28.4248957)",,,,,,
362325060,2,Rambla Doctor Pérez,secondary,False,True,8.221,"LINESTRING (-16.4915616 28.4256413, -16.4915607 28.4256009, -16.4915604 28.4255853, -16.4915594 28.4255674)",TF-213,,,,,
"[533901960, 362325062]",1,Rambla Doctor Pérez,secondary,True,False,125.155,"LINESTRING (-16.4915616 28.4256413, -16.4915168 28.4256987, -16.4914367 28.4257418, -16.4903914 28.4260617)",TF-213,,,,,
"[363525960, 77770105, 363525959]",2,Rambla Doctor Pérez,secondary,False,False,116.11199999999998,"LINESTRING (-16.4884386 28.4269083, -16.488342 28.4268767, -16.488281 28.4268425, -16.4881863 28.4267602, -16.487826 28.4264344, -16.4876477 28.426289, -16.4875335 28.4262599)",TF-213,,,,,
"[363491032, 403526116]","['2', '3']",Avenida las Palmeras,tertiary,False,True,110.581,"LINESTRING (-16.4884386 28.4269083, -16.4884433 28.4269489, -16.4884526 28.4270097, -16.4884625 28.427069, -16.4885236 28.4272209, -16.4887098 28.4276833, -16.4887568 28.427762, -16.488802 28.4277886, -16.4888509 28.4277979)",,,,,,
