osmid,oneway,highway,reversed,length,name,geometry,lanes,junction,maxspeed,access,tunnel,width
61494459,True,tertiary_link,False,11.783,,"LINESTRING (-0.9796951 37.5982088, -0.9797741 37.5981233)",,,,,,
"[1099927752, 1002393066]",False,tertiary,True,45.125,Paseo Alfonso XII,"LINESTRING (-0.9796951 37.5982088, -0.9796974 37.5982186, -0.9797026 37.5982546, -0.9797541 37.5986119)",,,,,,
241764814,True,primary,False,15.323,,"LINESTRING (-0.9850735 37.5979194, -0.9850982 37.5979276, -0.985125 37.5979286, -0.9851506 37.5979222, -0.9851679 37.5979125, -0.985184 37.5978955, -0.9851917 37.5978752, -0.9851908 37.5978604)",2,roundabout,,,,
140134092,True,secondary,False,29.057000000000002,Calle Real,"LINESTRING (-0.9878338 37.5991189, -0.9878869 37.5991355, -0.9879169 37.5991478, -0.9879391 37.5991585, -0.9879666 37.5991759, -0.9879933 37.5992004, -0.9880094 37.5992285, -0.9880169 37.5992551, -0.988015 37.59928, -0.988006 37.5993044)",,,30,yes,,
"[464105795, 48583916, 1097335504, 347303801, 304392415]",False,"['secondary', 'living_street']",False,330.53299999999996,"['Plaza de los Héroes de Cavite', 'Calle Real', 'Calle Joaquín Navarro Coromina']","LINESTRING (-0.9878338 37.5991189, -0.9875216 37.5990504, -0.9870383 37.5989422, -0.9869892 37.598925, -0.9869574 37.5988997, -0.9869401 37.598883, -0.9869271 37.5988674, -0.9869009 37.5988178, -0.9867886 37.5984633, -0.9867636 37.5983806, -0.9866196 37.5979049, -0.986604 37.5978678, -0.9865842 37.5978383, -0.9865566 37.5978121, -0.9865271 37.5977909, -0.9864908 37.5977757, -0.9864551 37.5977686, -0.9864136 37.5977689, -0.9857901 37.5978135, -0.9853896 37.5978462, -0.9853498 37.5978487, -0.9851908 37.5978604)",2,,30,yes,,
"[77213352, 23161142]",False,living_street,"[False, True]",167.50400000000002,"['Calleja del Almendro', 'Plaza del Rey']","LINESTRING (-0.9884488 37.6005001, -0.9883357 37.6005179, -0.9883138 37.6005217, -0.9882936 37.6005256, -0.987366 37.6006875, -0.9870852 37.6008024, -0.9872228 37.6011642)",,,,,,
158710476,True,secondary,False,106.369,Calle Real,"LINESTRING (-0.9884488 37.6005001, -0.9884555 37.6005438, -0.9885888 37.6008552, -0.9886097 37.6009114, -0.9887714 37.6014207)",,,30,,,
276586353,False,secondary,True,28.195,Calle Real,"LINESTRING (-0.9884488 37.6005001, -0.9884187 37.6004386, -0.9883982 37.6003841, -0.988374 37.600324, -0.9883606 37.6002572)",,,30,,,
368124097,False,residential,False,4.334,Calle Carlos III,"LINESTRING (-0.983133 37.6059226, -0.9831821 37.6059202)",,,,,,
"[525875042, 48774749]",True,residential,False,193.65999999999997,"['Calle Tierno Galván', 'Calle Alcalde Amancio Muñoz']","LINESTRING (-0.983133 37.6059226, -0.9831282 37.6057932, -0.9831119 37.6055255, -0.9830097 37.6055396, -0.981494 37.605736, -0.9814375 37.6057425)",,,,,,
320713127,True,residential,False,93.559,Calle Carlos III,"LINESTRING (-0.9861676 37.6057943, -0.9870371 37.6057606, -0.987176 37.6057668, -0.9872283 37.6057695)",,,,,,
23171542,True,residential,False,315.841,Calle Muralla de Tierra,"LINESTRING (-0.9848749 37.6050054, -0.9847561 37.6049813, -0.9846526 37.6049785, -0.9844208 37.6049844, -0.984124 37.6049912, -0.9840583 37.6049952, -0.9837369 37.6050131, -0.9833709 37.6050426, -0.9832215 37.6050672, -0.9831278 37.6050884, -0.9824008 37.6052715, -0.9815739 37.6054708, -0.981556 37.6054751, -0.9815285 37.6054848, -0.9815049 37.6054976, -0.9814863 37.6055105, -0.9814586 37.6055367, -0.9814288 37.6055703)",,,,,,
