osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,name,bridge,access
91248204,LU-862,primary,40,roundabout,True,False,20.334,"LINESTRING (-7.5947177 43.6641916, -7.594677 43.6641566, -7.5946237 43.664132, -7.5945628 43.6641201, -7.5944996 43.6641219)",,,,
91248207,LU-862,primary,40,,True,False,54.037,"LINESTRING (-7.5947177 43.6641916, -7.5947778 43.6640836, -7.594865 43.663966, -7.595066 43.66378)",,,,
129208829,LU-862,primary,40,,True,False,59.536,"LINESTRING (-7.595066 43.66378, -7.5949449 43.6638337, -7.5948125 43.6639151, -7.5946034 43.6640436, -7.5944996 43.6641219)",,,,
129208830,LU-862,primary,40,,False,False,54.83,"LINESTRING (-7.595066 43.66378, -7.595156 43.663713, -7.5952383 43.6636583, -7.5955332 43.6634701, -7.5955653 43.6634448)",3,Avenida de Galicia,,
129208830,LU-862,primary,40,,False,True,54.83,"LINESTRING (-7.5955653 43.6634448, -7.5955332 43.6634701, -7.5952383 43.6636583, -7.595156 43.663713, -7.595066 43.66378)",3,Avenida de Galicia,,
"[107465297, 379795823]",,living_street,20,,True,False,198.574,"LINESTRING (-7.5955653 43.6634448, -7.5955004 43.6634044, -7.5952948 43.6632763, -7.5952378 43.6632538, -7.5950769 43.663187, -7.594857 43.6631231, -7.5948452 43.6631206, -7.5947217 43.6630829, -7.594524 43.6630416, -7.5944748 43.663033, -7.5941147 43.6629695, -7.5937514 43.6629438, -7.5934067 43.6629189, -7.5932676 43.6629126)",,Avenida de Cervantes,,
395907658,LU-862,primary,40,,False,False,123.37700000000001,"LINESTRING (-7.5955653 43.6634448, -7.5956549 43.663364, -7.595691 43.6633285, -7.5962576 43.6624583)",2,Avenida de Galicia,,
"[151485355, 72230548, 783473701, 104365462]",LU-862,primary,"['40', '50']",,False,False,227.86500000000004,"LINESTRING (-7.5962576 43.6624583, -7.5963127 43.6624364, -7.5963709 43.6624207, -7.5964416 43.6624188, -7.5965071 43.6624323, -7.5965792 43.6624504, -7.597775 43.6628188, -7.598014 43.6628981, -7.5982499 43.6629803, -7.5984994 43.6630742, -7.5986216 43.6631211, -7.5986996 43.6631521, -7.5987898 43.6631869, -7.5988385 43.6632087)",2,"['Ponte da Misericordia', 'LU-862']",yes,
395907658,LU-862,primary,40,,False,True,123.37700000000001,"LINESTRING (-7.5962576 43.6624583, -7.595691 43.6633285, -7.5956549 43.663364, -7.5955653 43.6634448)",2,Avenida de Galicia,,
72230576,LU-862,primary,40,,False,False,32.760999999999996,"LINESTRING (-7.6016754 43.6646557, -7.6016938 43.6647737, -7.60168 43.6649493)",,Rúa Misericordia,,
