osmid,oneway,highway,reversed,length,geometry,name,ref,lanes,maxspeed,junction
471549972,False,tertiary,True,35.597,"LINESTRING (3.0257785 39.7737982, 3.0258158 39.7735847, 3.0257493 39.7734933)",,,,,
153226142,False,tertiary,True,49.158,"LINESTRING (3.0255397 39.7733372, 3.0258142 39.7729487)",carrer del Comerç,,,,
471549972,False,tertiary,False,24.943,"LINESTRING (3.0255397 39.7733372, 3.0257493 39.7734933)",,,,,
4793900,False,residential,False,21.771,"LINESTRING (3.0275535 39.7705708, 3.0276977 39.7704094)",Plaça del Tren,,,,
153226089,False,tertiary,True,9.641,"LINESTRING (3.0275535 39.7705708, 3.0276657 39.7705798)",Plaça del Tren,,,,
153226142,False,tertiary,False,64.244,"LINESTRING (3.0275535 39.7705708, 3.0274776 39.7706392, 3.0272214 39.7709613, 3.0271456 39.771055)",carrer del Comerç,,,,
50944245,True,tertiary,False,80.081,"LINESTRING (3.0216027 39.7672789, 3.0208043 39.766902)",Carrer Gran,Ma-3501,,,
126392191,True,tertiary,False,109.257,"LINESTRING (3.0216027 39.7672789, 3.0221642 39.7663962)",Carrer de n'Antoni Maura,Ma-3501,,,
4793900,False,residential,False,50.987,"LINESTRING (3.0276977 39.7704094, 3.0279461 39.7699925)",Plaça del Tren,,,,
4793900,False,residential,True,21.771,"LINESTRING (3.0276977 39.7704094, 3.0275535 39.7705708)",Plaça del Tren,,,,
50944245,True,tertiary,False,41.797,"LINESTRING (3.0276977 39.7704094, 3.0273372 39.7701554)",Carrer Gran,Ma-3501,,,
471552363,False,tertiary,False,19.144,"LINESTRING (3.0276977 39.7704094, 3.0276657 39.7705798)",,,,,
23256014,True,secondary,False,7.839,"LINESTRING (3.0304763 39.7720203, 3.0303846 39.7720218)",rotonda dels pagesos,Ma-3450,1,40,roundabout
452357158,False,secondary,True,25.863,"LINESTRING (3.0304763 39.7720203, 3.0305122 39.7721428, 3.0306038 39.7722234)",camí de l'Albufera,Ma-3433,1,40,
23256013,True,tertiary,False,38.461,"LINESTRING (3.0301892 39.7719114, 3.0300601 39.7718153, 3.0298659 39.7716708)",Carrer de Mister Green,,1,50,
23256014,True,secondary,False,28.875,"LINESTRING (3.0301892 39.7719114, 3.0301913 39.771804, 3.030261 39.7717462, 3.0303492 39.7717179)",rotonda dels pagesos,Ma-3450,1,40,roundabout
23256014,True,secondary,False,17.374,"LINESTRING (3.0303492 39.7717179, 3.0304477 39.7717198, 3.0305165 39.7717414, 3.0305427 39.7717533)",rotonda dels pagesos,Ma-3450,1,40,roundabout
23256014,True,secondary,False,6.765,"LINESTRING (3.030587 39.7717735, 3.0306227 39.7718278)",rotonda dels pagesos,Ma-3450,1,40,roundabout
153226089,False,tertiary,False,46.427,"LINESTRING (3.0280842 39.770846, 3.0276657 39.7705798)",Plaça del Tren,,,,
86257428,True,residential,False,101.256,"LINESTRING (3.0280842 39.770846, 3.0279617 39.7714827, 3.0279173 39.7717475)",Passatge des Tren,,,,
279400477,False,tertiary,True,38.387,"LINESTRING (3.0280842 39.770846, 3.0281657 39.7708794, 3.0284795 39.7710099)",Carrer de Mister Green,,2,50,
