osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,junction,width
21127013,2,N-152,primary,50,False,False,41.763,,"LINESTRING (1.9287425 42.4273606, 1.9291753 42.4275581)",,,
232258212,,,residential,,False,False,29.183,Carrer de Núria,"LINESTRING (1.9291838 42.4293693, 1.9292798 42.4291166)",,,
246835423,,,tertiary,,False,False,32.873999999999995,Avinguda de Catalunya,"LINESTRING (1.9291838 42.4293693, 1.9289937 42.4292681, 1.9288693 42.4291868)",,,
246835423,,,tertiary,,False,True,50.66700000000001,Avinguda de Catalunya,"LINESTRING (1.9291838 42.4293693, 1.9293635 42.4294952, 1.929473 42.4296103, 1.9295249 42.4297177, 1.929533 42.4297348)",,,
246835423,,,tertiary,,False,True,18.132,Avinguda de Catalunya,"LINESTRING (1.926907 42.4287888, 1.9270325 42.428923)",,,
860413138,,,tertiary,,True,False,11.026,Avinguda de Catalunya,"LINESTRING (1.926907 42.4287888, 1.9268135 42.4287176)",,,
356498152,,,tertiary,,False,True,47.715,Avinguda de Catalunya,"LINESTRING (1.9276014 42.4275526, 1.9272316 42.4278837)",,,
154121235,,,tertiary,,True,False,119.414,Carrer d'Alfons I,"LINESTRING (1.9292171 42.4331163, 1.9292324 42.4331628, 1.9292435 42.4331862, 1.929272 42.4335376, 1.9292703 42.4335725, 1.9292697 42.4335838, 1.929258 42.4338223, 1.9292043 42.4340875, 1.9291908 42.4341832)",,,
83469322,,,tertiary,,True,False,26.945,Avinguda d'Higini de Rivera,"LINESTRING (1.9291908 42.4341832, 1.9289072 42.4340611)",,,
245642473,,,residential,,True,False,67.826,Carrer de la Font d'en Lleres,"LINESTRING (1.9291908 42.4341832, 1.9291723 42.4342558, 1.9291451 42.4345105, 1.9291408 42.4347911)",,,
245642489,,,tertiary,,False,False,140.55200000000002,Avinguda d'Higini de Rivera,"LINESTRING (1.9291908 42.4341832, 1.9294662 42.4342578, 1.9295721 42.4342352, 1.9296311 42.4341527, 1.9296826 42.4340564, 1.9298886 42.4336712, 1.9299595 42.4335277, 1.9300257 42.4334013, 1.9300578 42.4333387)",,,
245642490,,,tertiary,,True,False,82.417,Avinguda del Coronel Molera,"LINESTRING (1.9283379 42.4334719, 1.9290798 42.4331546, 1.9292171 42.4331163)",,,
356489371,2,,tertiary,,False,True,73.89800000000001,Avinguda del Coronel Molera,"LINESTRING (1.9283379 42.4334719, 1.9276203 42.4337638, 1.9275536 42.4337978)",,,
246835423,,,tertiary,,False,False,51.56099999999999,Avinguda de Catalunya,"LINESTRING (1.9280014 42.4289579, 1.927595 42.429058, 1.9273952 42.429058)",,,
246835423,,,tertiary,,False,True,81.78999999999999,Avinguda de Catalunya,"LINESTRING (1.9280014 42.4289579, 1.9281544 42.4289301, 1.9282638 42.4289179, 1.9285789 42.4289823, 1.9288693 42.4291868)",,,
261282811,,,residential,,False,True,26.909,Camí d'Age,"LINESTRING (1.9288693 42.4291868, 1.9289336 42.4289495)",,,
246835423,,,tertiary,,False,False,81.79,Avinguda de Catalunya,"LINESTRING (1.9288693 42.4291868, 1.9285789 42.4289823, 1.9282638 42.4289179, 1.9281544 42.4289301, 1.9280014 42.4289579)",,,
