osmid,ref,highway,junction,oneway,reversed,length,geometry,name
130391684,CM-412a,secondary,roundabout,True,False,10.207,"LINESTRING (-1.7041387 38.5078376, -1.7041178 38.5078117, -1.7040899 38.5077903, -1.7040565 38.5077744)",
161453387,CM-412a,secondary,,True,False,16.269,"LINESTRING (-1.7041387 38.5078376, -1.7041839 38.5077899, -1.7042619 38.507728)",Carretera de Jaén
164041493,,residential,,False,True,87.001,"LINESTRING (-1.6970958 38.5114796, -1.6980456 38.5117242)",Avenida Poeta Mariano Tomás
164041528,N-301a,primary,,False,False,9.341,"LINESTRING (-1.6970958 38.5114796, -1.6970026 38.5114379)",Avenida Poeta Mariano Tomás
164300394,N-301a,primary,,False,True,61.884,"LINESTRING (-1.6970958 38.5114796, -1.6971429 38.5117846, -1.6972033 38.5120294)",Avenida la Libertad
130391684,CM-412a,secondary,roundabout,True,False,8.514,"LINESTRING (-1.7040565 38.5077744, -1.7040256 38.5077661, -1.7039934 38.5077625, -1.7039608 38.5077639)",
130391684,CM-412a,secondary,roundabout,True,False,8.754999999999999,"LINESTRING (-1.7038167 38.5078914, -1.7038228 38.5079304, -1.7038434 38.5079664)",
572479939,,secondary,,True,False,11.716000000000001,"LINESTRING (-1.7038167 38.5078914, -1.7038037 38.5079088, -1.703776 38.5079317, -1.70372 38.5079627)",
130438876,CM-412a,secondary,,False,True,51.891,"LINESTRING (-1.70372 38.5079627, -1.7032038 38.5081964)",Calle Melchor de Macanaz
572479938,,secondary,,True,False,11.274000000000001,"LINESTRING (-1.70372 38.5079627, -1.7037613 38.5079521, -1.7038037 38.5079521, -1.7038434 38.5079664)",
130391709,,residential,,False,True,96.474,"LINESTRING (-1.7011693 38.5079537, -1.7022726 38.5078679)",Calle Gran Via
572479928,,residential,,True,False,4.864,"LINESTRING (-1.7011693 38.5079537, -1.7011286 38.5079493, -1.7011149 38.5079449)",
130391684,CM-412a,secondary,roundabout,True,False,8.544,"LINESTRING (-1.7041538 38.5079127, -1.7041533 38.5078743, -1.7041387 38.5078376)",
130391711,,residential,,False,False,20.529,"LINESTRING (-1.7006029 38.508005, -1.7003682 38.5080238)",Calle Gran Vía
572479924,,residential,,True,False,2.835,"LINESTRING (-1.7006029 38.508005, -1.7006354 38.5080068)",
130391684,CM-412a,secondary,roundabout,True,False,8.677,"LINESTRING (-1.7038434 38.5079664, -1.7038761 38.5079958, -1.7039185 38.5080164)",
130391684,CM-412a,secondary,roundabout,True,False,10.025,"LINESTRING (-1.704102 38.5079915, -1.7041268 38.5079685, -1.7041444 38.5079418, -1.7041538 38.5079127)",
161453398,,tertiary,,True,False,15.047,"LINESTRING (-1.704102 38.5079915, -1.704159 38.5080064, -1.7042512 38.5080573)",Avenida de la Constitución
130391684,CM-412a,secondary,roundabout,True,False,7.8309999999999995,"LINESTRING (-1.7040232 38.5080242, -1.7040654 38.508012, -1.704102 38.5079915)",
130391713,,residential,,True,False,11.305,"LINESTRING (-1.7008989 38.5081134, -1.700948 38.5081023, -1.7009903 38.5080799, -1.7010074 38.5080628)",Plaza de España
572479927,,residential,,True,False,10.652,"LINESTRING (-1.7008989 38.5081134, -1.700943 38.5081188, -1.7009853 38.5081379, -1.7010071 38.5081528)",
164041464,,residential,,False,False,93.477,"LINESTRING (-1.6941867 38.5085195, -1.6939228 38.5093344)",Calle Francos Rodríguez
164048597,,residential,,False,True,142.015,"LINESTRING (-1.6941867 38.5085195, -1.6958122 38.5084045)",Calle Gran Vía
130438876,CM-412a,secondary,,False,False,39.646,"LINESTRING (-1.7020788 38.5087221, -1.70247 38.5085393)",Calle Melchor de Macanaz
130438876,CM-412a,secondary,,False,True,28.862,"LINESTRING (-1.7020788 38.5087221, -1.7017938 38.5088549)",Calle Melchor de Macanaz
