osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,junction,maxspeed,tunnel
199155141,N-420a,Avinguda de Catalunya,tertiary,False,False,8.848,"LINESTRING (0.8204343 41.1440877, 0.8203701 41.1440245)",,,,
199155141,N-420a,Avinguda de Catalunya,tertiary,False,True,46.755,"LINESTRING (0.8204343 41.1440877, 0.820574 41.1444948)",,,,
152745438,,Carrer de Francesc Puig i Bes,residential,False,False,27.14,"LINESTRING (0.8212183 41.1461939, 0.8209392 41.146318)",,,,
152745438,,Carrer de Francesc Puig i Bes,residential,False,True,33.187,"LINESTRING (0.8212183 41.1461939, 0.821579 41.1460702)",,,,
199155141,N-420a,Avinguda de Catalunya,tertiary,False,False,76.296,"LINESTRING (0.8212183 41.1461939, 0.8210183 41.1456112, 0.8209807 41.1455318)",,,,
199155141,N-420a,Avinguda de Catalunya,tertiary,False,True,18.043,"LINESTRING (0.8212183 41.1461939, 0.8212466 41.1462818, 0.8212322 41.1463528)",,,,
914096443,T-300,Marçà - Falset,secondary,False,True,12.872,"LINESTRING (0.8178141 41.1415026, 0.8176792 41.1414471)",,,,
914096445,,Carrer de la Sènia del Padró,residential,True,False,10.782,"LINESTRING (0.8178141 41.1415026, 0.8177267 41.1415738)",,,,
919670683,T-300,Marçà - Falset,secondary,False,False,91.207,"LINESTRING (0.8178141 41.1415026, 0.8187707 41.1418948)",,,,
32515427,,Carrer de la Sènia del Padró,residential,True,False,75.594,"LINESTRING (0.8163148 41.1434678, 0.8164235 41.1434131, 0.8164612 41.142903, 0.8164711 41.1428329)",,,,
152745490,,Carrer de Jaume Ciurana i Galceràn,residential,False,True,60.675,"LINESTRING (0.8163148 41.1434678, 0.8162585 41.1437528, 0.8161668 41.1440009)",,,,
913910003,N-420a,Avinguda de Catalunya,tertiary,False,True,77.587,"LINESTRING (0.8163148 41.1434678, 0.8167435 41.1435072, 0.8171673 41.1435763, 0.8172275 41.143584)",,,,
"[214467225, 914096446]",N-420a,Avinguda de Catalunya,tertiary,False,False,224.46299999999997,"LINESTRING (0.8163148 41.1434678, 0.8153839 41.1433422, 0.813669 41.1431447)",,,,
32515427,,Carrer de la Sènia del Padró,residential,True,False,54.101,"LINESTRING (0.816532 41.1424496, 0.8164728 41.1422904, 0.8163577 41.1419811)",,,,
152745439,,Carrer del Sindicat,residential,False,False,86.366,"LINESTRING (0.816532 41.1424496, 0.8166696 41.1424007, 0.817228 41.1422024, 0.8173115 41.1421727, 0.8174718 41.1421312)",,,,
214467263,,Carrer de la Sènia del Padró,residential,False,False,124.16300000000001,"LINESTRING (0.8163577 41.1419811, 0.8165515 41.1418968, 0.8170921 41.1416918, 0.8177267 41.1415738)",,,,
152745463,,,residential,False,False,55.186,"LINESTRING (0.8177267 41.1415738, 0.8180386 41.142011)",,,,
914096444,,,residential,True,False,14.639,"LINESTRING (0.8177267 41.1415738, 0.8176792 41.1414471)",,,,
214467263,,Carrer de la Sènia del Padró,residential,False,True,124.163,"LINESTRING (0.8177267 41.1415738, 0.8170921 41.1416918, 0.8165515 41.1418968, 0.8163577 41.1419811)",,,,
152745441,,,residential,False,True,20.286,"LINESTRING (0.819152 41.1420409, 0.8189116 41.1420634)",,,,
32515434,T-300,Marçà - Falset,secondary,False,False,34.366,"LINESTRING (0.819152 41.1420409, 0.8193567 41.1421161, 0.819514 41.142186)",,,,
913838035,T-300,Marçà - Falset,secondary,False,True,35.875,"LINESTRING (0.819152 41.1420409, 0.8190206 41.1419996, 0.8187707 41.1418948)",,,,
32515434,T-300,Marçà - Falset,secondary,False,False,109.039,"LINESTRING (0.819514 41.142186, 0.8197443 41.1423234, 0.81997 41.1424727, 0.8201498 41.1426074, 0.820263 41.1426921, 0.8204345 41.1428726)",,,,
32515434,T-300,Marçà - Falset,secondary,False,True,34.366,"LINESTRING (0.819514 41.142186, 0.8193567 41.1421161, 0.819152 41.1420409)",,,,
214467219,,Carrer de Mossèn Cinto Verdaguer,residential,False,True,102.882,"LINESTRING (0.819514 41.142186, 0.8194852 41.1422611, 0.8198845 41.143053)",,,,
198738443,,Avinguda de la Generalitat,residential,False,False,50.235,"LINESTRING (0.8204345 41.1428726, 0.8198845 41.143053)",,,,
32515434,T-300,Marçà - Falset,secondary,False,True,109.039,"LINESTRING (0.8204345 41.1428726, 0.820263 41.1426921, 0.8201498 41.1426074, 0.81997 41.1424727, 0.8197443 41.1423234, 0.819514 41.142186)",,,,
32515451,T-300,Carrer de Josep Maria Gich,secondary,True,False,68.188,"LINESTRING (0.8204345 41.1428726, 0.8204682 41.1429547, 0.8204688 41.143482)",1,,,
"[48089817, 913910004]",,Avinguda de la Generalitat,"['residential', 'tertiary']",False,True,245.608,"LINESTRING (0.8204345 41.1428726, 0.820532 41.1428379, 0.8208735 41.1427162, 0.82133 41.1425318, 0.8214862 41.1424614, 0.8215715 41.142416, 0.8216928 41.1423515, 0.8220848 41.1421199, 0.8228459 41.1416359)",,,,
32515451,T-300,Carrer de Josep Maria Gich,secondary,True,False,51.596,"LINESTRING (0.8204688 41.143482, 0.8204636 41.143946)",1,,,
32515451,T-300,Carrer de Josep Maria Gich,secondary,True,False,11.726,"LINESTRING (0.8204636 41.143946, 0.8203701 41.1440245)",1,,,
1199522975,,Carrer de Miquel Barceló,residential,True,False,16.570999999999998,"LINESTRING (0.8204636 41.143946, 0.8204591 41.1440674, 0.8204343 41.1440877)",1,,,
199155141,N-420a,Avinguda de Catalunya,tertiary,False,True,8.848,"LINESTRING (0.8203701 41.1440245, 0.8204343 41.1440877)",,,,
913838034,N-420a,Avinguda de Catalunya,tertiary,False,False,82.266,"LINESTRING (0.8203701 41.1440245, 0.8202226 41.1439498, 0.8195056 41.1438694, 0.8194267 41.1438605)",2,,,
