osmid,lanes,highway,oneway,reversed,length,geometry,ref,maxspeed,name,junction,tunnel
921423990,2,residential,False,True,25.204,"LINESTRING (-3.5007472 39.9551425, -3.5008714 39.9553482)",,,,,
85621062,,residential,False,True,65.928,"LINESTRING (-3.5007472 39.9551425, -3.5012256 39.9549072, -3.5013273 39.9547707)",,,,,
192074335,2,residential,False,True,103.64999999999999,"LINESTRING (-3.5007472 39.9551425, -3.5002412 39.9543682, -3.5002138 39.9543055)",,,,,
546375056,1,primary,True,False,6.916,"LINESTRING (-3.5032176 39.9558342, -3.5031507 39.9558694)",N-400,30,,,
546375054,1,primary,True,False,9.937,"LINESTRING (-3.5032176 39.9558342, -3.50321 39.9558664, -3.5032143 39.9558875, -3.5032423 39.9559155)",N-400,30,Plaza del Pilarejo,roundabout,
114439671,,primary,False,True,99.486,"LINESTRING (-3.5037074 39.9554806, -3.5038555 39.9552986, -3.5043425 39.95473)",N-400,50,,,
921005837,1,primary,True,False,44.330999999999996,"LINESTRING (-3.5037074 39.9554806, -3.5034486 39.9556944, -3.5033526 39.9557721)",N-400,30,,,
546375054,1,primary,True,False,4.461,"LINESTRING (-3.5034645 39.9558086, -3.5034331 39.9557765)",N-400,30,Plaza del Pilarejo,roundabout,
546375054,1,primary,True,False,12.383,"LINESTRING (-3.5033526 39.9557721, -3.5032285 39.95583)",N-400,30,Plaza del Pilarejo,roundabout,
85621004,,residential,False,False,34.827,"LINESTRING (-3.5033464 39.9559156, -3.5035336 39.956194)",,,Calle Pilarejo,,
546375054,1,primary,True,False,10.573,"LINESTRING (-3.5033464 39.9559156, -3.5034287 39.9558853, -3.5034476 39.9558648)",N-400,30,Plaza del Pilarejo,roundabout,
546375054,1,primary,True,False,6.93,"LINESTRING (-3.5034331 39.9557765, -3.5033859 39.9557702, -3.5033526 39.9557721)",N-400,30,Plaza del Pilarejo,roundabout,
921005836,1,primary,True,False,40.985,"LINESTRING (-3.5034331 39.9557765, -3.5036391 39.9556076, -3.5037074 39.9554806)",N-400,30,,,
135114731,,residential,False,False,66.472,"LINESTRING (-3.496993 39.9603323, -3.4963129 39.9606249)",,,Calle Mayor del Villar,,
135114731,,residential,False,True,54.548,"LINESTRING (-3.496993 39.9603323, -3.4975567 39.9601)",,,Calle Mayor del Villar,,
135114732,,residential,True,False,82.806,"LINESTRING (-3.496993 39.9603323, -3.4962997 39.9598106)",,,Calle Topete,,
235049611,,residential,False,False,84.805,"LINESTRING (-3.5044728 39.9597278, -3.5043533 39.9595246, -3.5039142 39.9591026)",,,Calle Ronda de las Barreras,,
