osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,junction,maxspeed,width,tunnel
115374861,True,EX-103,Avenida Doctor Fleming,primary,False,23.011,"LINESTRING (-6.0152088 38.2410234, -6.0153102 38.2410878, -6.015388 38.2411726)",,,,,
86351554,True,EX-103,Paseo San Antón,primary,False,30.418,"LINESTRING (-6.0161426 38.2411885, -6.0161135 38.2411625, -6.0159324 38.2411115, -6.015844 38.2410577)",,,,,
116768125,False,,,residential,True,132.466,"LINESTRING (-6.0161426 38.2411885, -6.0161887 38.2412419, -6.0162225 38.2412752, -6.0164273 38.2414496, -6.0167232 38.2417137, -6.0171095 38.242105)",,,,,
262653910,False,EX-103,Paseo San Antón,primary,True,44.315000000000005,"LINESTRING (-6.0161426 38.2411885, -6.0162783 38.2411966, -6.0165131 38.2411759, -6.016639 38.2411375)",,,,,
31357986,True,,,primary,False,32.301,"LINESTRING (-6.015388 38.2411726, -6.0154224 38.2412128, -6.0154697 38.2412438, -6.0155261 38.2412633, -6.0155872 38.2412696, -6.0156482 38.2412622, -6.015704 38.2412417)",2,roundabout,,,
86351553,True,EX-103,Avenida Doctor Fleming,primary,False,15.958,"LINESTRING (-6.0153914 38.2410182, -6.0152088 38.2410234)",,,,,
31357986,True,,,primary,False,17.771,"LINESTRING (-6.0153914 38.2410182, -6.0153731 38.2410555, -6.0153663 38.2410951, -6.0153714 38.2411348, -6.015388 38.2411726)",2,roundabout,,,
325390145,False,EX-103,Avenida Ancha de Sevilla,primary,False,7.101,"LINESTRING (-6.0197297 38.2367378, -6.0196836 38.2367904)",,,,,
264202616,False,,Arrabal de Tejeiro,residential,True,40.94,"LINESTRING (-6.0197297 38.2367378, -6.0195859 38.2365099, -6.0195604 38.2364659, -6.0195285 38.2364054)",,,50,,
325390145,False,EX-103,Avenida Ancha de Sevilla,primary,True,71.619,"LINESTRING (-6.0197297 38.2367378, -6.0199963 38.236589, -6.0204102 38.2363787)",,,,,
