osmid,oneway,lanes,name,highway,reversed,length,ref,geometry,junction,width,tunnel,maxspeed
34414812,True,2,Carrer de la Reina Maria Cristina,residential,False,62.68,,"LINESTRING (1.2510885 41.1178716, 1.2516656 41.1182304)",,,,
30252785,True,2,Avinguda d'Estanislau Figueres,secondary,False,96.739,N-340a,"LINESTRING (1.2510885 41.1178716, 1.250448 41.1180149, 1.2499818 41.1181201)",,,,
"[34985806, 177665431]",True,"['1', '2']",Avinguda d'Estanislau Figueres,secondary,False,138.745,N-340a,"LINESTRING (1.2510885 41.1178716, 1.2512634 41.1178334, 1.251337 41.1178199, 1.251881 41.117702, 1.2519293 41.117689, 1.252167 41.1176352, 1.2526452 41.1175298, 1.2526781 41.1175217)",,,,
492564891,True,2,Carrer Ramón y Cajal,residential,False,10.363,,"LINESTRING (1.2491265 41.1172192, 1.2490615 41.1171399)",,,,
30155979,True,1,Font del Centenari,secondary,False,18.517000000000003,,"LINESTRING (1.2491265 41.1172192, 1.2491236 41.1171756, 1.2491338 41.1171354, 1.24916 41.1170995, 1.2491996 41.1170714)",roundabout,,,
30156511,True,,Passeig Sant Antoni,residential,False,26.221,,"LINESTRING (1.2574709 41.1157349, 1.2574381 41.1156517, 1.2574291 41.1156208, 1.2574116 41.1155608, 1.2574086 41.1155049)",,,,
492564892,True,2,Rambla Nova,secondary,False,21.579,,"LINESTRING (1.2488431 41.1172428, 1.2490615 41.1171399)",,,,
75514070,True,,Rambla Nova,residential,False,37.324999999999996,,"LINESTRING (1.2488431 41.1172428, 1.2489528 41.1172393, 1.2489922 41.1172497, 1.249034 41.1172729, 1.2490571 41.1172974, 1.2490747 41.117332, 1.2490848 41.1173617, 1.2490851 41.1174038, 1.2490701 41.1174448)",,,,
30252783,False,,Carrer de Santa Clara,residential,True,110.941,,"LINESTRING (1.256115 41.1146992, 1.2561646 41.1147594, 1.2567634 41.1154852, 1.2567941 41.115523, 1.256814 41.1155466)",,,,
75511868,False,,Carrer Adrià,residential,True,24.995,,"LINESTRING (1.2543419 41.1148872, 1.2542624 41.1147906, 1.2541973 41.1147115, 1.2541848 41.1146961)",,,,
177553244,True,,Rambla Nova,residential,False,168.359,,"LINESTRING (1.2543419 41.1148872, 1.2542454 41.1149337, 1.2533038 41.1153866, 1.2526481 41.1157021)",,,,
766558001,False,,Carrer del Portalet,residential,True,45.468,,"LINESTRING (1.2555477 41.1162116, 1.2558189 41.1165658)",,,,
971603901,True,1,Rambla Vella,secondary,False,190.418,N-340a,"LINESTRING (1.2555477 41.1162116, 1.2554445 41.1162616, 1.2543956 41.1167702, 1.2536401 41.1171428)",,,,
77499583,False,,Plaça de la Font,residential,False,25.296,,"LINESTRING (1.2559706 41.1167625, 1.2558544 41.1166124, 1.2558189 41.1165658)",,,,
68286811,True,,Carrer del Cardenal Cervantes,residential,False,102.152,,"LINESTRING (1.2491836 41.114668, 1.2502676 41.1142473)",,,,
"[65759713, 400503180]",True,,"['Carrer de Soler', 'Carrer Reding']","['residential', 'living_street']",False,179.184,,"LINESTRING (1.2491836 41.114668, 1.2496701 41.1152644, 1.2506615 41.1147421)",,,,
65759684,True,,Carrer de Fortuny,residential,False,64.156,,"LINESTRING (1.2502676 41.1142473, 1.2506615 41.1147421)",,,,
68286811,True,,Carrer del Cardenal Cervantes,residential,False,84.374,,"LINESTRING (1.2502676 41.1142473, 1.2511472 41.1138777)",,,,
