osmid,ref,name,highway,oneway,reversed,length,geometry,junction,width
93099580,A-387,Avenida de la Libertad,secondary,False,False,20.705,"LINESTRING (-4.6852579 36.6395688, -4.6854899 36.6395646)",,
93099580,A-387,Avenida de la Libertad,secondary,False,True,37.49,"LINESTRING (-4.6852579 36.6395688, -4.6848392 36.6395971)",,
549509571,,Calle Ardalejos,tertiary,False,False,48.281,"LINESTRING (-4.6852579 36.6395688, -4.685213 36.6391361)",,
93099580,A-387,Avenida de la Libertad,secondary,False,True,73.536,"LINESTRING (-4.6866385 36.6397108, -4.6862524 36.6396305, -4.685967 36.63958, -4.6858345 36.6395702)",,
258603304,A-387,,secondary,True,False,17.723,"LINESTRING (-4.6866385 36.6397108, -4.6866394 36.6397211, -4.6866534 36.6397486, -4.6866777 36.6397711, -4.6867098 36.6397861, -4.6867463 36.6397917, -4.6867833 36.6397877)",roundabout,
258603304,A-387,,secondary,True,False,16.642999999999997,"LINESTRING (-4.6868626 36.6396958, -4.6868542 36.6396665, -4.6868344 36.6396412, -4.6868054 36.6396222, -4.6867705 36.6396119, -4.6867333 36.6396114)",roundabout,
545820227,A-387,Avenida de la Libertad,secondary,False,False,82.003,"LINESTRING (-4.6868626 36.6396958, -4.6871429 36.6396907, -4.6874151 36.6396797, -4.6877745 36.6396235)",,
727951572,A-366a,Avenida Gerald Brenan,tertiary,False,False,62.784,"LINESTRING (-4.6868497 36.644012, -4.6861482 36.6440567)",,
165515790,,Calle Cilla,tertiary,True,False,61.864999999999995,"LINESTRING (-4.6868497 36.644012, -4.6869282 36.644192, -4.686881 36.6445557)",,
264270060,,Calle Arquilla del Agua,residential,False,True,73.518,"LINESTRING (-4.685213 36.6391361, -4.6858345 36.6395702)",,
549509571,,Calle Ardalejos,tertiary,False,False,17.616,"LINESTRING (-4.685213 36.6391361, -4.68505 36.6390467)",,
549509571,,Calle Ardalejos,tertiary,False,True,48.281,"LINESTRING (-4.685213 36.6391361, -4.6852579 36.6395688)",,
93099615,A-366a,Avenida Gerald Brenan,tertiary,False,False,47.425,"LINESTRING (-4.6845967 36.6438177, -4.6844145 36.6436473, -4.6842078 36.643532)",,
93099615,A-366a,Avenida Gerald Brenan,tertiary,False,True,33.573,"LINESTRING (-4.6845967 36.6438177, -4.6847381 36.6439276, -4.6848937 36.6439993)",,
93608500,,Calle Estepona,residential,False,False,42.025,"LINESTRING (-4.6897683 36.639522, -4.690237 36.6394846)",,
258066568,,Calle Molinos de Arriba,residential,True,False,27.417,"LINESTRING (-4.6897683 36.639522, -4.6896989 36.6397622)",,
