osmid,highway,junction,oneway,reversed,length,geometry,ref,name,lanes,access,maxspeed,bridge
28506226,secondary,roundabout,True,False,12.268,"LINESTRING (-1.0052189 38.04363, -1.0052309 38.0435756, -1.0052214 38.043521)",,,,,,
27465210,primary,,True,False,52.193,"LINESTRING (-1.0052214 38.043521, -1.005349 38.0430625)",RM-330,,,,,
28506226,secondary,roundabout,True,False,17.973,"LINESTRING (-1.0052214 38.043521, -1.005192 38.0434723, -1.0051456 38.0434327, -1.0050864 38.0434058)",,,,,,
28506226,secondary,roundabout,True,False,5.732,"LINESTRING (-1.0050864 38.0434058, -1.0050226 38.0433943)",,,,,,
441631992,secondary,,True,False,44.573,"LINESTRING (-1.0048434 38.0434461, -1.0044924 38.0437364)",RM-330,,,,,
28506226,secondary,roundabout,True,False,34.494,"LINESTRING (-1.0048434 38.0434461, -1.0047982 38.0434969, -1.0047778 38.0435568, -1.0047847 38.0436186, -1.0048179 38.0436749, -1.0048736 38.0437188)",,,,,,
28506226,secondary,roundabout,True,False,6.12,"LINESTRING (-1.0048736 38.0437188, -1.0049363 38.0437431)",,,,,,
328710405,primary,,False,True,58.907,"LINESTRING (-1.005349 38.0430625, -1.0058124 38.0426785)",RM-330,,,,,
328710407,residential,,False,False,18.397,"LINESTRING (-1.005349 38.0430625, -1.005169 38.0431478)",,,,,,
328710406,primary,,True,False,45.111000000000004,"LINESTRING (-1.005349 38.0430625, -1.0052066 38.0433063, -1.0050864 38.0434058)",RM-330,,,,,
43919505,secondary,,False,False,29.357,"LINESTRING (-1.0044924 38.0437364, -1.0042578 38.043925)",RM-330,Avenida Calvo Sotelo,,,,
28506224,secondary,,True,False,34.397999999999996,"LINESTRING (-1.0044924 38.0437364, -1.0046387 38.0436967, -1.0047504 38.0436967, -1.0048736 38.0437188)",RM-330,,,,,
28506227,secondary,,True,False,43.25,"LINESTRING (-1.0052345 38.0440158, -1.0051956 38.0438018, -1.0052189 38.04363)",RM-F59,,,,,
43919525,residential,,False,True,45.116,"LINESTRING (-1.0039356 38.0435725, -1.0035434 38.0438356)",,Calle Río Ebro,,,,
328549972,residential,,False,False,62.35,"LINESTRING (-1.0039356 38.0435725, -1.0035964 38.0430795)",,Calle La Gironda,,,,
328549972,residential,,False,True,48.295,"LINESTRING (-1.0039356 38.0435725, -1.0042578 38.043925)",,Calle La Gironda,,,,
43919505,secondary,,False,False,82.135,"LINESTRING (-1.0042578 38.043925, -1.0036015 38.0444527)",RM-330,Avenida Calvo Sotelo,,,,
43919505,secondary,,False,True,29.357,"LINESTRING (-1.0042578 38.043925, -1.0044924 38.0437364)",RM-330,Avenida Calvo Sotelo,,,,
328549972,residential,,False,False,48.295,"LINESTRING (-1.0042578 38.043925, -1.0039356 38.0435725)",,Calle La Gironda,,,,
43919530,residential,,False,False,24.703,"LINESTRING (-1.0028981 38.043504, -1.0031231 38.04337)",,Calle Río Turia,,,,
