osmid,name,highway,oneway,reversed,length,ref,geometry,junction,tunnel
85652371,Calle Tahona,residential,False,False,120.87100000000001,,"LINESTRING (-3.3581296 39.3682971, -3.3581294 39.3682471, -3.3581562 39.3679786, -3.3581531 39.3675696, -3.3581509 39.3672109)",,
274799113,Calle Cervantes,residential,False,True,124.835,,"LINESTRING (-3.3581296 39.3682971, -3.3567959 39.3681991, -3.3566961 39.368159)",,
85652547,Travesía Matallana,residential,False,True,51.029,,"LINESTRING (-3.3597112 39.3676791, -3.3597331 39.3672205)",,
85652547,Travesía Matallana,residential,False,False,212.987,,"LINESTRING (-3.3597112 39.3676791, -3.3596906 39.3680013, -3.3605211 39.3680075, -3.3605451 39.3677024, -3.3597112 39.3676791)",,
85652547,Travesía Matallana,residential,False,True,212.987,,"LINESTRING (-3.3597112 39.3676791, -3.3605451 39.3677024, -3.3605211 39.3680075, -3.3596906 39.3680013, -3.3597112 39.3676791)",,
85652419,Travesía de la Concepción,residential,True,False,65.851,,"LINESTRING (-3.3539997 39.3674011, -3.3535579 39.3674447, -3.3532578 39.367532)",,
276175029,Calle Mesones,tertiary,True,False,75.638,CR-1341,"LINESTRING (-3.3539997 39.3674011, -3.3540496 39.3672858, -3.3541124 39.3669733, -3.354109 39.3668845, -3.3541066 39.3668202, -3.3541032 39.366731)",,
85652537,Calle Oratorio,residential,True,False,112.34100000000001,,"LINESTRING (-3.3531881 39.3646708, -3.3533142 39.3651728, -3.3534515 39.3656603)",,
276445405,Calle Cruces,residential,False,False,129.36599999999999,,"LINESTRING (-3.3531881 39.3646708, -3.3530805 39.3647697, -3.3525893 39.364967, -3.3519194 39.3652821)",,
276445405,Calle Cruces,residential,False,True,96.659,,"LINESTRING (-3.3531881 39.3646708, -3.3538977 39.3643641, -3.3541872 39.3642754)",,
276445409,Callejón Cristo de la Misericordia,residential,False,False,32.491,,"LINESTRING (-3.3506805 39.3669298, -3.3505564 39.3672058)",,
276445409,Callejón Cristo de la Misericordia,residential,False,True,49.182,,"LINESTRING (-3.3506805 39.3669298, -3.3508129 39.3664995)",,
85652443,Calle Gómez Montalbán,residential,False,False,87.735,,"LINESTRING (-3.3506805 39.3669298, -3.3511304 39.3671607, -3.3515019 39.3673964)",,
85652443,Calle Gómez Montalbán,residential,False,True,94.037,,"LINESTRING (-3.3506805 39.3669298, -3.3506275 39.3669618, -3.3501676 39.3667469, -3.3497664 39.3665304)",,
85652379,Calle La Vereda,residential,False,False,54.37,,"LINESTRING (-3.3560462 39.3636889, -3.3564746 39.3640486)",,
