osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge,width
26039156,2,secondary,50,roundabout,True,False,15.943,"LINESTRING (-3.5506044 40.4280789, -3.5506237 40.4280468, -3.5506323 40.4280106, -3.5506364 40.427976, -3.5506281 40.42794)",,,
26039156,2,secondary,50,roundabout,True,False,25.087999999999997,"LINESTRING (-3.5506281 40.42794, -3.5506146 40.4279056, -3.5505922 40.4278738, -3.5505563 40.4278362, -3.5505116 40.4278025, -3.5504403 40.4277787)",,,
133171051,2,secondary,,,True,False,240.7,"LINESTRING (-3.5506281 40.42794, -3.5506644 40.4278647, -3.5507244 40.4277979, -3.5508432 40.4277346, -3.550996 40.4276736, -3.5514884 40.4274517, -3.5518541 40.4272816, -3.5519147 40.4272564, -3.5522173 40.4271238, -3.552711 40.4269108, -3.5527471 40.4268952, -3.5528469 40.4268498, -3.5529096 40.4268311, -3.5530112 40.4268189)",Avenida de José Gárate,,
26039156,2,secondary,50,roundabout,True,False,25.325000000000003,"LINESTRING (-3.5503598 40.4281906, -3.5504389 40.4281809, -3.5504954 40.4281646, -3.5505337 40.4281447, -3.5505684 40.4281194, -3.5506044 40.4280789)",,,
"[30166312, 445380387]",2,tertiary,,,True,False,347.6959999999999,"LINESTRING (-3.5611435 40.4206467, -3.5610682 40.4206691, -3.5609843 40.4206896, -3.5608216 40.4206996, -3.5607045 40.4206967, -3.5606101 40.4206921, -3.5602563 40.4206632, -3.5593604 40.4205953, -3.5591438 40.4205853, -3.5588164 40.4205914, -3.5580968 40.4206181, -3.5571443 40.4206533, -3.5570558 40.4206566)",Avenida de España,,
172401239,2,secondary,,roundabout,True,False,13.513000000000002,"LINESTRING (-3.5611435 40.4206467, -3.5611313 40.4206791, -3.5611268 40.4207059, -3.5611271 40.4207342, -3.5611338 40.4207663)",,,
172401266,2,secondary,,roundabout,True,False,3.426,"LINESTRING (-3.5611338 40.4207663, -3.5611463 40.4207956)",,,
28212468,,residential,,,True,False,24.642,"LINESTRING (-3.5611463 40.4207956, -3.5611082 40.4210153)",Calle de Pablo Neruda,,
197681997,,residential,,,True,False,20.538,"LINESTRING (-3.5534577 40.4263303, -3.5534191 40.4263556, -3.5533447 40.4264016, -3.5532702 40.4264475)",Calle Uruguay,,
207718582,,residential,,,False,True,84.33900000000001,"LINESTRING (-3.5534577 40.4263303, -3.5536359 40.4261686, -3.5536911 40.4260812, -3.5537151 40.4259791, -3.5537207 40.4258985, -3.5536913 40.4258144, -3.553607 40.4257204, -3.5535589 40.4256665)",Calle Uruguay,,
